customer_id,segment,account_age_days,treatment,order_value_post
C0432,Delta,13,1,25.54
C0097,Core,12,0,84.87
C0469,Delta,23,1,36.58
C0269,Premium,407,1,175.11
C0142,Core,436,1,106.89
C0451,Delta,8,1,4.51
C0325,Delta,15,1,39.16
C0301,Delta,25,0,40.67
C0293,Premium,419,1,165.96
C0284,Premium,23,0,127.06
C0475,Delta,18,0,42.16
C0233,Value,56,1,59.86
C0247,Value,654,1,75.72
C0082,Core,137,0,54.82
C0396,Delta,5,0,47.79
C0311,Delta,17,0,26.31
C0493,Delta,20,0,32.37
C0422,Delta,5,1,0.0
C0337,Delta,2,1,21.06
C0174,Value,641,0,85.9
C0302,Delta,5,1,35.21
C0054,Core,899,0,60.55
C0409,Delta,30,0,59.25
C0140,Core,107,1,121.71
C0264,Premium,672,1,161.12
C0275,Premium,440,1,150.55
C0067,Core,321,1,79.84
C0495,Delta,16,0,68.08
C0254,Premium,601,0,151.65
C0285,Premium,531,1,188.29
C0359,Delta,24,1,24.2
C0100,Core,65,1,108.81
C0317,Delta,18,1,27.9
C0149,Core,38,0,62.47
C0016,Core,182,1,106.46
C0164,Value,527,1,43.07
C0464,Delta,11,0,60.61
C0047,Core,773,1,99.57
C0087,Core,247,0,60.36
C0038,Core,729,1,68.21
C0411,Delta,18,1,23.44
C0381,Delta,22,1,21.45
C0194,Value,603,0,89.33
C0173,Value,447,0,35.45
C0074,Core,161,1,99.74
C0271,Premium,93,0,167.09
C0105,Core,404,1,114.9
C0207,Value,280,1,58.65
C0297,Premium,35,0,136.95
C0017,Core,662,1,98.35
C0307,Delta,24,0,22.84
C0462,Delta,30,0,54.63
C0089,Core,153,1,84.3
C0376,Delta,28,0,16.14
C0141,Core,149,1,112.08
C0195,Value,725,1,75.97
C0103,Core,779,1,82.01
C0385,Delta,7,0,14.9
C0175,Value,577,0,74.08
C0171,Value,302,0,103.81
C0240,Value,209,0,48.65
C0158,Value,248,0,44.88
C0071,Core,275,0,86.07
C0134,Core,510,1,114.05
C0460,Delta,10,0,31.91
C0494,Delta,10,1,46.33
C0368,Delta,7,1,39.29
C0217,Value,248,0,55.97
C0228,Value,689,1,76.06
C0329,Delta,2,0,42.41
C0388,Delta,3,1,28.96
C0342,Delta,2,0,49.56
C0358,Delta,13,1,0.0
C0019,Core,20,1,82.98
C0178,Value,439,1,60.32
C0383,Delta,12,0,34.11
C0021,Core,86,1,81.76
C0056,Core,777,0,89.87
C0281,Premium,818,1,156.93
C0426,Delta,21,1,30.7
C0427,Delta,10,0,45.04
C0035,Core,220,0,80.34
C0182,Value,725,1,47.32
C0185,Value,804,0,52.75
C0151,Value,503,0,41.78
C0208,Value,233,1,55.37
C0339,Delta,22,1,42.51
C0245,Value,269,1,60.4
C0366,Delta,8,0,32.14
C0435,Delta,27,0,34.63
C0098,Core,857,1,85.91
C0484,Delta,11,0,40.86
C0442,Delta,15,0,28.04
C0155,Value,139,1,96.49
C0123,Core,369,0,49.53
C0114,Core,534,0,54.8
C0419,Delta,10,0,44.06
C0328,Delta,3,0,44.21
C0172,Value,187,0,49.8
C0109,Core,490,0,94.28
C0079,Core,169,0,70.34
C0095,Core,558,1,94.88
C0062,Core,332,1,101.99
C0444,Delta,14,1,0.0
C0126,Core,455,1,99.66
C0338,Delta,25,0,56.88
C0306,Delta,19,0,40.38
C0482,Delta,10,0,48.28
C0092,Core,355,1,93.92
C0476,Delta,1,1,0.0
C0418,Delta,24,0,58.7
C0274,Premium,223,0,152.07
C0352,Delta,30,0,37.28
C0304,Delta,28,0,25.0
C0406,Delta,4,0,24.4
C0025,Core,900,1,90.82
C0434,Delta,13,1,42.8
C0488,Delta,30,0,30.76
C0496,Delta,32,0,58.67
C0127,Core,445,0,79.0
C0404,Delta,11,1,11.19
C0279,Premium,185,0,151.13
C0179,Value,83,1,64.59
C0431,Delta,2,1,33.43
C0370,Delta,11,1,23.54
C0224,Value,440,1,57.59
C0348,Delta,21,1,22.45
C0094,Core,49,1,89.54
C0070,Core,145,0,43.97
C0037,Core,68,1,65.15
C0161,Value,871,0,53.76
C0012,Core,775,1,97.96
C0145,Core,246,1,78.92
C0353,Delta,1,1,35.28
C0128,Core,340,0,84.91
C0282,Premium,675,0,167.17
C0010,Core,574,1,85.96
C0371,Delta,6,0,44.8
C0177,Value,707,1,59.69
C0232,Value,57,0,67.94
C0211,Value,250,1,77.69
C0129,Core,114,1,91.6
C0144,Core,348,1,107.68
C0242,Value,485,0,66.03
C0008,Core,528,0,102.74
C0255,Premium,590,1,166.74
C0487,Delta,35,1,14.16
C0331,Delta,19,1,19.28
C0009,Core,249,1,82.25
C0157,Value,68,1,57.6
C0028,Core,258,1,101.92
C0267,Premium,293,1,165.77
C0065,Core,77,0,81.78
C0256,Premium,539,1,184.52
C0314,Delta,19,0,41.47
C0154,Value,821,1,79.78
C0049,Core,456,0,92.66
C0209,Value,337,1,55.83
C0288,Premium,854,0,137.1
C0002,Core,518,0,78.12
C0270,Premium,18,1,173.75
C0266,Premium,831,1,161.25
C0323,Delta,24,1,14.95
C0413,Delta,1,1,23.24
C0096,Core,19,1,109.07
C0459,Delta,16,1,12.19
C0486,Delta,27,1,0.0
C0347,Delta,1,0,65.77
C0117,Core,117,1,101.18
C0046,Core,153,1,72.64
C0162,Value,693,1,69.22
C0382,Delta,11,0,35.32
C0118,Core,214,1,79.24
C0289,Premium,124,1,175.12
C0078,Core,39,0,84.03
C0389,Delta,4,1,35.78
C0064,Core,178,0,94.62
C0390,Delta,23,0,32.22
C0386,Delta,10,0,41.11
C0231,Value,767,1,71.04
C0298,Premium,256,1,176.25
C0187,Value,111,1,82.66
C0335,Delta,27,1,22.06
C0200,Value,317,1,101.32
C0450,Delta,11,0,32.9
C0122,Core,411,0,74.92
C0465,Delta,29,1,28.99
C0430,Delta,15,1,0.0
C0308,Delta,4,1,5.12
C0458,Delta,29,1,13.36
C0159,Value,298,0,42.1
C0086,Core,139,0,97.43
C0226,Value,760,1,86.69
C0263,Premium,20,0,141.18
C0332,Delta,14,1,42.4
C0491,Delta,21,0,36.37
C0077,Core,543,1,88.24
C0387,Delta,8,0,49.91
C0372,Delta,18,0,28.62
C0088,Core,445,0,77.54
C0500,Delta,10,1,0.0
C0183,Value,839,1,46.73
C0106,Core,465,0,85.69
C0397,Delta,27,0,35.54
C0050,Core,189,1,90.94
C0379,Delta,26,0,29.17
C0006,Core,659,0,87.94
C0018,Core,703,1,108.83
C0235,Value,384,0,93.52
C0446,Delta,26,1,32.25
C0395,Delta,17,1,26.91
C0107,Core,456,1,141.53
C0135,Core,487,1,90.21
C0402,Delta,20,1,13.52
C0227,Value,743,0,26.72
C0215,Value,69,0,72.15
C0191,Value,328,0,55.72
C0440,Delta,7,0,45.44
C0321,Delta,22,1,16.71
C0283,Premium,392,0,162.51
C0030,Core,203,1,102.7
C0170,Value,394,1,59.07
C0181,Value,298,0,88.19
C0101,Core,246,0,95.59
C0198,Value,734,1,72.49
C0210,Value,885,0,29.12
C0136,Core,597,1,83.22
C0470,Delta,19,0,36.99
C0428,Delta,16,1,28.92
C0199,Value,251,0,62.84
C0374,Delta,29,1,24.33
C0167,Value,592,0,46.47
C0421,Delta,22,0,39.08
C0137,Core,167,1,104.64
C0286,Premium,535,0,156.09
C0336,Delta,25,0,30.61
C0132,Core,769,0,88.6
C0040,Core,345,1,102.85
C0216,Value,802,1,100.04
C0044,Core,230,1,72.7
C0055,Core,62,1,100.54
C0474,Delta,6,0,42.15
C0300,Premium,212,0,127.75
C0455,Delta,10,0,30.7
C0305,Delta,7,1,31.03
C0036,Core,52,0,55.45
C0316,Delta,13,0,40.75
C0310,Delta,8,1,16.03
C0277,Premium,248,0,128.43
C0125,Core,698,0,103.22
C0143,Core,418,0,73.08
C0111,Core,842,0,67.32
C0324,Delta,21,1,0.0
C0333,Delta,28,1,5.25
C0394,Delta,22,0,49.38
C0436,Delta,14,0,33.13
C0108,Core,484,0,63.31
C0443,Delta,8,1,13.75
C0013,Core,7,1,84.18
C0273,Premium,789,0,137.24
C0048,Core,613,1,84.05
C0204,Value,245,0,77.21
C0425,Delta,17,0,14.16
C0120,Core,446,0,67.77
C0022,Core,100,1,92.54
C0403,Delta,2,0,48.6
C0084,Core,184,0,85.48
C0131,Core,623,1,89.88
C0480,Delta,25,1,0.0
C0330,Delta,24,0,29.96
C0230,Value,279,0,65.39
C0492,Delta,4,0,63.38
C0287,Premium,428,0,142.15
C0124,Core,744,0,99.69
C0034,Core,71,1,85.49
C0472,Delta,1,0,28.24
C0005,Core,132,1,102.59
C0412,Delta,4,1,26.02
C0020,Core,150,1,92.92
C0220,Value,120,0,65.99
C0380,Delta,20,0,18.68
C0497,Delta,3,0,33.9
C0420,Delta,24,1,2.92
C0357,Delta,21,0,0.22
C0150,Core,158,1,83.4
C0225,Value,463,0,71.01
C0248,Value,712,1,61.02
C0441,Delta,8,1,1.51
C0152,Value,823,0,76.91
C0479,Delta,17,0,53.86
C0318,Delta,12,1,8.9
C0292,Premium,664,0,159.12
C0234,Value,573,1,99.14
C0011,Core,394,0,74.52
C0280,Premium,158,0,183.8
C0072,Core,816,1,110.49
C0253,Premium,107,1,150.66
C0093,Core,344,1,109.48
C0478,Delta,12,0,16.11
C0350,Delta,24,1,2.76
C0416,Delta,29,1,28.73
C0375,Delta,40,1,19.63
C0401,Delta,15,0,61.04
C0193,Value,709,0,45.3
C0258,Premium,298,0,140.63
C0481,Delta,30,1,46.94
C0340,Delta,12,1,0.0
C0489,Delta,26,1,43.29
C0196,Value,15,1,85.73
C0344,Delta,22,1,30.11
C0138,Core,662,1,92.28
C0261,Premium,63,1,152.69
C0039,Core,222,1,108.06
C0202,Value,355,1,84.77
C0467,Delta,14,1,29.95
C0291,Premium,684,0,134.71
C0449,Delta,17,0,29.75
C0190,Value,503,0,73.64
C0252,Premium,809,0,144.83
C0113,Core,256,0,91.26
C0438,Delta,4,0,35.34
C0184,Value,789,1,67.66
C0153,Value,430,0,62.84
C0313,Delta,24,1,12.19
C0326,Delta,7,0,26.5
C0192,Value,175,0,58.65
C0045,Core,401,1,85.94
C0445,Delta,30,1,0.0
C0276,Premium,321,1,140.57
C0007,Core,118,0,103.17
C0251,Premium,244,0,137.4
C0312,Delta,30,0,44.23
C0076,Core,568,1,103.78
C0001,Core,565,1,85.1
C0429,Delta,3,0,37.29
C0392,Delta,27,1,21.35
C0384,Delta,34,0,45.53
C0433,Delta,11,0,16.27
C0069,Core,568,0,107.75
C0168,Value,5,0,33.41
C0393,Delta,20,0,52.96
C0219,Value,769,1,75.03
C0043,Core,814,1,81.88
C0367,Delta,25,0,27.68
C0346,Delta,17,1,25.0
C0073,Core,790,0,76.38
C0024,Core,666,0,70.99
C0399,Delta,9,0,45.6
C0186,Value,461,0,41.59
C0349,Delta,23,0,37.11
C0104,Core,766,1,104.85
C0408,Delta,10,0,75.48
C0212,Value,612,0,72.42
C0068,Core,684,0,103.94
C0026,Core,302,0,49.3
C0197,Value,269,1,81.09
C0176,Value,720,1,54.97
