worker_id,department,education,tenure_years,last_review_date,wage
73,Engineering,highschool,13,2026-03-30,53.1
74,Operations,highschool,3,2026-02-09,64.0
75,Operations,graduate,3,2026-05-11,82.6
76,Engineering,highschool,2,2026-05-29,52.3
77,Sales,college,1,2026-04-15,70.1
78,Support,highschool,6,2026-01-21,63.6
79,Operations,college,11,2026-04-26,59.9
80,Engineering,college,1,2026-03-16,76.5
81,Operations,college,14,2026-02-11,60.2
82,Operations,college,7,2026-02-05,71.8
83,Operations,college,7,2026-02-01,47.0
84,Sales,highschool,4,2026-01-23,56.6
85,Engineering,college,1,2026-02-18,95.0
86,Sales,graduate,12,2026-05-08,93.8
87,Operations,college,13,2026-01-02,83.2
88,Sales,college,1,2026-04-26,56.4
89,Operations,college,4,2026-03-06,79.7
90,Operations,graduate,2,2026-01-07,96.7
91,Operations,graduate,6,2026-02-13,
92,Operations,highschool,1,2026-02-05,49.6
93,Operations,highschool,2,2026-05-15,44.0
94,Engineering,graduate,11,2026-04-18,
95,Engineering,graduate,5,2026-06-04,86.2
96,Sales,highschool,13,2026-05-03,55.2
97,Engineering,highschool,2,2026-04-08,26.4
98,Sales,college,4,2026-04-05,83.6
99,Sales,graduate,1,2026-01-11,61.9
100,Operations,highschool,13,2026-05-03,56.6
101,Engineering,college,1,2026-02-26,95.1
102,Operations,highschool,5,2026-05-03,53.7
103,Sales,highschool,3,2026-03-13,43.7
104,Operations,graduate,10,2026-04-04,75.1
105,Support,college,13,2026-01-09,66.5
106,Support,graduate,7,2026-06-11,85.7
107,Support,college,5,2026-02-02,81.9
108,Operations,highschool,7,2026-02-25,54.0
109,Engineering,graduate,13,2026-04-04,
110,Operations,college,8,2026-02-23,66.3
111,Support,college,8,2026-02-02,92.3
112,Engineering,highschool,3,2026-06-06,57.2
113,Engineering,highschool,5,2026-05-21,47.8
114,Sales,college,2,2026-06-25,62.7
115,Operations,college,7,2026-03-26,75.6
116,Sales,college,8,2026-03-07,60.4
117,Operations,college,12,2026-06-15,71.5
118,Sales,highschool,5,2026-06-29,33.4
119,Support,graduate,7,2026-03-11,90.0
120,Support,graduate,13,2026-01-23,
121,Operations,college,7,2026-04-24,65.6
122,Operations,highschool,2,2026-06-04,46.5
123,Sales,highschool,8,2026-05-13,48.7
124,Sales,college,5,2026-04-10,62.7
125,Support,highschool,8,2026-02-03,45.4
126,Engineering,highschool,6,2026-03-26,42.7
127,Support,highschool,8,2026-01-11,57.1
128,Operations,college,4,2026-04-23,60.5
129,Engineering,college,4,2026-04-24,78.3
130,Operations,highschool,1,2026-05-21,53.4
131,Support,graduate,4,2026-06-06,
132,Engineering,college,13,2026-03-31,78.9
133,Support,highschool,3,2026-04-07,56.4
134,Engineering,college,12,2026-04-21,77.5
135,Engineering,highschool,7,2026-06-01,61.1
136,Sales,college,2,2026-01-24,83.4
137,Operations,graduate,12,2026-05-08,
138,Engineering,college,11,2026-05-23,70.5
139,Engineering,college,14,2026-06-18,67.4
140,Sales,college,1,2026-05-19,69.7
141,Operations,college,2,2026-01-02,68.9
142,Operations,highschool,14,2026-04-20,53.5
143,Sales,college,9,2026-05-13,80.6
144,Support,college,3,2026-01-04,81.1
145,Operations,college,14,2026-04-05,78.1
146,Support,graduate,5,2026-05-19,66.0
147,Engineering,college,9,2026-05-31,73.7
148,Sales,college,14,2026-02-21,89.9
149,Sales,highschool,2,2026-05-01,40.2
150,Support,highschool,3,2026-06-18,59.1
151,Operations,highschool,7,2026-04-02,73.4
152,Sales,college,14,2026-03-13,77.4
153,Engineering,graduate,2,2026-03-16,
154,Engineering,graduate,3,2026-05-19,
155,Operations,highschool,4,2026-04-06,38.1
156,Sales,college,8,2026-01-07,69.7
157,Support,college,13,2026-06-26,77.2
158,Engineering,college,12,2026-04-24,59.8
159,Operations,college,9,2026-02-22,65.6
160,Engineering,college,6,2026-01-15,105.7
161,Engineering,college,5,2026-05-08,46.6
162,Sales,highschool,4,2026-05-03,58.5
163,Operations,highschool,13,2026-03-23,45.1
164,Engineering,college,3,2026-04-10,76.3
165,Engineering,highschool,12,2026-02-19,52.5
166,Support,highschool,12,2026-02-04,51.9
167,Operations,graduate,14,2026-06-08,97.3
168,Engineering,college,5,2026-02-19,72.6
169,Operations,highschool,1,2026-01-02,30.7
170,Support,highschool,10,2026-01-01,36.9
171,Operations,college,4,2026-02-16,72.4
172,Operations,highschool,13,2026-02-28,51.5
173,Support,graduate,6,2026-02-22,86.0
174,Engineering,highschool,10,2026-06-15,31.6
175,Sales,highschool,10,2026-04-18,41.6
176,Sales,college,13,2026-06-26,65.8
177,Operations,college,8,2026-05-31,68.3
178,Sales,college,13,2026-01-27,68.3
179,Sales,college,1,2026-05-08,73.5
180,Engineering,college,7,2026-05-20,65.8
181,Operations,highschool,9,2026-01-24,47.4
182,Operations,graduate,8,2026-04-22,
183,Sales,highschool,2,2026-03-14,50.6
184,Sales,highschool,4,2026-06-21,54.1
185,Operations,highschool,9,2026-04-12,46.5
186,Sales,college,12,2026-01-26,61.0
187,Engineering,graduate,9,2026-02-08,84.5
188,Engineering,highschool,10,2026-05-03,50.4
189,Engineering,graduate,9,2026-03-14,
190,Engineering,graduate,9,2026-06-22,87.6
191,Sales,highschool,4,2026-01-19,34.1
192,Sales,highschool,14,2026-05-21,68.0
193,Sales,college,14,2026-03-03,67.1
194,Operations,graduate,7,2026-01-03,97.8
195,Sales,graduate,8,2026-03-08,
196,Support,graduate,7,2026-01-30,
197,Sales,graduate,7,2026-04-20,92.2
198,Engineering,college,10,2026-03-06,88.5
199,Operations,highschool,9,2026-03-30,59.5
200,Sales,highschool,12,2026-04-27,36.1
201,Engineering,college,8,2026-03-19,77.9
202,Support,college,6,2026-04-27,60.8
203,Sales,highschool,14,2026-03-19,41.0
204,Engineering,highschool,14,2026-06-12,44.7
205,Operations,graduate,9,2026-05-16,
206,Operations,college,3,2026-03-23,69.5
207,Engineering,highschool,7,2026-05-26,47.1
208,Operations,college,1,2026-04-21,71.1
209,Support,graduate,4,2026-03-16,85.9
210,Sales,college,13,2026-01-16,74.1
211,Support,college,3,2026-05-31,65.5
212,Operations,college,10,2026-01-16,74.6
213,Support,highschool,11,2026-05-12,46.6
214,Sales,college,12,2026-02-20,67.7
215,Engineering,highschool,6,2026-05-17,72.7
216,Operations,graduate,10,2026-03-16,
217,Operations,college,4,2026-05-05,78.4
218,Sales,highschool,11,2026-05-21,46.0
219,Support,highschool,10,2026-01-14,53.4
220,Sales,highschool,5,2026-05-15,53.2
221,Sales,highschool,6,2026-04-10,55.9
222,Sales,graduate,2,2026-01-31,82.6
223,Operations,college,3,2026-02-17,75.9
224,Operations,college,12,2026-02-19,51.6
225,Operations,college,7,2026-03-16,77.2
226,Support,highschool,7,2026-04-25,47.6
227,Support,college,3,2026-01-08,68.8
228,Engineering,college,7,2026-05-14,83.9
229,Operations,college,3,2026-06-11,72.9
230,Sales,highschool,6,2026-05-08,52.2
231,Sales,graduate,9,2026-01-20,
232,Sales,highschool,4,2026-04-09,52.4
233,Sales,college,1,2026-02-26,77.7
234,Sales,highschool,2,2026-01-25,42.5
235,Support,college,9,2026-06-21,64.2
236,Operations,college,9,2026-01-02,66.7
237,Engineering,graduate,6,2026-05-08,
238,Operations,college,2,2026-06-05,96.1
239,Sales,highschool,12,2026-01-11,57.1
240,Operations,college,7,2026-02-12,72.4
241,Engineering,college,7,2026-04-19,104.0
242,Sales,college,13,2026-05-19,74.5
243,Engineering,college,3,2026-04-12,84.8
244,Sales,highschool,5,2026-02-01,54.3
245,Support,graduate,10,2026-04-26,85.6
246,Engineering,college,7,2026-06-03,57.6
247,Support,graduate,3,2026-06-10,96.2
248,Engineering,college,8,2026-06-02,54.9
249,Engineering,college,1,2026-04-25,77.5
250,Engineering,highschool,14,2026-05-04,41.1
251,Engineering,graduate,12,2026-02-23,82.5
252,Operations,highschool,4,2026-04-28,48.6
253,Support,highschool,11,2026-02-18,37.1
254,Engineering,graduate,13,2026-04-30,
255,Engineering,college,8,2026-06-26,69.4
256,Engineering,college,6,2026-01-02,85.2
257,Operations,graduate,3,2026-04-09,
258,Sales,college,5,2026-01-10,86.7
259,Engineering,college,3,2026-05-04,76.6
260,Sales,highschool,13,2026-06-20,36.7
261,Sales,college,11,2026-03-24,88.4
262,Support,highschool,9,2026-05-15,63.8
263,Support,graduate,9,2026-06-26,83.5
264,Engineering,graduate,9,2026-04-24,67.7
265,Engineering,college,7,2026-03-26,76.6
266,Operations,highschool,6,2026-04-07,47.5
267,Engineering,highschool,2,2026-06-11,43.4
268,Engineering,college,4,2026-03-10,53.0
269,Support,highschool,10,2026-05-21,51.3
270,Sales,graduate,12,2026-01-29,
271,Operations,college,12,2026-02-22,76.5
272,Support,graduate,6,2026-02-06,77.0
273,Support,college,1,2026-01-16,67.5
274,Operations,highschool,13,2026-04-10,56.3
275,Operations,highschool,5,2026-03-11,35.9
276,Support,highschool,9,2026-02-01,49.1
277,Support,graduate,10,2026-04-12,65.7
278,Engineering,highschool,8,2026-05-12,48.8
279,Support,highschool,2,2026-06-18,56.3
280,Engineering,highschool,9,2026-01-06,41.9
281,Support,college,5,2026-03-05,73.5
282,Engineering,highschool,6,2026-05-04,40.7
283,Support,college,12,2026-06-15,92.2
284,Support,highschool,6,2026-05-11,57.9
285,Operations,college,6,2026-04-30,55.8
286,Operations,highschool,8,2026-04-24,49.7
287,Engineering,college,13,2026-04-10,60.1
288,Operations,college,7,2026-06-23,73.5
289,Support,graduate,4,2026-01-20,79.6
290,Operations,college,13,2026-01-04,70.6
291,Operations,highschool,10,2026-03-01,56.4
292,Support,college,8,2026-02-18,52.5
293,Sales,college,10,2026-01-02,59.3
294,Support,highschool,9,2026-01-23,32.8
295,Operations,graduate,10,2026-01-22,
296,Sales,highschool,9,2026-03-24,52.3
297,Sales,graduate,3,2026-01-06,
298,Engineering,highschool,4,2026-01-08,67.6
299,Engineering,graduate,6,2026-05-25,
300,Support,college,5,2026-04-21,78.8
301,Engineering,graduate,6,2026-03-11,
302,Operations,college,6,2026-02-13,63.8
303,Operations,highschool,10,2026-01-20,58.5
304,Support,highschool,8,2026-01-28,50.6
305,Support,highschool,5,2026-02-15,59.5
306,Operations,graduate,13,2026-06-04,87.3
307,Sales,college,5,2026-02-19,64.8
308,Sales,graduate,3,2026-05-07,94.0
309,Support,graduate,7,2026-05-03,78.0
310,Sales,college,1,2026-02-22,72.9
311,Operations,college,4,2026-05-14,77.5
312,Operations,college,10,2026-01-20,75.9
313,Engineering,highschool,2,2026-01-18,54.8
314,Sales,college,14,2026-02-10,51.6
315,Support,highschool,14,2026-01-18,53.7
316,Engineering,highschool,12,2026-03-15,43.0
317,Sales,college,9,2026-03-28,54.5
318,Support,highschool,6,2026-03-30,51.2
319,Operations,graduate,5,2026-05-24,89.6
320,Sales,graduate,11,2026-03-27,
321,Operations,college,10,2026-05-13,71.6
322,Operations,highschool,11,2026-01-29,54.3
323,Operations,highschool,6,2026-06-09,58.6
324,Engineering,highschool,9,2026-01-08,26.8
325,Sales,college,6,2026-01-18,66.4
326,Sales,highschool,3,2026-06-12,37.5
327,Support,college,5,2026-04-21,63.0
328,Sales,highschool,1,2026-03-07,65.8
329,Sales,college,2,2026-03-25,78.6
330,Engineering,highschool,12,2026-05-15,35.7
331,Operations,college,3,2026-05-24,68.7
332,Operations,graduate,4,2026-02-20,
333,Operations,college,2,2026-01-29,63.0
334,Sales,highschool,2,2026-02-24,44.8
335,Support,highschool,14,2026-06-02,52.4
336,Support,college,9,2026-02-11,82.7
337,Sales,highschool,9,2026-02-19,35.4
338,Support,graduate,5,2026-03-31,75.2
339,Operations,graduate,10,2026-06-06,94.2
340,Operations,graduate,10,2026-03-08,
341,Operations,graduate,8,2026-03-17,
342,Operations,graduate,10,2026-05-21,
343,Sales,highschool,13,2026-02-01,39.5
344,Sales,highschool,4,2026-01-09,46.8
345,Support,highschool,11,2026-06-25,54.8
346,Sales,college,1,2026-04-28,73.8
347,Sales,college,13,2026-06-06,61.2
348,Sales,highschool,11,2026-03-20,49.3
349,Sales,highschool,2,2026-01-25,49.6
350,Operations,college,10,2026-02-27,67.9
351,Operations,highschool,3,2026-06-14,52.4
352,Sales,highschool,2,2026-04-20,45.6
353,Operations,college,14,2026-03-26,62.1
354,Engineering,highschool,13,2026-01-03,58.1
355,Operations,graduate,11,2026-06-27,88.2
356,Engineering,college,3,2026-04-26,67.8
357,Sales,college,5,2026-02-18,63.9
358,Sales,highschool,2,2026-06-29,63.0
359,Support,college,1,2026-06-09,55.5
360,Sales,highschool,1,2026-06-23,36.7
361,Sales,college,10,2026-01-01,72.3
362,Engineering,graduate,9,2026-06-16,84.7
363,Support,highschool,14,2026-03-29,45.8
364,Support,graduate,10,2026-02-09,87.5
365,Operations,college,7,2026-03-22,71.4
366,Support,college,12,2026-06-13,49.6
367,Support,highschool,11,2026-06-06,49.9
368,Support,college,1,2026-03-08,65.1
369,Support,highschool,10,2026-04-04,49.0
370,Support,highschool,3,2026-02-28,46.6
371,Support,college,14,2026-05-26,77.8
372,Operations,college,11,2026-02-09,76.0
373,Support,highschool,1,2026-06-24,32.0
374,Operations,highschool,3,2026-03-17,48.5
375,Sales,highschool,3,2026-02-01,53.9
376,Support,highschool,13,2026-06-07,49.0
377,Support,highschool,12,2026-03-13,56.2
378,Engineering,graduate,7,2026-06-17,96.4
379,Support,college,8,2026-02-11,52.1
380,Sales,highschool,7,2026-03-25,51.2
381,Support,college,14,2026-03-30,67.6
382,Operations,college,14,2026-04-23,76.9
383,Engineering,graduate,3,2026-04-04,
384,Sales,highschool,4,2026-04-27,56.2
385,Operations,graduate,14,2026-06-18,98.4
386,Operations,college,14,2026-05-04,61.3
387,Sales,highschool,12,2026-04-14,34.9
388,Engineering,college,12,2026-03-17,80.5
389,Support,college,6,2026-03-24,70.2
390,Support,graduate,2,2026-01-03,
391,Engineering,highschool,4,2026-02-22,41.2
392,Support,highschool,10,2026-03-04,44.6
393,Sales,college,4,2026-03-01,56.2
394,Sales,highschool,4,2026-03-03,51.7
395,Operations,college,6,2026-01-25,73.7
396,Engineering,highschool,14,2026-02-28,75.2
397,Engineering,college,1,2026-02-05,81.1
398,Sales,graduate,1,2026-03-15,
399,Support,highschool,9,2026-04-05,49.0
400,Operations,college,7,2026-05-03,85.4
401,Sales,college,9,2026-01-25,54.4
402,Operations,highschool,10,2026-01-21,64.1
403,Operations,college,4,2026-03-06,76.0
404,Sales,college,7,2026-06-08,70.9
405,Support,college,9,2026-03-11,70.6
406,Support,college,7,2026-05-10,76.4
407,Engineering,college,12,2026-02-12,58.8
408,Engineering,highschool,6,2026-05-22,28.4
409,Sales,highschool,2,2026-06-13,64.0
410,Engineering,graduate,2,2026-05-09,80.4
411,Engineering,highschool,7,2026-03-08,31.6
412,Support,graduate,11,2026-03-08,89.8
413,Engineering,college,4,2026-04-06,74.6
414,Sales,highschool,14,2026-06-26,70.1
415,Sales,college,14,2026-05-20,67.9
416,Support,college,14,2026-01-24,48.5
417,Sales,highschool,2,2026-04-08,57.5
418,Support,college,10,2026-01-24,85.1
419,Engineering,highschool,8,2026-04-29,63.9
420,Engineering,graduate,5,2026-03-01,
421,Operations,college,1,2026-03-24,54.9
422,Support,highschool,9,2026-02-28,43.0
423,Engineering,highschool,7,2026-02-08,60.1
424,Sales,college,3,2026-02-16,105.8
425,Engineering,college,7,2026-04-15,73.4
426,Support,college,4,2026-02-17,90.7
427,Operations,highschool,2,2026-05-08,53.0
428,Support,highschool,2,2026-02-13,43.5
429,Sales,college,8,2026-04-03,70.6
430,Support,highschool,2,2026-02-23,37.5
431,Sales,college,5,2026-05-08,49.1
432,Engineering,highschool,8,2026-06-07,43.2
433,Support,highschool,10,2026-02-05,32.7
434,Engineering,college,11,2026-02-16,80.8
435,Operations,highschool,1,2026-03-15,35.3
436,Support,highschool,8,2026-06-04,48.4
437,Support,college,4,2026-06-24,58.3
438,Operations,graduate,13,2026-05-31,95.5
439,Engineering,graduate,13,2026-02-14,71.1
440,Sales,highschool,5,2026-06-24,43.9
441,Operations,graduate,14,2026-02-03,
442,Operations,highschool,11,2026-03-26,38.0
443,Engineering,graduate,14,2026-01-23,88.1
444,Support,highschool,10,2026-06-21,55.2
445,Support,highschool,8,2026-04-16,38.6
446,Engineering,college,9,2026-04-09,74.0
447,Operations,college,8,2026-05-19,79.2
448,Support,highschool,13,2026-01-24,58.6
449,Operations,highschool,9,2026-01-15,51.2
450,Support,graduate,9,2026-06-16,92.4
451,Sales,highschool,2,2026-01-02,52.2
452,Engineering,college,10,2026-02-27,76.4
453,Engineering,college,2,2026-04-13,103.6
454,Engineering,college,13,2026-06-01,45.6
455,Sales,highschool,2,2026-05-04,51.4
456,Engineering,college,1,2026-03-20,84.1
457,Operations,college,7,2026-02-13,61.2
458,Operations,highschool,3,2026-01-13,43.4
459,Operations,highschool,6,2026-05-17,56.9
460,Sales,college,5,2026-02-25,54.7
461,Sales,college,8,2026-06-25,57.8
462,Support,college,8,2026-01-01,96.9
463,Engineering,college,9,2026-01-07,75.4
464,Support,highschool,1,2026-02-20,48.5
465,Support,college,1,2026-05-07,73.3
466,Support,highschool,13,2026-01-12,46.4
467,Engineering,highschool,5,2026-02-02,39.0
468,Engineering,highschool,12,2026-03-18,49.7
469,Support,college,10,2026-02-08,62.4
470,Support,graduate,12,2026-05-20,76.9
471,Support,college,8,2026-06-28,96.4
472,Operations,highschool,14,2026-04-20,52.4
473,Engineering,college,14,2026-04-19,58.3
474,Sales,college,4,2026-04-23,90.0
475,Operations,highschool,4,2026-05-25,50.4
476,Operations,college,4,2026-06-05,51.9
477,Engineering,college,4,2026-01-09,42.3
478,Support,highschool,1,2026-01-11,50.5
479,Sales,college,6,2026-02-25,90.6
