user_id,segment,retained_30d
U0164,SMB,1
U0165,SMB,0
U0166,SMB,0
U0167,SMB,1
U0168,SMB,0
U0169,Enterprise,1
U0170,SMB,0
U0171,Enterprise,1
U0172,SMB,1
U0173,Enterprise,1
U0174,Enterprise,0
U0175,Enterprise,1
U0176,Enterprise,1
U0177,SMB,1
U0178,Enterprise,0
U0179,SMB,0
U0180,Enterprise,0
U0181,SMB,0
U0182,SMB,0
U0183,SMB,0
U0184,Enterprise,0
U0185,Enterprise,0
U0186,Enterprise,0
U0187,SMB,1
U0188,Enterprise,1
U0189,Enterprise,1
U0190,SMB,0
U0191,SMB,1
U0192,SMB,1
U0193,SMB,0
U0194,SMB,0
U0195,SMB,1
U0196,SMB,0
U0197,SMB,0
U0198,SMB,1
U0199,SMB,0
U0200,SMB,1
U0201,Enterprise,0
U0202,Enterprise,1
U0203,Enterprise,0
U0204,SMB,0
U0205,Enterprise,1
U0206,Enterprise,0
U0207,SMB,1
U0208,SMB,1
U0209,Enterprise,1
U0210,Enterprise,1
U0211,SMB,0
U0212,SMB,1
U0213,SMB,0
U0214,SMB,1
U0215,Enterprise,0
U0216,SMB,0
U0217,Enterprise,0
U0218,SMB,0
U0219,SMB,1
U0220,SMB,0
U0221,SMB,1
U0222,SMB,0
U0223,Enterprise,1
U0224,Enterprise,0
U0225,Enterprise,1
U0226,Enterprise,0
U0227,SMB,1
U0228,SMB,0
U0229,SMB,0
U0230,SMB,1
U0231,SMB,0
U0232,Enterprise,1
U0233,Enterprise,0
U0234,SMB,1
U0235,SMB,0
U0236,Enterprise,0
U0237,Enterprise,0
U0238,Enterprise,0
U0239,SMB,0
U0240,SMB,0
U0241,Enterprise,0
U0242,SMB,1
U0243,SMB,1
U0244,SMB,0
U0245,Enterprise,0
U0246,SMB,1
U0247,SMB,0
U0248,SMB,0
U0249,SMB,1
U0250,SMB,1
U0251,SMB,0
U0252,SMB,0
U0253,SMB,1
U0254,SMB,0
U0255,Enterprise,1
U0256,SMB,1
U0257,Enterprise,0
U0258,SMB,1
U0259,SMB,0
U0260,SMB,0
U0261,SMB,1
U0262,SMB,0
U0263,Enterprise,0
U0264,SMB,1
U0265,SMB,0
U0266,SMB,1
U0267,SMB,0
U0268,SMB,1
U0269,SMB,0
U0270,SMB,1
U0271,SMB,0
U0272,SMB,0
U0273,Enterprise,1
U0274,SMB,0
U0275,SMB,0
U0276,SMB,1
U0277,Enterprise,0
U0278,Enterprise,1
U0279,SMB,0
U0280,Enterprise,0
U0281,Enterprise,1
U0282,SMB,1
U0283,SMB,0
U0284,SMB,1
U0285,SMB,1
U0286,SMB,1
U0287,SMB,1
U0288,Enterprise,0
U0289,SMB,0
U0290,SMB,0
U0291,SMB,0
U0292,SMB,1
U0293,Enterprise,1
U0294,SMB,0
U0295,SMB,1
U0296,Enterprise,0
U0297,Enterprise,1
U0298,SMB,0
U0299,SMB,0
U0300,Enterprise,0
U0301,SMB,1
U0302,Enterprise,1
U0303,Enterprise,0
U0304,Enterprise,0
U0305,Enterprise,1
U0306,Enterprise,0
U0307,SMB,1
U0308,SMB,1
U0309,SMB,1
U0310,SMB,1
U0311,SMB,1
U0312,SMB,1
U0313,SMB,0
U0314,SMB,0
U0315,SMB,0
U0316,Enterprise,1
U0317,SMB,1
U0318,SMB,1
U0319,SMB,0
U0320,Enterprise,1
U0321,SMB,1
U0322,SMB,1
U0323,SMB,0
U0324,Enterprise,0
U0325,SMB,0
U0326,SMB,0
U0327,SMB,0
U0328,SMB,1
U0329,SMB,0
U0330,SMB,0
U0331,SMB,0
U0332,SMB,0
U0333,SMB,0
U0334,SMB,1
U0335,SMB,0
U0336,SMB,0
U0337,SMB,0
U0338,Enterprise,0
U0339,SMB,0
U0340,Enterprise,0
U0341,SMB,1
U0342,SMB,1
U0343,SMB,0
U0344,Enterprise,0
U0345,SMB,0
U0346,SMB,1
U0347,SMB,1
U0348,SMB,1
U0349,Enterprise,0
U0350,SMB,1
U0351,Enterprise,1
U0352,SMB,1
U0353,SMB,0
U0354,SMB,0
U0355,SMB,1
U0356,SMB,1
U0357,Enterprise,1
U0358,Enterprise,1
U0359,SMB,1
U0360,Enterprise,0
U0361,SMB,0
U0362,SMB,0
U0363,SMB,0
U0364,SMB,1
U0365,Enterprise,1
U0366,SMB,1
U0367,Enterprise,0
U0368,SMB,0
U0369,SMB,1
U0370,Enterprise,0
U0371,Enterprise,0
U0372,SMB,1
U0373,SMB,1
U0374,Enterprise,1
U0375,SMB,0
U0376,SMB,0
U0377,Enterprise,0
U0378,Enterprise,0
U0379,SMB,0
U0380,Enterprise,0
U0381,Enterprise,1
U0382,SMB,0
U0383,SMB,0
U0384,Enterprise,0
U0385,SMB,0
U0386,Enterprise,0
U0387,SMB,0
U0388,SMB,0
U0389,SMB,0
U0390,SMB,0
U0391,Enterprise,1
U0392,Enterprise,0
U0393,Enterprise,1
U0394,SMB,0
U0395,SMB,0
U0396,SMB,0
U0397,SMB,0
U0398,Enterprise,1
U0399,Enterprise,0
U0400,SMB,1
U0401,SMB,1
U0402,SMB,0
U0403,SMB,0
U0404,Enterprise,0
U0405,SMB,0
U0406,SMB,1
U0407,SMB,1
U0408,SMB,0
U0409,Enterprise,1
U0410,SMB,0
U0411,Enterprise,0
U0412,SMB,1
U0413,SMB,1
U0414,SMB,1
U0415,SMB,0
U0416,SMB,1
U0417,SMB,0
U0418,SMB,1
U0419,Enterprise,0
U0420,SMB,1
U0421,Enterprise,1
U0422,SMB,1
U0423,Enterprise,0
U0424,Enterprise,1
U0425,Enterprise,1
U0426,SMB,1
U0427,Enterprise,0
U0428,SMB,1
U0429,SMB,0
U0430,SMB,0
U0431,Enterprise,1
U0432,Enterprise,1
U0433,Enterprise,1
U0434,SMB,0
U0435,SMB,1
U0436,Enterprise,1
U0437,SMB,1
U0438,SMB,1
U0439,SMB,0
U0440,SMB,0
U0441,SMB,0
U0442,SMB,0
U0443,SMB,0
U0444,SMB,1
U0445,SMB,1
U0446,SMB,1
U0447,SMB,1
U0448,SMB,0
U0449,SMB,0
U0450,Enterprise,1
U0451,SMB,0
U0452,SMB,1
U0453,SMB,0
U0454,SMB,0
U0455,SMB,1
U0456,SMB,1
U0457,Enterprise,1
U0458,SMB,0
U0459,SMB,1
U0460,SMB,0
U0461,SMB,0
U0462,SMB,1
U0463,SMB,0
U0464,SMB,1
U0465,SMB,1
U0466,SMB,1
U0467,SMB,1
U0468,SMB,1
U0469,SMB,0
U0470,SMB,0
U0471,SMB,1
U0472,SMB,0
U0473,SMB,1
U0474,SMB,1
U0475,Enterprise,0
U0476,Enterprise,0
U0477,SMB,0
U0478,Enterprise,0
U0479,SMB,0
U0480,SMB,0
U0481,Enterprise,0
U0482,SMB,0
U0483,SMB,1
U0484,SMB,0
U0485,Enterprise,0
U0486,Enterprise,1
U0487,Enterprise,0
U0488,Enterprise,1
U0489,Enterprise,1
U0490,SMB,1
U0491,SMB,1
U0492,SMB,0
U0493,Enterprise,1
U0494,SMB,0
U0495,SMB,1
U0496,SMB,1
U0497,SMB,1
U0498,SMB,0
U0499,SMB,0
U0500,Enterprise,0
U0501,SMB,0
U0502,Enterprise,0
U0503,SMB,0
U0504,SMB,0
U0505,SMB,1
U0506,Enterprise,0
U0507,SMB,1
U0508,SMB,1
U0509,SMB,0
U0510,SMB,1
U0511,SMB,1
U0512,SMB,1
U0513,Enterprise,1
U0514,SMB,1
U0515,SMB,0
U0516,Enterprise,0
U0517,SMB,1
U0518,SMB,0
U0519,Enterprise,0
U0520,SMB,0
U0521,Enterprise,0
U0522,SMB,0
U0523,Enterprise,1
U0524,SMB,0
U0525,SMB,0
U0526,SMB,0
U0527,Enterprise,1
U0528,SMB,1
U0529,SMB,0
U0530,SMB,0
U0531,SMB,0
U0532,SMB,1
U0533,SMB,0
U0534,SMB,0
U0535,SMB,1
U0536,SMB,1
U0537,SMB,0
U0538,Enterprise,0
U0539,Enterprise,1
U0540,SMB,1
U0541,SMB,1
U0542,SMB,1
U0543,Enterprise,0
U0544,Enterprise,1
U0545,SMB,1
U0546,SMB,0
U0547,Enterprise,0
U0548,Enterprise,0
U0549,SMB,0
U0550,Enterprise,0
U0551,SMB,1
U0552,SMB,0
U0553,Enterprise,0
U0554,SMB,0
U0555,Enterprise,1
U0556,SMB,1
U0557,SMB,1
U0558,SMB,0
U0559,Enterprise,0
U0560,SMB,1
U0561,SMB,0
U0562,SMB,1
U0563,Enterprise,0
U0564,SMB,1
U0565,Enterprise,0
U0566,Enterprise,0
U0567,SMB,1
U0568,SMB,1
U0569,SMB,0
U0570,SMB,1
U0571,Enterprise,0
U0572,SMB,0
U0573,Enterprise,1
U0574,SMB,0
U0575,SMB,1
U0576,Enterprise,1
U0577,SMB,1
U0578,SMB,0
U0579,SMB,1
U0580,SMB,1
U0581,Enterprise,0
U0582,SMB,1
U0583,SMB,1
U0584,SMB,1
U0585,SMB,1
U0586,SMB,0
U0587,Enterprise,1
U0588,SMB,0
U0589,SMB,1
U0590,SMB,1
U0591,SMB,0
U0592,Enterprise,0
U0593,Enterprise,0
U0594,SMB,1
U0595,SMB,0
U0596,Enterprise,0
U0597,SMB,0
U0598,SMB,0
U0599,SMB,1
U0600,SMB,1
U0601,SMB,0
U0602,SMB,1
U0603,Enterprise,1
U0604,SMB,1
U0605,Enterprise,0
U0606,SMB,1
U0607,SMB,1
U0608,SMB,1
U0609,SMB,0
U0610,Enterprise,1
U0611,SMB,0
U0612,SMB,0
U0613,SMB,1
U0614,SMB,0
U0615,SMB,0
U0616,Enterprise,1
U0617,SMB,0
U0618,SMB,0
U0619,SMB,0
