student_id,treated,transferred_mid_year,test_score
210,1,1,44.8
211,0,0,74.5
212,0,1,62.5
213,0,0,73.8
214,0,0,65.8
215,1,0,70.0
216,1,0,64.5
217,0,0,66.9
218,0,0,74.8
219,1,1,64.9
220,1,1,52.7
221,1,0,74.3
222,1,0,77.8
223,1,1,48.4
224,1,0,80.2
225,0,0,82.4
226,0,0,68.9
227,1,0,69.1
228,1,1,44.9
229,0,0,60.9
230,1,0,89.0
231,0,0,62.8
232,1,0,68.1
233,0,0,71.3
234,0,0,69.9
235,0,0,78.9
236,1,1,54.7
237,0,0,57.4
238,1,0,76.1
239,1,0,91.8
240,0,0,62.9
241,0,0,75.6
242,1,0,66.7
243,0,0,83.6
244,0,0,73.7
245,1,0,84.7
246,0,1,67.2
247,1,0,85.0
248,0,0,76.9
249,1,0,73.7
250,1,0,76.3
251,0,0,59.2
252,0,0,74.2
253,0,0,68.2
254,1,0,84.5
255,1,0,76.5
256,1,1,55.6
257,1,0,84.9
258,0,0,72.8
259,0,0,79.1
260,1,0,90.3
261,0,0,66.4
262,1,0,75.2
263,0,0,75.8
264,1,0,60.9
265,1,0,101.9
266,1,1,49.4
267,1,1,44.9
268,0,0,76.8
269,0,0,69.7
270,0,0,84.5
271,0,0,49.7
272,0,0,65.3
273,0,0,80.5
274,1,0,61.8
275,0,0,74.6
276,0,0,72.3
277,0,1,51.8
278,0,0,58.9
279,1,0,63.6
280,0,0,82.7
281,1,0,76.8
282,0,0,64.6
283,0,0,59.0
284,1,0,61.3
285,0,0,66.4
286,0,0,81.9
287,0,0,74.6
288,0,0,59.3
289,0,0,83.9
290,0,0,83.3
291,0,0,50.4
292,1,1,66.3
293,0,0,79.7
294,0,0,63.5
295,0,0,60.5
296,0,0,64.0
297,1,0,53.6
298,1,0,72.0
299,0,0,75.7
300,0,0,69.0
301,0,0,66.8
302,1,1,62.9
303,0,0,57.6
304,1,0,87.9
305,0,0,61.3
306,1,0,75.4
307,1,0,76.6
308,1,0,82.3
309,1,0,77.6
310,1,0,74.6
311,0,0,77.4
312,0,0,77.2
313,0,0,71.5
314,0,0,63.1
315,0,0,79.1
316,0,0,81.4
317,1,0,78.7
318,0,0,74.9
319,1,0,56.9
320,0,0,67.1
321,1,0,74.9
322,0,0,77.9
323,0,0,62.0
324,0,0,53.5
325,1,0,88.4
326,1,0,74.9
327,1,1,53.8
328,1,1,58.6
329,1,0,71.1
330,0,0,55.2
331,1,0,71.9
332,1,0,77.2
333,1,0,75.2
334,1,0,77.4
335,1,1,59.1
336,1,0,59.8
337,0,0,68.8
338,1,0,70.1
339,1,0,70.9
340,1,0,71.5
341,0,0,71.6
342,0,0,68.4
343,1,0,65.0
344,0,0,61.2
345,0,0,70.0
346,1,0,60.9
347,1,0,72.2
348,1,0,91.2
349,1,1,71.1
350,1,0,71.0
351,1,0,59.1
352,1,0,79.9
353,1,1,68.0
354,1,0,86.5
355,0,0,70.1
356,1,0,74.6
357,1,0,57.2
358,1,0,82.1
359,1,0,64.4
360,1,0,80.6
361,0,0,72.3
362,0,0,55.4
363,1,0,86.8
364,1,0,81.1
365,1,0,68.0
366,0,0,75.2
367,1,0,79.5
368,0,0,80.0
369,0,0,81.4
370,0,0,71.9
371,0,1,42.1
372,0,0,69.5
373,1,0,71.7
374,0,0,75.1
375,0,0,71.3
376,0,0,65.6
377,0,0,55.2
378,1,0,67.2
379,0,0,83.2
380,0,0,66.8
381,0,0,57.2
382,0,0,63.6
383,0,0,78.9
384,0,0,76.9
385,0,0,64.5
386,0,0,75.2
387,1,1,56.3
388,0,0,62.9
389,1,0,66.1
390,0,0,58.7
391,1,1,55.2
392,0,0,64.2
393,0,0,58.6
394,1,0,89.1
395,0,1,50.9
396,1,0,63.4
397,0,0,75.8
398,0,0,79.4
399,1,1,60.8
400,1,0,72.2
401,1,0,76.3
402,0,0,77.2
403,1,0,94.0
404,1,0,90.9
405,1,1,47.2
406,0,1,30.5
407,0,0,63.5
408,1,0,64.5
409,1,0,71.9
410,1,0,67.1
411,0,0,59.0
412,1,0,87.3
413,1,0,65.8
414,0,0,50.1
415,1,0,69.9
416,1,0,80.2
417,0,0,72.5
418,0,0,72.4
419,1,0,71.5
420,1,0,74.7
421,0,0,62.3
422,0,0,67.1
423,1,0,82.7
424,1,0,77.9
425,1,1,61.2
426,0,0,78.6
427,0,0,75.4
428,0,0,72.1
429,0,0,48.9
430,1,1,61.5
431,0,0,72.5
432,0,1,55.4
433,0,0,62.3
434,1,0,95.8
435,1,0,71.1
436,1,0,78.9
437,1,0,83.9
438,0,0,77.6
439,0,0,72.4
440,1,0,92.0
441,1,0,67.8
442,0,0,60.5
443,1,1,70.9
444,1,0,62.4
445,0,0,70.2
446,1,1,45.9
447,0,0,56.7
448,1,0,79.1
449,1,1,71.1
450,1,0,67.6
451,1,0,83.1
452,0,1,33.4
453,1,0,57.3
454,0,0,77.5
455,1,0,78.3
456,0,0,72.7
457,0,1,48.4
458,0,0,88.9
459,1,1,57.2
460,1,0,77.2
461,0,0,71.9
462,0,0,67.6
463,1,0,64.4
464,1,0,86.8
465,0,0,65.1
466,1,0,75.7
467,1,0,93.5
468,0,0,68.9
469,0,0,72.9
470,0,0,66.0
471,1,0,68.6
472,0,0,75.1
473,0,0,70.0
474,1,0,73.9
475,1,0,82.8
476,0,0,73.3
477,1,0,83.7
478,0,0,72.6
479,0,0,42.7
480,1,0,73.4
481,1,0,75.0
482,0,0,70.6
483,1,0,88.5
484,0,0,55.9
485,1,0,84.6
486,1,0,68.0
487,1,0,79.2
488,0,0,66.7
489,1,0,68.4
490,0,0,54.3
491,1,0,70.4
492,1,0,72.5
493,0,0,74.6
494,1,1,59.9
495,0,0,72.7
496,1,0,56.5
497,0,0,79.5
498,0,0,51.4
499,1,0,93.7
