tx_id,month,amount
TX000066,2026-01,155.14
TX040009,2026-05,83.62
TX050064,2026-06,216.38
TX040067,2026-05,276.8
TX010011,2026-02,138.28
TX020003,2026-03,292.93
TX020030,2026-03,188.2
TX020044,2026-03,404.36
TX020103,2026-03,412.59
TX050066,2026-06,221.99
TX030091,2026-04,112.2
TX040065,2026-05,534.02
TX030097,2026-04,129.89
TX040044,2026-05,201.42
TX040014,2026-05,445.75
TX020100,2026-03,62.83
TX030041,2026-04,102.55
TX050031,2026-06,402.13
TX020028,2026-03,63.51
TX030015,2026-04,363.28
TX000069,2026-01,216.26
TX020077,2026-03,325.43
TX050046,2026-06,137.14
TX040053,2026-05,192.46
TX050052,2026-06,66.15
TX030094,2026-04,330.55
TX020063,2026-03,166.42
TX050076,2026-06,399.02
TX000030,2026-01,374.63
TX010067,2026-02,140.04
TX020071,2026-03,284.44
TX020067,2026-03,169.43
TX040076,2026-05,278.72
TX040032,2026-05,229.27
TX010042,2026-02,369.28
TX050041,2026-06,315.89
TX020072,2026-03,177.9
TX050030,2026-06,265.49
TX050085,2026-06,184.47
TX000068,2026-01,319.15
TX020098,2026-03,162.54
TX050079,2026-06,333.24
TX000032,2026-01,226.08
TX030095,2026-04,238.39
TX000081,2026-01,290.38
TX050006,2026-06,133.07
TX030063,2026-04,198.01
TX050014,2026-06,177.68
TX020081,2026-03,575.42
TX020057,2026-03,207.73
TX020037,2026-03,203.63
TX030075,2026-04,153.45
TX020002,2026-03,168.66
TX000007,2026-01,167.09
TX050078,2026-06,132.41
TX010074,2026-02,312.8
TX010053,2026-02,48.65
TX010001,2026-02,338.76
TX050042,2026-06,145.94
TX050023,2026-06,272.32
TX050005,2026-06,120.91
TX030044,2026-04,171.07
TX000065,2026-01,143.19
TX040058,2026-05,284.25
TX030089,2026-04,225.0
TX040041,2026-05,147.1
TX020053,2026-03,614.43
TX010059,2026-02,531.95
TX010084,2026-02,369.72
TX020049,2026-03,128.37
TX000044,2026-01,109.5
TX010070,2026-02,324.36
TX020050,2026-03,103.51
TX050035,2026-06,204.24
TX040068,2026-05,57.84
TX020024,2026-03,372.18
TX040020,2026-05,229.5
TX010075,2026-02,145.26
TX010016,2026-02,119.59
TX040034,2026-05,120.41
TX050059,2026-06,314.52
TX030021,2026-04,220.27
TX040003,2026-05,240.51
TX020104,2026-03,108.7
TX030060,2026-04,275.8
TX000074,2026-01,93.03
TX030002,2026-04,153.15
TX030052,2026-04,399.58
TX000012,2026-01,67.87
TX030003,2026-04,165.55
TX000005,2026-01,214.63
TX000055,2026-01,105.93
TX030038,2026-04,223.96
TX030066,2026-04,419.36
TX020068,2026-03,328.48
TX020032,2026-03,320.68
TX000079,2026-01,376.64
TX020013,2026-03,273.47
TX030013,2026-04,111.21
TX030029,2026-04,592.22
TX050062,2026-06,308.23
TX050049,2026-06,424.42
TX020089,2026-03,179.36
TX000009,2026-01,227.54
TX000073,2026-01,285.36
TX000041,2026-01,171.84
TX020031,2026-03,255.38
TX050050,2026-06,152.96
TX020070,2026-03,234.16
TX030086,2026-04,356.49
TX030061,2026-04,225.32
TX000015,2026-01,196.73
TX020010,2026-03,184.19
TX030099,2026-04,164.76
TX020013,2026-03,273.47
TX020018,2026-03,129.84
TX010064,2026-02,256.07
TX020017,2026-03,125.32
TX040079,2026-05,198.52
TX010008,2026-02,260.57
TX040043,2026-05,176.0
TX020034,2026-03,326.32
TX020032,2026-03,320.68
TX000062,2026-01,144.53
TX020059,2026-03,437.35
TX020042,2026-03,167.13
TX040018,2026-05,176.63
TX020007,2026-03,169.11
TX020055,2026-03,437.11
TX010043,2026-02,326.4
TX040007,2026-05,125.16
TX000034,2026-01,200.46
TX020086,2026-03,207.48
TX030014,2026-04,224.6
TX050028,2026-06,214.13
TX010029,2026-02,373.46
TX050029,2026-06,465.53
TX020039,2026-03,270.02
TX040073,2026-05,267.85
TX040013,2026-05,195.58
TX020020,2026-03,196.89
TX030100,2026-04,272.24
TX020005,2026-03,151.65
TX010023,2026-02,242.51
TX030072,2026-04,233.2
TX020000,2026-03,232.56
TX020052,2026-03,347.28
TX000052,2026-01,562.46
TX040030,2026-05,637.08
TX040054,2026-05,278.45
TX040031,2026-05,112.46
TX030010,2026-04,180.65
TX000028,2026-01,504.98
TX010037,2026-02,200.01
TX020019,2026-03,150.2
TX050021,2026-06,224.23
TX000006,2026-01,460.5
TX000020,2026-01,528.69
TX040026,2026-05,107.16
TX050002,2026-06,208.63
TX050010,2026-06,209.44
TX050022,2026-06,305.64
TX030019,2026-04,418.83
TX040006,2026-05,68.49
TX030045,2026-04,256.69
TX030036,2026-04,132.85
TX020014,2026-03,374.38
TX020073,2026-03,148.41
TX050058,2026-06,85.96
TX020099,2026-03,466.0
TX020108,2026-03,172.86
TX010012,2026-02,188.66
TX050018,2026-06,104.97
TX020036,2026-03,278.79
TX040059,2026-05,254.44
TX040060,2026-05,200.71
TX040072,2026-05,293.1
TX040049,2026-05,147.09
TX050004,2026-06,101.01
TX010060,2026-02,221.18
TX020091,2026-03,261.93
TX030042,2026-04,147.05
TX030050,2026-04,212.38
TX040010,2026-05,241.81
TX040074,2026-05,112.85
TX050060,2026-06,218.82
TX000029,2026-01,158.97
TX000077,2026-01,172.47
TX010015,2026-02,320.91
TX040046,2026-05,271.44
TX040052,2026-05,413.26
TX020001,2026-03,110.33
TX000054,2026-01,190.82
TX010044,2026-02,83.59
TX050032,2026-06,348.94
TX020054,2026-03,188.3
TX010086,2026-02,170.23
TX010081,2026-02,207.28
TX020024,2026-03,372.18
TX020104,2026-03,108.7
TX030037,2026-04,302.65
TX050063,2026-06,79.09
TX000002,2026-01,337.46
TX030011,2026-04,197.56
TX030040,2026-04,69.76
TX020109,2026-03,156.01
TX020082,2026-03,64.03
TX050065,2026-06,198.7
TX050003,2026-06,248.85
TX030026,2026-04,130.84
TX000008,2026-01,148.88
TX050016,2026-06,348.78
TX010050,2026-02,384.6
TX000019,2026-01,220.92
TX000000,2026-01,63.91
TX010061,2026-02,454.57
TX050007,2026-06,380.14
TX000051,2026-01,179.23
TX030017,2026-04,271.61
TX050027,2026-06,338.61
TX010026,2026-02,359.9
TX040004,2026-05,256.39
TX000042,2026-01,131.5
TX000047,2026-01,105.82
TX000024,2026-01,133.13
TX040016,2026-05,284.5
TX040070,2026-05,102.03
TX030020,2026-04,195.67
TX020020,2026-03,196.89
TX030077,2026-04,388.85
TX010073,2026-02,225.89
TX020008,2026-03,365.53
TX010024,2026-02,208.73
TX030022,2026-04,244.64
TX030085,2026-04,57.08
TX050073,2026-06,307.74
TX020023,2026-03,163.94
TX010054,2026-02,626.03
TX020034,2026-03,326.32
TX030039,2026-04,263.05
TX030012,2026-04,452.99
TX040056,2026-05,348.73
TX050056,2026-06,168.25
TX020076,2026-03,160.79
TX030054,2026-04,361.99
TX020056,2026-03,231.31
TX030048,2026-04,129.4
TX040028,2026-05,173.06
TX010013,2026-02,231.24
TX030023,2026-04,170.89
TX000023,2026-01,353.48
TX000048,2026-01,217.47
TX020092,2026-03,187.78
TX020000,2026-03,232.56
TX000039,2026-01,119.64
TX020090,2026-03,211.66
TX010010,2026-02,233.22
TX030007,2026-04,250.36
TX000011,2026-01,258.63
TX020016,2026-03,196.69
TX030028,2026-04,283.34
TX030080,2026-04,515.72
TX030073,2026-04,221.03
TX050080,2026-06,298.47
TX040037,2026-05,363.39
TX020022,2026-03,266.78
TX030096,2026-04,103.94
TX000058,2026-01,376.01
TX040001,2026-05,209.68
TX020015,2026-03,301.25
TX050069,2026-06,104.47
TX020106,2026-03,187.95
TX020039,2026-03,270.02
TX010078,2026-02,95.89
TX020108,2026-03,172.86
TX000059,2026-01,289.66
TX030084,2026-04,169.99
TX050044,2026-06,171.68
TX000013,2026-01,132.73
TX040022,2026-05,233.09
TX020093,2026-03,359.3
TX030087,2026-04,46.81
TX010021,2026-02,178.43
TX010072,2026-02,216.79
TX050077,2026-06,140.66
TX000063,2026-01,199.67
TX040017,2026-05,289.53
TX040050,2026-05,302.43
TX020070,2026-03,234.16
TX000056,2026-01,130.64
TX040064,2026-05,246.03
TX020073,2026-03,148.41
TX000017,2026-01,109.12
TX020102,2026-03,124.17
TX030057,2026-04,126.74
TX000060,2026-01,98.91
TX000001,2026-01,106.88
TX040062,2026-05,197.49
TX020049,2026-03,128.37
TX020009,2026-03,284.57
TX000037,2026-01,67.19
TX030043,2026-04,367.2
TX020093,2026-03,359.3
TX040000,2026-05,386.87
TX030025,2026-04,355.11
TX010047,2026-02,419.26
TX010041,2026-02,252.8
TX030059,2026-04,121.72
TX030081,2026-04,447.49
TX030056,2026-04,354.35
TX040040,2026-05,182.99
TX020111,2026-03,151.22
TX040038,2026-05,230.87
TX010066,2026-02,209.16
TX000027,2026-01,238.8
TX030076,2026-04,123.89
TX010048,2026-02,222.68
TX030083,2026-04,218.61
TX020096,2026-03,123.33
TX020072,2026-03,177.9
TX000010,2026-01,402.08
TX020031,2026-03,255.38
TX050071,2026-06,194.72
TX030090,2026-04,127.92
TX050020,2026-06,437.83
TX050082,2026-06,377.67
TX020086,2026-03,207.48
TX000070,2026-01,213.45
TX030098,2026-04,228.86
TX020001,2026-03,110.33
TX040033,2026-05,270.06
TX000026,2026-01,99.53
TX010068,2026-02,54.95
TX010046,2026-02,198.55
TX020079,2026-03,189.71
TX010036,2026-02,216.43
TX010017,2026-02,486.39
TX020030,2026-03,188.2
TX050051,2026-06,143.34
TX010045,2026-02,234.21
TX020046,2026-03,345.43
TX050054,2026-06,175.07
TX020091,2026-03,261.93
TX020057,2026-03,207.73
TX010018,2026-02,280.81
TX000053,2026-01,76.97
TX000080,2026-01,328.99
TX020011,2026-03,245.6
TX010056,2026-02,141.9
TX040071,2026-05,221.71
TX020045,2026-03,109.83
TX040055,2026-05,242.85
TX010007,2026-02,361.36
TX020029,2026-03,146.07
TX020079,2026-03,189.71
TX040027,2026-05,402.17
TX050043,2026-06,103.22
TX030046,2026-04,156.87
TX040021,2026-05,118.66
TX050047,2026-06,251.33
TX020067,2026-03,169.43
TX050009,2026-06,280.65
TX030065,2026-04,455.42
TX020008,2026-03,365.53
TX040005,2026-05,204.58
TX010085,2026-02,127.66
TX030051,2026-04,267.6
TX000075,2026-01,168.87
TX010065,2026-02,182.37
TX030053,2026-04,316.11
TX010076,2026-02,187.63
TX050072,2026-06,291.14
TX040042,2026-05,108.48
TX020065,2026-03,473.5
TX040025,2026-05,181.09
TX020041,2026-03,240.2
TX040024,2026-05,223.16
TX050019,2026-06,242.42
TX020025,2026-03,136.38
TX010082,2026-02,91.84
TX000040,2026-01,158.87
TX040061,2026-05,258.56
TX050017,2026-06,284.88
TX000004,2026-01,354.09
TX020053,2026-03,614.43
TX000022,2026-01,220.0
TX020078,2026-03,130.04
TX000031,2026-01,97.39
TX010039,2026-02,278.21
TX040080,2026-05,686.28
TX020082,2026-03,64.03
TX000021,2026-01,189.67
TX000025,2026-01,333.2
TX010019,2026-02,300.35
TX030071,2026-04,211.44
TX020055,2026-03,437.11
TX050000,2026-06,262.39
TX020080,2026-03,253.53
TX010022,2026-02,426.01
TX040015,2026-05,241.86
TX020066,2026-03,373.95
TX020040,2026-03,191.34
TX030092,2026-04,226.99
TX030034,2026-04,137.98
TX040077,2026-05,377.29
TX050026,2026-06,525.1
TX050068,2026-06,190.06
TX020071,2026-03,284.44
TX050057,2026-06,45.17
TX050081,2026-06,120.8
TX050055,2026-06,204.6
TX030024,2026-04,172.4
TX030031,2026-04,224.25
TX040075,2026-05,527.5
TX010058,2026-02,95.78
TX020106,2026-03,187.95
TX050048,2026-06,109.09
TX030004,2026-04,233.84
TX000018,2026-01,130.27
TX020078,2026-03,130.04
TX040051,2026-05,315.18
TX030047,2026-04,121.01
TX010062,2026-02,246.59
TX010004,2026-02,247.78
TX020021,2026-03,299.7
TX020010,2026-03,184.19
TX050012,2026-06,145.49
TX000072,2026-01,372.32
TX030006,2026-04,274.3
TX050024,2026-06,211.38
TX040036,2026-05,234.18
TX030049,2026-04,219.11
TX020023,2026-03,163.94
TX030058,2026-04,209.25
TX030068,2026-04,276.62
TX030078,2026-04,337.01
TX020064,2026-03,273.84
TX000014,2026-01,285.27
TX020088,2026-03,345.44
TX000057,2026-01,213.33
TX050036,2026-06,167.41
TX010027,2026-02,127.45
TX020058,2026-03,70.98
TX020092,2026-03,187.78
TX050008,2026-06,115.78
TX030030,2026-04,509.58
TX010069,2026-02,174.3
TX010038,2026-02,177.39
TX010002,2026-02,206.32
TX010014,2026-02,388.92
TX020004,2026-03,260.42
TX020004,2026-03,260.42
TX040035,2026-05,410.01
