transaction_id,store_id,net_sales
T00283,S02,250.3
T00284,S14,329.86
T00285,S11,349.73
T00286,S01,257.54
T00287,S06,291.87
T00288,S10,178.16
T00289,S05,291.59
T00290,S16,434.95
T00291,S13,425.98
T00292,S04,324.2
T00293,S01,314.0
T00294,S08,234.45
T00295,S19,249.0
T00296,S07,228.98
T00297,S01,229.53
T00298,S22,178.4
T00299,S09,422.37
T00300,S16,279.02
T00301,S03,191.39
T00302,S11,363.57
T00303,S18,117.05
T00304,S13,196.72
T00305,S24,233.65
T00306,S13,157.2
T00307,S01,274.35
T00308,S03,327.46
T00309,S23,303.52
T00310,S24,253.23
T00311,S23,52.47
T00312,S21,417.28
T00313,S12,361.72
T00314,S11,223.81
T00315,S04,305.94
T00316,S21,214.11
T00317,S15,210.57
T00318,S11,274.75
T00319,S21,128.7
T00320,S07,412.51
T00321,S13,386.6
T00322,S12,147.95
T00323,S14,134.77
T00324,S21,291.76
T00325,S11,236.03
T00326,S09,192.84
T00327,S05,135.37
T00328,S10,234.79
T00329,S06,196.47
T00330,S04,320.13
T00331,S19,211.32
T00332,S08,184.17
T00333,S06,279.77
T00334,S02,161.69
T00335,S12,264.25
T00336,S23,203.0
T00337,S18,183.67
T00338,S04,180.83
T00339,S02,126.98
T00340,S10,238.12
T00341,S24,320.54
T00342,S21,280.22
T00343,S11,201.59
T00344,S13,192.91
T00345,S04,314.0
T00346,S11,271.84
T00347,S17,284.91
T00348,S12,228.99
T00349,S13,186.58
T00350,S13,135.79
T00351,S10,308.5
T00352,S04,106.63
T00353,S13,172.49
T00354,S16,313.06
T00355,S24,226.95
T00356,S11,333.44
T00357,S02,154.62
T00358,S16,191.15
T00359,S06,231.1
T00360,S20,188.83
T00361,S16,306.06
T00362,S16,243.76
T00363,S17,358.71
T00364,S12,104.02
T00365,S24,302.45
T00366,S06,157.4
T00367,S20,203.07
T00368,S14,106.41
T00369,S11,156.59
T00370,S20,114.64
T00371,S10,261.82
T00372,S20,179.01
T00373,S14,188.95
T00374,S10,278.52
T00375,S14,157.68
T00376,S08,249.78
T00377,S10,294.83
T00378,S24,257.94
T00379,S04,251.18
T00380,S10,225.7
T00381,S08,220.97
T00382,S02,201.72
T00383,S07,273.93
T00384,S14,154.29
T00385,S13,116.28
T00386,S13,301.02
T00387,S08,575.46
T00388,S03,184.2
T00389,S21,374.21
T00390,S08,301.06
T00391,S21,330.62
T00392,S04,394.82
T00393,S02,354.81
T00394,S08,309.69
T00395,S03,188.4
T00396,S06,219.18
T00397,S14,406.53
T00398,S23,395.03
T00399,S19,221.78
T00400,S05,286.46
T00401,S15,162.79
T00402,S08,145.9
T00403,S09,126.45
T00404,S05,258.75
T00405,S03,313.94
T00406,S09,159.47
T00407,S05,142.19
T00408,S04,190.12
T00409,S05,192.99
T00410,S02,385.66
T00411,S15,244.96
T00412,S18,324.05
T00413,S09,213.42
T00414,S02,270.17
T00415,S23,166.0
T00416,S01,321.42
T00417,S08,221.09
T00418,S03,228.78
T00419,S11,356.05
T00420,S02,177.28
T00421,S22,149.47
T00422,S22,260.02
T00423,S14,409.05
T00424,S02,172.85
T00425,S24,299.73
T00426,S22,248.75
T00427,S11,285.96
T00428,S18,187.13
T00429,S01,270.7
T00430,S18,257.14
T00431,S11,207.24
T00432,S05,185.64
T00433,S06,119.79
T00434,S16,290.06
T00435,S09,315.58
T00436,S08,203.42
T00437,S09,306.35
T00438,S04,200.63
T00439,S15,209.17
T00440,S16,322.98
T00441,S16,438.69
T00442,S11,78.97
T00443,S19,447.46
T00444,S02,215.93
T00445,S07,177.44
T00446,S02,232.87
T00447,S07,208.44
T00448,S08,328.45
T00449,S16,356.47
T00450,S08,291.06
T00451,S24,307.01
T00452,S22,168.23
T00453,S11,282.58
T00454,S20,313.82
T00455,S14,235.54
T00456,S23,135.15
T00457,S20,264.52
T00458,S13,222.23
T00459,S18,136.42
T00460,S24,125.83
T00461,S12,192.82
T00462,S24,247.75
T00463,S01,210.19
T00464,S18,182.07
T00465,S17,138.93
T00466,S12,332.39
T00467,S21,235.47
T00468,S11,155.79
T00469,S17,315.49
T00470,S09,230.73
T00471,S17,187.94
T00472,S19,178.08
T00473,S02,54.46
T00474,S16,249.95
T00475,S18,121.82
T00476,S06,237.88
T00477,S08,321.67
T00478,S14,305.77
T00479,S22,393.94
T00480,S04,214.85
T00481,S06,345.43
T00482,S09,220.43
T00483,S09,541.7
T00484,S23,248.43
T00485,S13,26.78
T00486,S13,311.61
T00487,S09,446.1
T00488,S10,200.72
T00489,S12,345.96
T00490,S22,379.85
T00491,S12,274.41
T00492,S17,64.12
T00493,S17,327.5
T00494,S08,165.04
T00495,S17,309.5
T00496,S01,280.16
T00497,S11,242.75
T00498,S08,499.0
T00499,S03,242.98
T00500,S02,104.8
T00501,S19,246.53
T00502,S10,249.8
T00503,S20,372.69
T00504,S06,70.39
T00505,S18,233.51
T00506,S16,426.63
T00507,S21,322.58
T00508,S24,261.13
T00509,S15,176.48
T00510,S24,264.85
T00511,S19,329.71
T00512,S19,305.09
T00513,S07,345.86
T00514,S21,219.75
T00515,S18,208.5
T00516,S01,152.36
T00517,S07,355.46
T00518,S03,96.13
T00519,S12,164.75
T00520,S18,313.31
T00521,S11,94.95
T00522,S24,410.05
T00523,S24,248.24
T00524,S24,223.05
T00525,S01,230.72
T00526,S05,236.1
T00527,S07,308.85
T00528,S07,223.24
T00529,S21,227.82
T00530,S21,362.0
T00531,S07,586.85
T00532,S04,258.07
T00533,S16,415.31
T00534,S18,191.77
T00535,S13,214.82
T00536,S23,249.67
T00537,S21,155.34
T00538,S22,303.01
T00539,S06,262.83
T00540,S19,102.19
T00541,S14,232.01
T00542,S03,286.47
T00543,S15,172.23
T00544,S15,194.11
T00545,S04,117.04
T00546,S12,260.34
T00547,S20,216.92
T00548,S20,452.26
T00549,S15,243.2
T00550,S24,374.59
T00551,S09,165.74
T00552,S07,284.34
T00553,S24,224.82
T00554,S14,247.72
T00555,S09,270.38
T00556,S09,135.79
T00557,S23,166.96
T00558,S17,177.79
T00559,S16,52.57
T00560,S08,371.19
T00561,S18,164.16
T00562,S16,123.16
T00563,S22,92.69
T00564,S24,171.28
T00565,S17,263.06
T00566,S18,256.46
T00567,S02,283.95
T00568,S01,211.85
T00569,S07,288.61
T00570,S11,215.52
T00571,S04,223.09
T00572,S06,313.32
T00573,S01,190.24
T00574,S17,168.5
T00575,S06,224.37
T00576,S09,297.84
T00577,S14,13.53
T00578,S21,334.51
T00579,S13,168.65
T00580,S12,234.71
T00581,S01,172.33
T00582,S02,207.7
T00583,S24,250.85
T00584,S22,140.86
T00585,S16,232.55
T00586,S19,144.96
T00587,S07,164.78
T00588,S01,420.02
T00589,S19,203.47
T00590,S14,157.53
T00591,S22,280.22
T00592,S21,262.17
T00593,S06,423.63
T00594,S17,274.01
T00595,S03,154.38
T00596,S24,269.69
T00597,S22,263.55
T00598,S06,365.98
T00599,S04,185.14
T00600,S23,251.54
T00601,S12,399.58
T00602,S14,170.85
T00603,S11,177.91
T00604,S07,302.93
T00605,S19,121.24
T00606,S07,197.38
T00607,S06,337.84
T00608,S22,107.75
T00609,S05,345.55
T00610,S06,256.02
T00611,S23,180.14
T00612,S23,476.79
T00613,S01,188.57
T00614,S24,119.24
T00615,S08,206.71
T00616,S08,445.27
T00617,S11,346.16
T00618,S02,79.33
T00619,S11,115.26
T00620,S19,435.47
T00621,S06,274.2
T00622,S03,212.0
T00623,S01,240.16
T00624,S08,243.18
T00625,S20,237.97
T00626,S04,147.09
T00627,S05,325.4
T00628,S20,128.26
T00629,S13,475.77
T00630,S11,137.76
T00631,S11,192.98
T00632,S17,362.76
T00633,S02,61.73
T00634,S05,252.18
T00635,S15,143.37
T00636,S08,235.01
T00637,S07,579.06
T00638,S03,221.34
T00639,S02,152.07
T00640,S24,339.77
T00641,S11,250.36
T00642,S22,202.09
T00643,S03,304.71
T00644,S10,198.45
T00645,S04,384.5
T00646,S03,317.41
T00647,S03,211.51
T00648,S05,747.11
T00649,S01,168.1
T00650,S23,163.24
T00651,S02,284.44
T00652,S13,446.56
T00653,S19,507.17
T00654,S11,314.11
T00655,S02,114.4
T00656,S08,219.4
T00657,S20,342.24
T00658,S20,99.88
T00659,S07,300.62
T00660,S21,393.12
T00661,S18,164.03
T00662,S06,336.42
T00663,S14,223.39
T00664,S09,216.55
T00665,S12,290.98
T00666,S11,220.1
T00667,S21,306.1
T00668,S08,111.41
T00669,S10,202.7
T00670,S13,271.85
T00671,S01,156.16
T00672,S23,404.7
T00673,S14,268.13
T00674,S16,260.43
T00675,S18,297.73
T00676,S01,186.51
T00677,S22,319.74
T00678,S02,161.89
T00679,S01,475.53
T00680,S05,266.01
T00681,S15,186.46
T00682,S18,191.87
T00683,S11,128.4
T00684,S16,269.18
T00685,S05,337.94
T00686,S18,269.53
T00687,S05,196.93
T00688,S03,144.43
T00689,S08,145.07
T00690,S03,185.07
T00691,S06,151.22
T00692,S04,354.07
T00693,S11,201.32
T00694,S08,272.97
T00695,S15,151.76
T00696,S11,57.28
T00697,S20,396.79
T00698,S12,76.94
T00699,S05,410.23
T00700,S23,254.65
T00701,S10,131.99
T00702,S03,104.52
T00703,S09,136.39
T00704,S20,271.89
T00705,S16,281.62
T00706,S05,251.27
T00707,S21,207.68
T00708,S22,120.04
T00709,S15,317.77
T00710,S18,220.56
T00711,S14,532.39
T00712,S08,293.69
T00713,S03,294.66
T00714,S03,207.29
T00715,S17,302.6
T00716,S05,405.5
T00717,S17,278.43
T00718,S22,384.19
T00719,S02,159.92
T00720,S15,339.09
T00721,S20,290.45
T00722,S17,137.26
T00723,S06,158.79
T00724,S10,267.09
T00725,S23,344.82
T00726,S04,206.43
T00727,S11,296.72
T00728,S12,262.64
T00729,S07,223.56
T00730,S03,281.49
T00731,S07,147.32
T00732,S08,237.53
T00733,S24,150.56
T00734,S08,217.97
T00735,S02,429.64
T00736,S11,143.44
T00737,S09,367.19
T00738,S09,244.78
T00739,S13,208.88
T00740,S19,136.08
T00741,S13,256.56
T00742,S20,164.52
T00743,S07,201.23
T00744,S06,262.81
T00745,S17,297.02
T00746,S21,302.79
T00747,S24,333.56
T00748,S11,134.3
T00749,S21,345.02
T00750,S14,230.85
T00751,S23,206.24
T00752,S02,260.03
T00753,S22,384.18
T00754,S16,247.35
T00755,S24,209.74
T00756,S10,225.14
T00757,S05,224.91
T00758,S12,213.07
T00759,S17,109.28
T00760,S11,296.03
T00761,S19,505.34
T00762,S07,195.31
T00763,S17,209.55
T00764,S13,229.52
T00765,S11,174.88
T00766,S07,323.84
T00767,S22,243.92
T00768,S06,220.24
T00769,S20,332.74
T00770,S08,236.62
T00771,S01,178.96
T00772,S13,418.17
T00773,S06,202.51
T00774,S15,196.08
T00775,S08,201.34
T00776,S07,316.25
T00777,S17,332.94
T00778,S11,124.1
T00779,S04,331.97
T00780,S04,318.99
T00781,S05,176.81
T00782,S09,260.38
T00783,S05,498.09
T00784,S24,411.35
T00785,S04,134.7
T00786,S24,160.74
T00787,S03,155.84
T00788,S04,452.57
T00789,S22,244.49
T00790,S23,390.57
T00791,S01,363.46
T00792,S14,194.07
T00793,S11,247.33
T00794,S12,155.48
T00795,S02,242.48
T00796,S15,262.43
T00797,S16,97.86
T00798,S20,216.92
T00799,S10,441.46
T00800,S16,128.11
T00801,S19,490.02
T00802,S15,174.32
T00803,S14,90.78
T00804,S07,179.17
T00805,S11,115.02
T00806,S01,216.98
T00807,S21,96.26
T00808,S14,203.03
T00809,S17,155.64
T00810,S14,217.86
T00811,S20,444.27
T00812,S15,369.36
T00813,S16,231.52
T00814,S21,285.81
T00815,S21,391.93
T00816,S05,467.82
T00817,S11,218.89
T00818,S14,138.19
T00819,S21,176.51
T00820,S14,281.83
T00821,S12,85.94
T00822,S13,400.6
T00823,S17,180.41
T00824,S20,403.42
T00825,S23,393.18
T00826,S23,598.12
T00827,S20,231.78
T00828,S01,174.37
T00829,S13,61.65
T00830,S06,190.9
T00831,S18,226.16
T00832,S07,295.75
T00833,S09,263.21
T00834,S08,648.44
T00835,S08,374.29
T00836,S21,146.89
T00837,S23,185.24
T00838,S04,448.7
T00839,S01,140.47
T00840,S12,173.04
T00841,S15,524.98
T00842,S07,233.47
T00843,S06,277.49
T00844,S08,312.87
T00845,S15,371.53
T00846,S14,282.25
T00847,S11,242.99
T00848,S13,387.75
T00849,S18,148.34
T00850,S14,170.77
T00851,S19,188.09
T00852,S08,204.53
T00853,S11,245.66
T00854,S16,196.43
T00855,S24,213.97
T00856,S17,146.89
T00857,S14,190.06
T00858,S20,196.35
T00859,S13,122.89
T00860,S07,354.76
T00861,S16,227.98
T00862,S22,301.76
T00863,S14,259.54
T00864,S02,287.92
T00865,S20,217.43
T00866,S01,253.27
T00867,S17,211.65
T00868,S03,111.29
T00869,S21,134.17
T00870,S18,158.98
T00871,S17,247.75
T00872,S08,364.36
T00873,S04,207.15
T00874,S07,64.51
T00875,S17,293.91
T00876,S07,314.0
T00877,S24,253.09
T00878,S09,307.42
T00879,S20,280.09
T00880,S19,400.25
T00881,S07,436.38
T00882,S24,438.55
T00883,S01,418.02
T00884,S23,233.04
T00885,S16,431.85
T00886,S12,170.41
T00887,S08,245.97
T00888,S16,272.87
T00889,S09,306.07
T00890,S04,113.74
T00891,S16,85.9
T00892,S24,386.66
T00893,S07,251.02
T00894,S24,125.75
T00895,S20,162.06
T00896,S11,300.93
T00897,S16,116.25
T00898,S16,205.87
T00899,S17,237.08
T00900,S23,299.81
