customer_id,tenure_months,monthly_spend,plan_tier,support_tickets_opened_90d,logins_per_week,churned
CUST00070,20,92.15,Basic,2,3,1
CUST00071,5,63.58,Basic,2,9,1
CUST00072,16,64.23,Pro,1,7,1
CUST00073,27,106.6,Pro,0,6,1
CUST00074,11,65.2,Basic,6,5,1
CUST00075,5,46.07,Basic,4,2,1
CUST00076,40,77.2,Basic,1,7,0
CUST00077,17,54.26,Basic,4,8,0
CUST00078,53,88.68,Pro,0,6,0
CUST00079,21,72.6,Premium,2,4,1
CUST00080,53,67.06,Pro,19,2,1
CUST00081,42,58.31,Basic,2,10,0
CUST00082,6,54.47,Premium,0,10,1
CUST00083,39,77.39,Basic,2,2,0
CUST00084,13,88.76,Premium,1,4,0
CUST00085,7,89.18,Pro,1,4,0
CUST00086,26,67.19,Basic,2,10,1
CUST00087,23,71.42,Basic,1,6,0
CUST00088,52,89.86,Pro,0,7,0
CUST00089,36,77.39,Pro,1,3,1
CUST00090,50,63.82,Basic,0,7,0
CUST00091,12,93.86,Basic,4,5,1
CUST00092,11,68.75,Basic,0,3,0
CUST00093,23,62.31,Basic,0,4,0
CUST00094,27,83.18,Basic,1,6,0
CUST00095,1,56.79,Basic,1,7,0
CUST00096,30,48.39,Basic,0,1,0
CUST00097,25,90.99,Pro,4,6,1
CUST00098,53,85.98,Basic,1,7,0
CUST00099,11,122.34,Basic,0,6,0
CUST00100,31,83.83,Pro,0,11,0
CUST00101,24,90.01,Premium,10,0,0
CUST00102,46,74.4,Pro,3,3,0
CUST00103,52,81.53,Pro,0,6,1
CUST00104,56,79.91,Basic,0,9,0
CUST00105,54,52.97,Basic,28,10,1
CUST00106,57,106.05,Pro,1,8,0
CUST00107,10,83.09,Basic,0,5,0
CUST00108,18,68.22,Basic,0,5,0
CUST00109,1,98.19,Pro,1,6,0
CUST00110,21,58.85,Pro,2,9,0
CUST00111,47,106.04,Basic,0,6,0
CUST00112,56,100.72,Basic,0,5,0
CUST00113,7,64.64,Pro,3,5,0
CUST00114,14,64.31,Basic,7,2,1
CUST00115,31,90.39,Premium,6,7,1
CUST00116,56,100.53,Basic,1,4,0
CUST00117,17,114.64,Basic,2,2,1
CUST00118,32,60.48,Basic,4,6,0
CUST00119,42,58.13,Basic,5,6,1
CUST00120,15,97.02,Pro,0,2,0
CUST00121,40,109.51,Basic,3,8,0
CUST00122,6,84.45,Basic,12,6,1
CUST00123,20,43.08,Basic,2,4,0
CUST00124,53,115.72,Premium,0,11,0
CUST00125,43,86.15,Pro,6,5,0
CUST00126,46,103.0,Basic,2,3,0
CUST00127,32,62.16,Pro,1,3,0
CUST00128,9,80.27,Basic,0,3,0
CUST00129,18,59.72,Pro,2,5,1
CUST00130,35,96.95,Basic,7,6,1
CUST00131,2,113.56,Pro,0,14,0
CUST00132,36,59.22,Basic,0,4,0
CUST00133,30,61.43,Basic,0,9,0
CUST00134,53,35.15,Pro,5,4,1
CUST00135,30,43.95,Basic,2,3,1
CUST00136,46,88.98,Basic,1,4,0
CUST00137,46,109.71,Basic,10,1,1
CUST00138,18,76.19,Pro,1,6,1
CUST00139,2,77.89,Basic,0,7,0
CUST00140,46,85.15,Pro,1,3,1
CUST00141,38,59.08,Basic,6,8,1
CUST00142,9,62.24,Basic,1,3,0
CUST00143,35,60.71,Premium,10,5,1
CUST00144,32,57.27,Basic,1,8,1
CUST00145,56,97.29,Pro,0,6,0
CUST00146,5,94.83,Premium,0,3,0
CUST00147,7,73.05,Premium,3,5,0
CUST00148,27,74.46,Pro,0,8,0
CUST00149,11,73.76,Pro,3,6,0
CUST00150,44,98.41,Premium,1,2,1
CUST00151,43,72.09,Basic,0,8,0
CUST00152,36,74.01,Basic,0,5,0
CUST00153,7,63.76,Basic,1,7,1
CUST00154,1,76.39,Basic,5,10,1
CUST00155,35,68.94,Basic,2,5,1
CUST00156,6,82.99,Premium,10,4,1
CUST00157,21,48.06,Basic,0,4,1
CUST00158,36,65.01,Basic,13,4,1
CUST00159,29,74.36,Pro,0,13,0
CUST00160,28,109.33,Basic,3,7,0
CUST00161,23,59.26,Pro,0,5,0
CUST00162,13,72.81,Basic,0,5,0
CUST00163,13,59.36,Basic,5,6,0
CUST00164,29,38.7,Basic,5,3,0
CUST00165,9,85.13,Basic,2,3,0
CUST00166,47,59.84,Basic,5,2,1
CUST00167,47,49.82,Basic,0,8,1
CUST00168,24,81.07,Pro,1,6,1
CUST00169,28,77.29,Basic,6,4,1
CUST00170,2,55.98,Basic,0,4,1
CUST00171,55,85.58,Pro,0,9,0
CUST00172,26,63.36,Basic,2,8,0
CUST00173,14,86.7,Basic,3,2,1
CUST00174,10,100.22,Pro,2,11,0
CUST00175,29,78.07,Basic,0,12,0
CUST00176,8,63.02,Basic,6,10,0
CUST00177,45,52.57,Premium,5,9,0
CUST00178,24,94.34,Pro,0,8,0
CUST00179,57,100.85,Premium,0,5,1
CUST00180,59,75.6,Basic,1,13,0
CUST00181,4,100.19,Pro,2,6,1
CUST00182,26,83.3,Premium,1,2,0
CUST00183,24,63.6,Pro,0,9,0
CUST00184,16,71.29,Premium,2,6,0
CUST00185,52,95.87,Basic,7,1,0
CUST00186,15,84.48,Premium,1,3,1
CUST00187,53,81.45,Premium,0,3,0
CUST00188,36,65.45,Pro,2,2,0
CUST00189,49,78.43,Premium,0,6,0
CUST00190,40,62.98,Premium,0,7,0
CUST00191,23,76.68,Basic,0,5,0
CUST00192,23,70.45,Basic,0,6,0
CUST00193,53,95.37,Basic,9,5,1
CUST00194,44,76.52,Pro,0,2,0
CUST00195,35,72.71,Pro,2,3,0
CUST00196,39,110.61,Basic,26,5,1
CUST00197,15,70.53,Basic,4,8,0
CUST00198,31,92.23,Premium,0,6,0
CUST00199,9,81.36,Premium,2,3,1
CUST00200,24,110.04,Pro,7,7,1
CUST00201,39,108.43,Basic,0,4,0
CUST00202,60,76.37,Pro,3,4,0
CUST00203,43,82.13,Premium,2,4,1
CUST00204,40,63.51,Basic,5,4,0
CUST00205,29,114.94,Basic,0,13,0
CUST00206,36,79.22,Pro,2,3,1
CUST00207,32,89.33,Premium,6,2,0
CUST00208,57,94.88,Pro,0,3,0
CUST00209,27,68.78,Basic,0,7,0
CUST00210,41,45.56,Premium,0,11,0
CUST00211,59,82.13,Pro,4,3,1
CUST00212,33,58.44,Pro,5,2,1
CUST00213,58,93.58,Pro,1,2,0
CUST00214,39,91.36,Basic,1,7,0
CUST00215,5,51.25,Basic,0,4,0
CUST00216,60,122.22,Basic,0,1,0
CUST00217,8,66.26,Pro,1,6,0
CUST00218,11,69.99,Pro,0,4,0
CUST00219,47,51.58,Basic,3,5,0
CUST00220,10,66.18,Basic,0,4,0
CUST00221,9,135.19,Basic,3,4,0
CUST00222,12,55.34,Pro,3,3,1
CUST00223,1,72.57,Basic,4,4,0
CUST00224,17,94.7,Pro,3,5,1
CUST00225,2,73.49,Premium,2,7,0
CUST00226,31,117.59,Pro,1,2,0
CUST00227,16,64.57,Pro,0,8,0
CUST00228,25,73.74,Basic,2,4,1
CUST00229,19,94.62,Basic,0,2,0
CUST00230,12,71.25,Pro,5,8,0
CUST00231,43,64.53,Basic,2,5,0
CUST00232,48,48.52,Basic,3,9,1
CUST00233,34,101.93,Basic,0,6,0
CUST00234,29,58.7,Premium,4,10,1
CUST00235,23,97.26,Pro,4,2,0
CUST00236,20,78.23,Premium,0,10,0
CUST00237,53,67.23,Pro,9,6,0
CUST00238,46,74.18,Premium,1,5,1
CUST00239,2,73.14,Pro,0,3,0
CUST00240,27,80.78,Basic,21,3,1
CUST00241,7,93.78,Basic,0,8,1
CUST00242,48,53.51,Basic,3,4,0
CUST00243,35,87.89,Pro,0,4,0
CUST00244,49,52.39,Pro,5,5,1
CUST00245,11,96.71,Basic,2,2,1
CUST00246,60,85.1,Pro,1,0,1
CUST00247,36,98.42,Premium,1,4,0
CUST00248,4,71.44,Basic,1,3,0
CUST00249,22,99.66,Premium,0,3,0
CUST00250,56,96.51,Basic,5,8,0
CUST00251,27,126.11,Basic,0,10,0
CUST00252,55,99.25,Pro,2,8,0
CUST00253,19,99.68,Basic,0,3,0
CUST00254,43,84.62,Premium,1,3,0
CUST00255,59,66.24,Pro,0,12,0
CUST00256,41,58.01,Basic,4,4,0
CUST00257,47,46.37,Pro,5,3,0
CUST00258,33,67.4,Basic,3,3,0
CUST00259,1,78.28,Basic,1,7,1
CUST00260,27,75.21,Basic,1,2,0
CUST00261,40,103.82,Basic,1,5,0
CUST00262,47,90.41,Basic,0,5,0
CUST00263,43,63.89,Basic,4,5,0
CUST00264,32,63.97,Basic,0,8,0
CUST00265,10,98.39,Basic,4,5,1
CUST00266,39,80.61,Pro,0,7,0
CUST00267,4,84.38,Pro,4,7,1
CUST00268,26,93.34,Basic,5,8,0
CUST00269,27,88.78,Basic,0,4,0
CUST00270,47,97.27,Basic,82,0,1
CUST00271,48,89.05,Premium,0,6,0
CUST00272,39,61.76,Pro,2,4,0
CUST00273,28,93.21,Pro,0,5,0
CUST00274,42,64.15,Pro,0,7,0
CUST00275,2,83.25,Pro,14,3,1
CUST00276,17,64.76,Basic,1,8,0
CUST00277,23,61.88,Basic,22,2,1
CUST00278,7,56.64,Basic,0,5,0
CUST00279,31,68.67,Premium,0,6,0
CUST00280,59,62.81,Basic,0,8,0
CUST00281,47,86.85,Basic,2,4,1
CUST00282,38,75.07,Basic,7,3,1
CUST00283,12,104.65,Basic,11,2,1
CUST00284,26,87.33,Premium,3,3,0
CUST00285,3,79.49,Pro,2,7,0
CUST00286,15,93.4,Pro,1,7,0
CUST00287,39,80.35,Basic,1,6,0
CUST00288,35,115.41,Pro,1,12,0
CUST00289,13,90.77,Premium,17,4,1
CUST00290,2,88.8,Pro,0,4,0
CUST00291,3,106.86,Premium,2,7,0
CUST00292,28,70.27,Basic,6,7,1
CUST00293,26,78.55,Basic,0,4,0
CUST00294,37,89.78,Basic,0,14,0
CUST00295,21,74.75,Premium,11,8,1
CUST00296,1,94.9,Basic,0,9,0
CUST00297,12,75.23,Basic,0,7,0
CUST00298,24,27.26,Basic,2,13,0
CUST00299,32,60.22,Basic,0,9,0
CUST00300,56,98.16,Basic,2,0,1
CUST00301,11,95.25,Pro,3,8,1
CUST00302,12,58.08,Pro,5,4,1
CUST00303,4,99.57,Basic,1,5,0
CUST00304,21,90.97,Basic,1,2,0
CUST00305,27,75.26,Pro,0,5,0
CUST00306,60,77.72,Basic,2,11,0
CUST00307,6,51.97,Pro,1,1,0
CUST00308,25,77.11,Basic,1,7,0
CUST00309,51,68.75,Premium,2,6,0
CUST00310,9,92.65,Basic,15,7,1
CUST00311,34,96.8,Pro,1,11,0
CUST00312,9,87.99,Basic,0,7,0
CUST00313,19,64.18,Basic,2,6,0
CUST00314,55,59.06,Basic,4,5,0
CUST00315,9,79.66,Premium,0,6,0
CUST00316,46,76.4,Basic,9,8,1
CUST00317,52,95.47,Basic,10,2,0
CUST00318,38,36.25,Basic,5,5,1
CUST00319,4,81.57,Basic,0,7,0
CUST00320,48,53.94,Basic,9,6,1
CUST00321,30,91.4,Pro,0,1,0
CUST00322,48,73.6,Premium,1,0,0
CUST00323,29,41.77,Basic,1,5,1
CUST00324,4,87.29,Pro,1,3,0
CUST00325,17,76.15,Basic,5,2,1
CUST00326,27,96.31,Basic,0,7,0
CUST00327,25,54.89,Basic,0,5,0
CUST00328,43,85.54,Basic,0,9,0
CUST00329,1,93.05,Pro,1,8,1
CUST00330,50,106.54,Premium,0,6,0
CUST00331,37,82.15,Basic,0,7,0
CUST00332,40,107.58,Premium,0,14,0
CUST00333,14,58.31,Pro,2,1,0
CUST00334,7,90.75,Premium,4,4,1
CUST00335,13,40.55,Basic,4,4,1
CUST00336,41,94.16,Pro,1,3,1
CUST00337,53,58.55,Pro,0,5,0
CUST00338,31,120.74,Basic,4,1,0
CUST00339,17,101.85,Basic,1,5,0
CUST00340,20,86.61,Basic,1,7,1
CUST00341,45,40.3,Basic,0,2,0
CUST00342,22,65.0,Basic,2,9,0
CUST00343,27,73.22,Basic,0,5,0
CUST00344,51,80.34,Basic,11,4,0
CUST00345,6,71.72,Basic,1,6,1
CUST00346,51,80.88,Pro,3,3,0
CUST00347,36,99.36,Basic,0,9,0
CUST00348,1,69.82,Pro,0,4,0
CUST00349,42,107.98,Pro,0,4,0
CUST00350,44,70.88,Basic,1,4,1
CUST00351,44,113.35,Premium,0,6,0
CUST00352,37,60.25,Basic,5,7,1
CUST00353,12,70.11,Premium,0,6,0
CUST00354,45,91.55,Basic,0,1,0
CUST00355,30,77.96,Premium,5,4,0
CUST00356,39,81.79,Premium,2,10,0
CUST00357,5,83.64,Basic,2,7,0
CUST00358,37,94.47,Basic,0,8,0
CUST00359,5,75.7,Premium,3,3,0
CUST00360,5,76.07,Premium,0,6,0
CUST00361,45,104.61,Pro,0,2,0
CUST00362,9,79.99,Basic,1,1,0
CUST00363,45,69.91,Premium,1,4,0
CUST00364,50,45.39,Basic,0,8,0
CUST00365,21,81.33,Pro,0,4,0
CUST00366,38,26.17,Premium,0,2,0
CUST00367,15,47.64,Pro,0,10,0
CUST00368,35,35.84,Basic,1,8,1
CUST00369,27,66.13,Basic,9,5,1
CUST00370,10,70.97,Basic,1,7,0
CUST00371,41,83.7,Pro,0,4,0
CUST00372,23,82.37,Basic,0,5,0
CUST00373,44,81.41,Basic,4,3,0
CUST00374,41,22.25,Premium,2,2,0
CUST00375,53,58.55,Premium,1,9,0
CUST00376,51,111.54,Basic,55,4,1
CUST00377,4,53.05,Basic,7,6,1
CUST00378,27,45.96,Pro,8,1,1
CUST00379,58,94.42,Basic,0,6,0
CUST00380,9,60.71,Premium,2,3,1
CUST00381,38,84.62,Premium,0,5,0
CUST00382,51,127.51,Basic,3,8,0
CUST00383,14,72.31,Pro,4,3,0
CUST00384,4,112.19,Pro,1,3,0
CUST00385,20,108.73,Pro,8,4,1
CUST00386,43,71.99,Basic,7,4,0
CUST00387,50,76.42,Basic,1,2,0
CUST00388,31,71.8,Basic,4,10,1
CUST00389,35,97.77,Pro,2,5,0
CUST00390,17,74.5,Basic,6,8,0
CUST00391,56,95.49,Pro,0,5,0
CUST00392,36,90.31,Basic,0,5,1
CUST00393,47,83.99,Basic,1,3,0
CUST00394,4,65.46,Pro,2,4,1
CUST00395,28,100.17,Pro,0,7,0
CUST00396,25,64.98,Basic,1,1,0
CUST00397,54,64.87,Basic,2,2,0
CUST00398,15,111.36,Pro,4,2,1
CUST00399,59,57.96,Basic,1,8,0
CUST00400,60,66.57,Basic,1,2,0
CUST00401,60,79.02,Premium,0,4,0
CUST00402,26,114.08,Basic,0,15,0
CUST00403,42,98.53,Premium,2,6,1
CUST00404,40,59.21,Premium,0,9,0
CUST00405,10,68.92,Pro,1,5,0
CUST00406,46,69.61,Pro,4,10,0
CUST00407,36,49.41,Pro,3,6,1
CUST00408,22,78.87,Basic,0,12,0
CUST00409,26,61.88,Basic,1,15,0
CUST00410,48,85.47,Pro,0,6,0
CUST00411,39,76.37,Basic,0,2,0
CUST00412,7,34.29,Pro,3,7,1
CUST00413,50,49.95,Premium,5,8,1
CUST00414,43,91.11,Basic,0,2,1
CUST00415,17,73.37,Basic,2,4,0
CUST00416,13,37.92,Basic,5,0,1
CUST00417,18,77.94,Basic,1,5,0
CUST00418,43,116.78,Basic,0,7,0
CUST00419,33,83.44,Pro,2,9,0
CUST00420,3,106.11,Pro,3,7,1
CUST00421,46,79.83,Basic,0,5,0
CUST00422,55,84.1,Pro,4,6,0
CUST00423,35,45.92,Basic,7,4,1
CUST00424,23,79.68,Basic,0,4,0
CUST00425,49,112.1,Pro,4,3,1
CUST00426,18,96.45,Pro,1,10,0
CUST00427,27,77.44,Pro,1,6,0
CUST00428,56,77.32,Basic,3,3,0
CUST00429,38,79.3,Basic,5,7,0
CUST00430,12,75.1,Pro,1,5,0
CUST00431,8,78.38,Basic,1,3,0
CUST00432,2,64.29,Pro,3,0,1
CUST00433,15,107.94,Premium,0,6,0
CUST00434,56,126.39,Pro,8,4,0
CUST00435,9,109.98,Basic,1,2,0
CUST00436,51,88.92,Premium,1,7,0
CUST00437,19,64.98,Basic,1,6,0
CUST00438,31,77.45,Basic,0,6,0
CUST00439,20,88.67,Pro,0,7,0
CUST00440,14,65.97,Pro,0,6,0
CUST00441,49,58.42,Pro,1,4,0
CUST00442,8,64.05,Basic,5,6,1
CUST00443,9,72.78,Premium,2,4,0
CUST00444,32,70.72,Basic,4,7,0
CUST00445,24,115.52,Basic,0,6,0
CUST00446,50,51.11,Pro,0,6,0
CUST00447,49,69.93,Premium,1,2,0
CUST00448,2,111.09,Premium,3,10,0
CUST00449,37,91.0,Pro,6,4,1
CUST00450,14,34.01,Basic,1,1,0
CUST00451,49,55.12,Pro,1,5,0
CUST00452,2,80.35,Pro,2,3,1
CUST00453,20,45.25,Pro,3,3,1
CUST00454,23,57.91,Basic,5,5,0
CUST00455,6,83.63,Basic,1,3,0
CUST00456,31,92.54,Basic,0,6,0
CUST00457,9,104.77,Basic,2,4,0
CUST00458,25,83.27,Basic,4,4,0
CUST00459,8,60.16,Premium,5,9,1
CUST00460,30,94.98,Basic,0,4,0
CUST00461,44,63.64,Basic,3,4,0
CUST00462,31,73.41,Basic,0,6,0
CUST00463,38,42.35,Pro,3,7,0
CUST00464,24,81.48,Basic,0,5,0
CUST00465,59,84.51,Basic,4,1,0
CUST00466,15,65.22,Basic,4,7,1
CUST00467,13,92.32,Basic,2,6,0
CUST00468,49,94.25,Basic,0,3,0
CUST00469,11,101.95,Pro,3,6,1
CUST00470,7,84.27,Pro,5,8,0
CUST00471,5,70.36,Basic,2,3,0
CUST00472,20,83.73,Premium,1,8,0
CUST00473,28,51.95,Basic,0,9,0
CUST00474,50,80.97,Pro,1,5,0
CUST00475,8,27.31,Basic,1,12,1
CUST00476,23,84.13,Basic,24,4,1
CUST00477,58,112.0,Pro,1,5,0
CUST00478,4,85.33,Premium,0,2,0
CUST00479,11,63.86,Premium,0,5,0
CUST00480,5,99.77,Basic,0,3,1
CUST00481,1,56.65,Basic,1,5,0
CUST00482,23,98.9,Basic,1,1,1
CUST00483,6,67.72,Basic,1,7,0
CUST00484,33,78.02,Pro,3,6,0
CUST00485,56,82.5,Basic,2,3,0
CUST00486,35,69.91,Basic,0,6,0
CUST00487,40,66.43,Pro,2,8,0
CUST00488,41,99.44,Pro,4,8,0
CUST00489,19,37.98,Basic,0,4,0
CUST00490,60,83.49,Pro,9,5,0
CUST00491,36,102.3,Pro,0,0,1
CUST00492,38,64.68,Premium,0,3,0
CUST00493,12,70.83,Pro,0,7,0
CUST00494,4,70.09,Pro,0,1,1
CUST00495,42,61.72,Basic,2,4,0
CUST00496,22,75.71,Pro,3,8,1
CUST00497,21,82.26,Pro,3,7,0
CUST00498,43,81.0,Pro,23,5,1
CUST00499,6,65.38,Basic,0,4,1
CUST00500,49,83.95,Basic,2,2,0
CUST00501,33,72.97,Basic,1,3,0
CUST00502,50,76.11,Pro,1,4,0
CUST00503,25,100.95,Basic,1,5,0
CUST00504,49,90.85,Basic,1,13,0
CUST00505,9,91.41,Premium,15,4,1
CUST00506,22,92.97,Pro,2,5,0
CUST00507,22,62.35,Basic,6,4,1
CUST00508,10,92.37,Pro,0,7,0
CUST00509,43,101.21,Pro,13,4,1
CUST00510,16,94.22,Basic,3,6,1
CUST00511,9,66.39,Pro,5,4,1
CUST00512,19,48.72,Premium,0,3,0
CUST00513,57,94.19,Premium,0,7,0
CUST00514,22,89.84,Basic,3,4,1
CUST00515,45,81.51,Basic,1,3,0
CUST00516,47,88.95,Basic,12,5,0
CUST00517,37,67.3,Pro,0,8,0
CUST00518,30,84.86,Premium,0,6,0
CUST00519,45,90.65,Pro,5,4,1
CUST00520,11,71.61,Pro,1,8,0
CUST00521,24,69.02,Premium,1,6,0
CUST00522,20,86.24,Pro,1,5,1
CUST00523,41,77.42,Premium,10,5,1
CUST00524,38,75.93,Basic,0,6,0
CUST00525,15,49.6,Basic,1,1,0
CUST00526,5,82.43,Pro,0,6,1
CUST00527,25,102.84,Premium,1,2,0
CUST00528,55,82.57,Pro,10,3,0
CUST00529,47,109.51,Premium,2,11,1
CUST00530,39,54.94,Pro,0,8,0
CUST00531,4,75.68,Basic,5,2,0
CUST00532,20,51.65,Basic,0,10,0
CUST00533,10,53.71,Basic,6,6,1
CUST00534,34,52.58,Basic,1,5,0
CUST00535,50,42.79,Basic,0,6,0
CUST00536,10,81.08,Basic,3,2,0
CUST00537,53,79.9,Basic,2,6,0
CUST00538,22,28.53,Basic,0,5,0
CUST00539,12,73.87,Basic,0,8,1
CUST00540,13,96.36,Basic,0,4,0
CUST00541,16,85.92,Basic,4,2,0
CUST00542,23,72.6,Pro,0,8,0
CUST00543,48,79.49,Basic,1,7,0
CUST00544,43,73.91,Pro,3,5,0
CUST00545,58,78.11,Basic,6,6,1
CUST00546,38,104.07,Premium,2,3,0
CUST00547,52,61.04,Basic,0,7,0
CUST00548,31,49.24,Basic,3,5,1
CUST00549,43,104.28,Basic,2,10,0
CUST00550,6,57.92,Basic,0,5,0
CUST00551,14,78.83,Basic,0,11,0
CUST00552,34,91.49,Basic,0,8,0
CUST00553,54,73.83,Basic,0,10,1
CUST00554,40,84.56,Basic,1,5,0
CUST00555,6,94.63,Pro,0,7,1
CUST00556,24,62.61,Premium,0,13,0
CUST00557,54,107.39,Pro,0,6,0
CUST00558,21,77.2,Basic,8,2,0
CUST00559,60,70.33,Pro,6,3,1
CUST00560,26,107.71,Pro,4,8,0
CUST00561,25,79.89,Basic,1,7,0
CUST00562,60,79.54,Premium,3,13,0
CUST00563,33,65.21,Pro,0,5,0
CUST00564,15,113.58,Pro,2,1,1
CUST00565,58,78.25,Pro,0,4,0
CUST00566,32,101.47,Pro,1,7,0
CUST00567,52,92.92,Basic,0,4,0
CUST00568,13,94.21,Basic,2,1,1
CUST00569,51,92.76,Basic,5,7,1
CUST00570,34,53.21,Basic,7,4,1
CUST00571,45,111.54,Pro,0,2,0
CUST00572,46,101.94,Basic,5,4,1
CUST00573,48,92.08,Pro,8,4,0
CUST00574,7,53.14,Pro,0,10,1
CUST00575,34,117.22,Basic,0,6,0
CUST00576,49,72.19,Basic,2,4,0
CUST00577,21,74.59,Pro,15,0,1
CUST00578,6,78.61,Premium,3,8,1
CUST00579,45,63.16,Basic,2,3,0
CUST00580,14,59.31,Basic,0,8,1
CUST00581,48,82.13,Basic,4,3,1
CUST00582,58,119.06,Pro,0,1,0
CUST00583,1,99.72,Premium,2,5,0
CUST00584,54,91.01,Pro,3,7,0
CUST00585,10,76.3,Basic,1,8,0
CUST00586,58,102.35,Basic,1,7,0
CUST00587,24,72.85,Basic,3,9,0
CUST00588,1,90.94,Basic,0,7,1
CUST00589,6,45.85,Basic,3,14,1
CUST00590,3,83.45,Premium,0,5,0
CUST00591,54,77.23,Pro,7,11,1
CUST00592,49,43.89,Basic,1,3,0
CUST00593,23,76.96,Pro,2,3,1
CUST00594,32,100.56,Pro,0,8,0
CUST00595,12,42.96,Basic,4,7,1
CUST00596,19,97.66,Basic,0,4,0
CUST00597,18,68.98,Basic,6,0,1
CUST00598,27,87.51,Basic,0,2,1
CUST00599,39,81.79,Pro,4,5,0
CUST00600,2,100.07,Pro,0,5,0
CUST00601,6,54.89,Basic,0,8,0
CUST00602,19,66.93,Basic,0,8,0
CUST00603,3,88.87,Premium,1,7,0
CUST00604,27,36.23,Basic,3,1,1
CUST00605,58,76.18,Pro,0,3,0
CUST00606,3,71.25,Pro,0,10,0
CUST00607,29,71.17,Basic,0,4,0
CUST00608,15,76.88,Pro,0,1,0
CUST00609,47,93.09,Pro,2,2,0
CUST00610,23,77.24,Basic,1,6,0
CUST00611,37,92.82,Pro,0,5,0
CUST00612,51,103.35,Basic,2,5,0
CUST00613,12,56.08,Pro,1,7,1
CUST00614,54,77.91,Premium,1,6,0
CUST00615,29,33.02,Basic,2,4,0
CUST00616,13,92.48,Basic,0,11,0
CUST00617,40,111.8,Pro,9,6,1
CUST00618,44,49.62,Basic,1,12,0
CUST00619,46,95.01,Basic,0,3,1
CUST00620,48,90.71,Basic,2,4,1
CUST00621,46,82.72,Basic,0,3,0
CUST00622,5,71.98,Pro,16,3,1
CUST00623,23,125.47,Basic,4,7,1
CUST00624,24,90.22,Pro,0,11,0
CUST00625,35,95.29,Premium,0,3,0
CUST00626,44,98.72,Pro,15,9,1
CUST00627,6,69.79,Pro,0,4,0
CUST00628,58,77.22,Basic,1,2,0
CUST00629,18,50.47,Basic,5,4,1
CUST00630,33,74.55,Premium,11,8,0
CUST00631,60,114.93,Basic,5,3,1
