store_id,arm,region,day_type,launch_week,units_sold
S084,treated,East,weekend,0,539.0
S085,control,East,weekday,1,405.0
S086,treated,West,weekend,0,601.0
S087,control,South,weekend,0,505.0
S088,treated,West,weekday,0,579.0
S089,control,West,weekend,0,489.0
S090,treated,East,weekend,0,585.0
S091,control,South,weekend,1,482.0
S092,treated,West,weekend,0,648.0
S093,control,North,weekday,0,516.0
S094,treated,West,weekday,0,488.0
S095,control,North,weekday,0,510.0
S096,treated,North,weekday,0,578.0
S097,control,North,weekday,0,409.0
S098,treated,North,weekday,0,572.0
S099,control,North,weekday,0,465.0
S100,treated,West,weekend,0,567.0
S101,control,North,weekend,0,492.0
S102,treated,South,weekend,0,578.0
S103,control,South,weekend,0,526.0
S104,treated,East,weekend,0,536.0
S105,control,South,weekend,0,426.0
S106,treated,North,weekend,0,457.0
S107,control,South,weekend,0,536.0
S108,treated,West,weekend,0,599.0
S109,control,North,weekend,1,558.0
S110,treated,North,weekday,0,584.0
S111,control,North,weekday,0,505.0
S112,treated,South,weekday,0,582.0
S113,control,West,weekday,0,558.0
S114,treated,West,weekend,0,677.0
S115,control,East,weekday,0,510.0
S116,treated,West,weekday,0,569.0
S117,control,West,weekday,0,474.0
S118,treated,East,weekend,0,487.0
S119,control,West,weekend,0,563.0
S120,treated,East,weekend,0,559.0
S121,control,South,weekend,1,571.0
S122,treated,West,weekend,0,643.0
S123,control,North,weekend,0,559.0
S124,treated,West,weekday,0,605.0
S125,control,South,weekend,0,514.0
S126,treated,North,weekend,0,566.0
S127,control,West,weekend,0,511.0
S128,treated,East,weekday,0,588.0
S129,control,West,weekday,0,507.0
S130,treated,North,weekday,0,585.0
S131,control,South,weekday,1,529.0
S132,treated,North,weekend,1,492.0
S133,control,North,weekday,0,496.0
S134,treated,West,weekend,0,516.0
S135,control,East,weekday,0,512.0
S136,treated,South,weekday,1,600.0
S137,control,West,weekday,0,531.0
S138,treated,West,weekend,0,503.0
S139,control,East,weekend,0,534.0
S140,treated,East,weekday,0,561.0
S141,control,South,weekday,0,509.0
S142,treated,West,weekend,0,545.0
S143,control,South,weekend,0,543.0
S144,treated,North,weekday,0,551.0
S145,control,North,weekend,0,496.0
S146,treated,West,weekday,0,476.0
S147,control,South,weekday,0,477.0
S148,treated,South,weekday,1,588.0
S149,control,South,weekend,0,541.0
S150,treated,East,weekend,0,554.0
S151,control,North,weekend,0,491.0
S152,treated,North,weekday,0,524.0
S153,control,West,weekend,0,532.0
S154,treated,South,weekend,0,689.0
S155,control,West,weekend,1,547.0
S156,treated,West,weekday,1,542.0
S157,control,North,weekend,0,480.0
S158,treated,South,weekend,0,591.0
S159,control,North,weekday,0,501.0
S160,treated,East,weekend,1,609.0
S161,control,South,weekday,1,470.0
S162,treated,East,weekday,0,578.0
S163,control,East,weekday,0,467.0
S164,treated,East,weekday,1,589.0
S165,control,North,weekday,0,524.0
S166,treated,West,weekend,0,540.0
S167,control,South,weekday,0,436.0
S168,treated,South,weekday,0,575.0
S169,control,East,weekday,0,490.0
S170,treated,West,weekday,0,588.0
S171,control,East,weekday,0,532.0
S172,treated,West,weekday,0,541.0
S173,control,West,weekend,0,552.0
S174,treated,West,weekday,0,636.0
S175,control,East,weekday,0,488.0
S176,treated,West,weekend,0,517.0
S177,control,East,weekday,0,497.0
S178,treated,North,weekend,0,558.0
S179,control,West,weekday,0,533.0
S180,treated,North,weekend,0,586.0
S181,control,East,weekday,0,538.0
S182,treated,East,weekday,0,570.0
S183,control,South,weekday,0,509.0
S184,treated,North,weekday,0,541.0
S185,control,North,weekend,0,444.0
S186,treated,East,weekend,0,640.0
S187,control,West,weekday,0,507.0
S188,treated,West,weekday,1,514.0
S189,control,South,weekend,1,477.0
S190,treated,North,weekday,0,596.0
S191,control,East,weekday,0,486.0
S192,treated,West,weekend,1,596.0
S193,control,South,weekend,0,506.0
S194,treated,East,weekday,0,619.0
S195,control,South,weekend,0,507.0
S196,treated,West,weekday,0,647.0
S197,control,South,weekend,0,482.0
S198,treated,South,weekend,0,625.0
S199,control,South,weekday,0,502.0
