tx_id,month,amount,type
R00387,2025-06,423.55,sale
R00388,2025-01,-397.72,refund
R00389,2025-05,227.0,sale
R00390,2025-11,-170.68,refund
R00391,2025-08,446.33,sale
R00392,2025-04,603.82,sale
R00393,2025-02,-986.02,refund
R00394,2025-08,385.47,sale
R00395,2025-02,159.01,sale
R00396,2025-07,377.95,sale
R00397,2025-02,204.85,sale
R00398,2025-08,230.89,sale
R00399,2025-05,227.79,sale
R00400,2025-03,181.47,sale
R00401,2025-04,-97.6,refund
R00402,2025-01,-325.97,refund
R00403,2025-12,117.89,sale
R00404,2025-06,-459.55,refund
R00405,2025-06,417.26,sale
R00406,2025-05,83.06,sale
R00407,2025-12,-307.06,refund
R00408,2025-12,-103.57,refund
R00409,2025-03,116.84,sale
R00410,2025-01,-254.96,refund
R00411,2025-08,194.71,sale
R00412,2025-10,291.44,sale
R00413,2025-12,123.01,sale
R00414,2025-08,59.15,sale
R00415,2025-05,244.37,sale
R00416,2025-01,457.5,sale
R00417,2025-01,-250.03,refund
R00418,2025-10,151.53,sale
R00419,2025-06,-104.02,refund
R00420,2025-07,320.44,sale
R00421,2025-08,333.68,sale
R00422,2025-12,121.63,sale
R00423,2025-05,605.87,sale
R00424,2025-03,192.26,sale
R00425,2025-03,-165.68,refund
R00426,2025-01,378.04,sale
R00427,2025-11,159.75,sale
R00428,2025-01,148.83,sale
R00429,2025-09,257.72,sale
R00430,2025-02,160.38,sale
R00431,2025-06,170.64,sale
R00432,2025-12,454.85,sale
R00433,2025-10,179.93,sale
R00434,2025-11,109.5,sale
R00435,2025-09,411.6,sale
R00436,2025-08,314.69,sale
R00437,2025-03,145.13,sale
R00438,2025-08,-263.07,refund
R00439,2025-04,186.72,sale
R00440,2025-10,71.37,sale
R00441,2025-05,-146.17,refund
R00442,2025-01,396.22,sale
R00443,2025-10,93.55,sale
R00444,2025-11,109.8,sale
R00445,2025-12,93.11,sale
R00446,2025-11,-253.32,refund
R00447,2025-12,100.12,sale
R00448,2025-01,-500.52,refund
R00449,2025-05,135.22,sale
R00450,2025-04,701.57,sale
R00451,2025-03,509.15,sale
R00452,2025-07,103.05,sale
R00453,2025-05,70.57,sale
R00454,2025-04,579.31,sale
R00455,2025-11,-232.92,refund
R00456,2025-10,-374.14,refund
R00457,2025-05,42.75,sale
R00458,2025-10,307.18,sale
R00459,2025-06,-321.53,refund
R00460,2025-01,651.9,sale
R00461,2025-01,426.31,sale
R00462,2025-06,77.5,sale
R00463,2025-11,453.18,sale
R00464,2025-05,197.25,sale
R00465,2025-01,189.74,sale
R00466,2025-11,566.02,sale
R00467,2025-08,-604.88,refund
R00468,2025-07,234.95,sale
R00469,2025-08,331.3,sale
R00470,2025-09,335.5,sale
R00471,2025-08,-166.57,refund
R00472,2025-09,209.9,sale
R00473,2025-04,271.89,sale
R00474,2025-04,316.2,sale
R00475,2025-06,405.98,sale
R00476,2025-12,234.28,sale
R00477,2025-02,230.66,sale
R00478,2025-07,460.16,sale
R00479,2025-08,329.58,sale
R00480,2025-08,176.83,sale
R00481,2025-01,468.21,sale
R00482,2025-03,186.67,sale
R00483,2025-06,212.42,sale
R00484,2025-02,469.54,sale
R00485,2025-04,-71.82,refund
R00486,2025-02,99.57,sale
R00487,2025-12,248.25,sale
R00488,2025-12,-520.3,refund
R00489,2025-07,209.42,sale
R00490,2025-11,158.57,sale
R00491,2025-03,220.53,sale
R00492,2025-10,370.49,sale
R00493,2025-12,190.73,sale
R00494,2025-03,151.86,sale
R00495,2025-09,390.7,sale
R00496,2025-07,226.44,sale
R00497,2025-05,-195.11,refund
R00498,2025-02,197.21,sale
R00499,2025-07,192.32,sale
R00500,2025-04,215.16,sale
R00501,2025-08,127.36,sale
R00502,2025-05,184.88,sale
R00503,2025-11,101.0,sale
R00504,2025-06,-335.06,refund
R00505,2025-10,-246.18,refund
R00506,2025-03,-383.91,refund
R00507,2025-04,-207.42,refund
R00508,2025-08,-426.83,refund
R00509,2025-09,194.07,sale
R00510,2025-11,383.01,sale
R00511,2025-02,271.53,sale
R00512,2025-08,175.81,sale
R00513,2025-01,-960.64,refund
R00514,2025-04,123.1,sale
R00515,2025-03,56.67,sale
R00516,2025-01,366.62,sale
R00517,2025-01,227.01,sale
R00518,2025-02,41.4,sale
R00519,2025-06,357.12,sale
R00520,2025-05,131.62,sale
R00521,2025-03,119.02,sale
R00522,2025-09,349.35,sale
R00523,2025-07,62.57,sale
R00524,2025-01,373.25,sale
R00525,2025-07,110.1,sale
R00526,2025-10,380.91,sale
R00527,2025-02,137.74,sale
R00528,2025-10,265.42,sale
R00529,2025-06,-327.96,refund
R00530,2025-06,485.6,sale
R00531,2025-01,-721.91,refund
R00532,2025-12,-80.03,refund
R00533,2025-01,-78.72,refund
R00534,2025-02,480.36,sale
R00535,2025-11,751.65,sale
R00536,2025-03,107.09,sale
R00537,2025-02,116.46,sale
R00538,2025-12,509.02,sale
R00539,2025-03,69.88,sale
R00540,2025-02,56.74,sale
R00541,2025-01,202.75,sale
R00542,2025-07,253.05,sale
R00543,2025-09,84.29,sale
R00544,2025-12,690.78,sale
R00545,2025-05,371.17,sale
R00546,2025-04,204.06,sale
R00547,2025-08,-265.56,refund
R00548,2025-02,202.82,sale
R00549,2025-02,224.38,sale
