customer_id,region,arm,repeat_purchase_90d
C0992,Southwest,treatment,0
C1190,West,treatment,1
C1443,Pacific-NW,treatment,0
C0938,Southwest,treatment,0
C0704,Midwest,treatment,0
C0032,Northeast,control,0
C1022,Southwest,treatment,0
C1308,Pacific-NW,control,0
C0559,Midwest,control,0
C1000,Southwest,treatment,0
C1048,West,control,0
C0543,Midwest,control,0
C0584,Midwest,control,0
C0272,Southeast,control,1
C1375,Pacific-NW,control,0
C0622,Midwest,control,0
C1339,Pacific-NW,control,0
C1349,Pacific-NW,control,0
C1385,Pacific-NW,control,1
C0090,Northeast,control,0
C1151,West,control,0
C0875,Southwest,control,0
C1140,West,control,1
C1189,West,treatment,0
C1111,West,control,1
C1473,Pacific-NW,treatment,0
C0825,Southwest,control,0
C1100,West,control,0
C1106,West,control,0
C0086,Northeast,control,0
C1194,West,treatment,0
C1245,West,treatment,0
C0409,Southeast,treatment,0
C0269,Southeast,control,0
C0255,Northeast,treatment,0
C0309,Southeast,control,1
C1355,Pacific-NW,control,0
C0643,Midwest,control,1
C0786,Southwest,control,0
C0893,Southwest,control,0
C0172,Northeast,treatment,1
C0193,Northeast,treatment,0
C0224,Northeast,treatment,0
C0015,Northeast,control,0
C1550,Pacific-NW,treatment,0
C1134,West,control,0
C0205,Northeast,treatment,0
C1158,West,control,0
C0160,Northeast,treatment,0
C0492,Southeast,treatment,0
C1132,West,control,0
C0507,Southeast,treatment,0
C0960,Southwest,treatment,0
C1206,West,treatment,0
C0230,Northeast,treatment,0
C0327,Southeast,control,0
C0123,Northeast,control,1
C0633,Midwest,control,0
C1434,Pacific-NW,treatment,0
C0713,Midwest,treatment,1
C0005,Northeast,control,1
C0299,Southeast,control,0
C1412,Pacific-NW,control,1
C1284,West,treatment,1
C1331,Pacific-NW,control,0
C0712,Midwest,treatment,0
C1272,West,treatment,0
C0053,Northeast,control,1
C1386,Pacific-NW,control,1
C1148,West,control,0
C0947,Southwest,treatment,0
C0512,Southeast,treatment,0
C1429,Pacific-NW,control,1
C0969,Southwest,treatment,0
C1150,West,control,1
C1427,Pacific-NW,control,0
C1531,Pacific-NW,treatment,0
C1181,West,treatment,1
C0647,Midwest,control,0
C0749,Midwest,treatment,1
C0377,Southeast,control,0
C0188,Northeast,treatment,1
C0311,Southeast,control,0
C0568,Midwest,control,0
C1110,West,control,0
C1236,West,treatment,1
C1130,West,control,1
C0943,Southwest,treatment,0
C1482,Pacific-NW,treatment,0
C1138,West,control,0
C0203,Northeast,treatment,0
C0956,Southwest,treatment,0
C0355,Southeast,control,0
C0610,Midwest,control,0
C0687,Midwest,treatment,0
C0990,Southwest,treatment,1
C0234,Northeast,treatment,1
C1380,Pacific-NW,control,0
C0143,Northeast,treatment,1
C0484,Southeast,treatment,0
C0380,Southeast,control,0
C1231,West,treatment,0
C0666,Midwest,treatment,0
C0795,Southwest,control,0
C0459,Southeast,treatment,0
C0171,Northeast,treatment,0
C1420,Pacific-NW,control,0
C0978,Southwest,treatment,1
C0006,Northeast,control,1
C0354,Southeast,control,0
C1128,West,control,0
C1125,West,control,0
C0023,Northeast,control,0
C0826,Southwest,control,0
C1104,West,control,0
C0046,Northeast,control,1
C0018,Northeast,control,0
C0570,Midwest,control,0
C1376,Pacific-NW,control,0
C0598,Midwest,control,0
C0594,Midwest,control,0
C0134,Northeast,treatment,0
C0365,Southeast,control,0
C0917,Southwest,treatment,0
C1234,West,treatment,0
C1426,Pacific-NW,control,1
C0081,Northeast,control,0
C1019,Southwest,treatment,1
C0476,Southeast,treatment,1
C1401,Pacific-NW,control,1
C0521,Midwest,control,0
C1458,Pacific-NW,treatment,0
C0028,Northeast,control,1
C0348,Southeast,control,0
C1471,Pacific-NW,treatment,0
C0809,Southwest,control,0
C0460,Southeast,treatment,1
C0502,Southeast,treatment,1
C0924,Southwest,treatment,0
C1374,Pacific-NW,control,1
C1178,West,treatment,0
C0966,Southwest,treatment,0
C0428,Southeast,treatment,1
C0003,Northeast,control,0
C1500,Pacific-NW,treatment,0
C1527,Pacific-NW,treatment,0
C0212,Northeast,treatment,0
C0468,Southeast,treatment,0
C0394,Southeast,treatment,1
C1165,West,control,1
C0300,Southeast,control,1
C0925,Southwest,treatment,0
C1060,West,control,1
C0097,Northeast,control,0
C0179,Northeast,treatment,1
C0109,Northeast,control,0
C0734,Midwest,treatment,0
C0483,Southeast,treatment,0
C1187,West,treatment,1
C1257,West,treatment,1
C0971,Southwest,treatment,0
C0002,Northeast,control,0
C0763,Midwest,treatment,1
C1149,West,control,0
C1291,West,treatment,0
C0575,Midwest,control,0
C1356,Pacific-NW,control,0
C0621,Midwest,control,0
C0982,Southwest,treatment,1
C0437,Southeast,treatment,0
C0362,Southeast,control,0
C0981,Southwest,treatment,1
C1065,West,control,1
C0421,Southeast,treatment,0
C0232,Northeast,treatment,0
C1486,Pacific-NW,treatment,1
C0216,Northeast,treatment,0
C1088,West,control,1
C0056,Northeast,control,0
C0537,Midwest,control,0
C1203,West,treatment,0
C0582,Midwest,control,0
C1382,Pacific-NW,control,0
C0280,Southeast,control,1
C0800,Southwest,control,1
C0225,Northeast,treatment,1
C0303,Southeast,control,0
C1109,West,control,0
C0219,Northeast,treatment,1
C1015,Southwest,treatment,0
C0793,Southwest,control,0
C1089,West,control,0
C0296,Southeast,control,0
C0527,Midwest,control,0
C0921,Southwest,treatment,0
C0558,Midwest,control,0
C1343,Pacific-NW,control,0
C0931,Southwest,treatment,0
C1053,West,control,0
C1016,Southwest,treatment,1
C0862,Southwest,control,0
C1509,Pacific-NW,treatment,0
C0848,Southwest,control,0
C1043,West,control,0
C1283,West,treatment,0
C0474,Southeast,treatment,0
C1028,Southwest,treatment,0
C1196,West,treatment,0
C0945,Southwest,treatment,1
C0675,Midwest,treatment,0
C1186,West,treatment,0
C0620,Midwest,control,0
C0277,Southeast,control,1
C0693,Midwest,treatment,0
C0185,Northeast,treatment,0
C1180,West,treatment,0
C1446,Pacific-NW,treatment,0
C1417,Pacific-NW,control,1
C1453,Pacific-NW,treatment,0
C1318,Pacific-NW,control,0
C1445,Pacific-NW,treatment,0
C0958,Southwest,treatment,0
C1079,West,control,0
C1394,Pacific-NW,control,0
C0919,Southwest,treatment,0
C0794,Southwest,control,0
C1174,West,treatment,1
C1071,West,control,0
C0310,Southeast,control,0
C1433,Pacific-NW,treatment,0
C0480,Southeast,treatment,0
C0048,Northeast,control,0
C1157,West,control,0
C0443,Southeast,treatment,1
C1516,Pacific-NW,treatment,0
C0221,Northeast,treatment,1
C0536,Midwest,control,0
C1013,Southwest,treatment,0
C1059,West,control,0
C0453,Southeast,treatment,0
C0363,Southeast,control,0
C0880,Southwest,control,0
C0811,Southwest,control,0
C0391,Southeast,treatment,1
C0141,Northeast,treatment,0
C0939,Southwest,treatment,0
C0694,Midwest,treatment,1
C0078,Northeast,control,1
C0040,Northeast,control,0
C0517,Southeast,treatment,0
C1298,West,treatment,1
C1212,West,treatment,1
C0323,Southeast,control,1
C0901,Southwest,control,1
C0252,Northeast,treatment,0
C1006,Southwest,treatment,1
C0758,Midwest,treatment,0
C0741,Midwest,treatment,0
C0689,Midwest,treatment,1
C1192,West,treatment,0
C0412,Southeast,treatment,0
C1193,West,treatment,0
C0059,Northeast,control,0
C0242,Northeast,treatment,1
C1184,West,treatment,0
C0331,Southeast,control,1
C0916,Southwest,treatment,0
C0718,Midwest,treatment,1
C1553,Pacific-NW,treatment,0
C0057,Northeast,control,0
C1365,Pacific-NW,control,1
C0514,Southeast,treatment,0
C0688,Midwest,treatment,1
C0583,Midwest,control,0
C0639,Midwest,control,0
C0772,Midwest,treatment,0
C0466,Southeast,treatment,0
C0797,Southwest,control,0
C1004,Southwest,treatment,0
C0668,Midwest,treatment,0
C0030,Northeast,control,0
C0271,Southeast,control,0
C0036,Northeast,control,0
C1254,West,treatment,0
C0115,Northeast,control,0
C1411,Pacific-NW,control,0
C0441,Southeast,treatment,0
C0864,Southwest,control,0
C0928,Southwest,treatment,1
C0125,Northeast,control,0
C0199,Northeast,treatment,1
C0937,Southwest,treatment,0
C1302,Pacific-NW,control,0
C0725,Midwest,treatment,0
C0898,Southwest,control,0
C0671,Midwest,treatment,1
C0436,Southeast,treatment,0
C0540,Midwest,control,0
C0892,Southwest,control,0
C1410,Pacific-NW,control,1
C0528,Midwest,control,0
C0847,Southwest,control,1
C0658,Midwest,treatment,0
C0564,Midwest,control,0
C1315,Pacific-NW,control,0
C1389,Pacific-NW,control,0
C1055,West,control,0
C1101,West,control,0
C0616,Midwest,control,0
C0760,Midwest,treatment,1
C0435,Southeast,treatment,0
C1361,Pacific-NW,control,0
C0062,Northeast,control,0
C0432,Southeast,treatment,0
C1526,Pacific-NW,treatment,1
C0579,Midwest,control,0
C0093,Northeast,control,0
C1474,Pacific-NW,treatment,0
C0762,Midwest,treatment,0
C0997,Southwest,treatment,0
C0041,Northeast,control,0
C1074,West,control,0
C0076,Northeast,control,0
C1335,Pacific-NW,control,0
C1494,Pacific-NW,treatment,1
C0827,Southwest,control,0
C0569,Midwest,control,1
C0777,Midwest,treatment,0
C0248,Northeast,treatment,1
C0729,Midwest,treatment,0
C0457,Southeast,treatment,1
C0796,Southwest,control,0
C0650,Midwest,control,0
C0721,Midwest,treatment,0
C1541,Pacific-NW,treatment,0
C0187,Northeast,treatment,0
C1468,Pacific-NW,treatment,1
C0157,Northeast,treatment,1
C0802,Southwest,control,0
C0313,Southeast,control,1
C0009,Northeast,control,0
C1347,Pacific-NW,control,1
C1428,Pacific-NW,control,0
C0444,Southeast,treatment,0
C0550,Midwest,control,1
C0994,Southwest,treatment,0
C0555,Midwest,control,0
C0727,Midwest,treatment,1
C1166,West,control,0
C0547,Midwest,control,0
C1185,West,treatment,1
C1051,West,control,0
C1115,West,control,0
C1406,Pacific-NW,control,0
C0961,Southwest,treatment,0
C0752,Midwest,treatment,0
C0821,Southwest,control,0
C0446,Southeast,treatment,1
C0717,Midwest,treatment,1
C0649,Midwest,control,0
C0465,Southeast,treatment,1
C1470,Pacific-NW,treatment,0
C0196,Northeast,treatment,0
C0518,Southeast,treatment,1
C1246,West,treatment,0
C0488,Southeast,treatment,0
C1090,West,control,1
C0657,Midwest,treatment,0
C0683,Midwest,treatment,0
C0520,Southeast,treatment,0
C0241,Northeast,treatment,0
C1557,Pacific-NW,treatment,1
C0709,Midwest,treatment,0
C1407,Pacific-NW,control,0
C0989,Southwest,treatment,0
C0244,Northeast,treatment,0
C1304,Pacific-NW,control,1
C0402,Southeast,treatment,1
C0829,Southwest,control,1
C0603,Midwest,control,0
C0842,Southwest,control,0
C1333,Pacific-NW,control,0
C0655,Midwest,treatment,1
C0972,Southwest,treatment,0
C1418,Pacific-NW,control,1
C0738,Midwest,treatment,0
C0478,Southeast,treatment,0
C1400,Pacific-NW,control,1
C1481,Pacific-NW,treatment,0
C1479,Pacific-NW,treatment,1
C0967,Southwest,treatment,0
C0472,Southeast,treatment,0
C1200,West,treatment,0
C0576,Midwest,control,0
C1002,Southwest,treatment,1
C1248,West,treatment,1
C0549,Midwest,control,0
C1451,Pacific-NW,treatment,0
C0427,Southeast,treatment,0
C1255,West,treatment,0
C1391,Pacific-NW,control,1
C0899,Southwest,control,0
C1478,Pacific-NW,treatment,0
C0677,Midwest,treatment,0
C0652,Midwest,treatment,0
C1435,Pacific-NW,treatment,0
C1312,Pacific-NW,control,1
C1502,Pacific-NW,treatment,0
C0195,Northeast,treatment,1
C0475,Southeast,treatment,0
C1368,Pacific-NW,control,0
C1116,West,control,0
C0050,Northeast,control,1
C1289,West,treatment,0
C1554,Pacific-NW,treatment,0
C1483,Pacific-NW,treatment,0
C0686,Midwest,treatment,0
C0045,Northeast,control,0
C1286,West,treatment,0
C0246,Northeast,treatment,0
C1259,West,treatment,1
C0301,Southeast,control,1
C0690,Midwest,treatment,0
C0270,Southeast,control,0
C0554,Midwest,control,0
C0314,Southeast,control,0
C1431,Pacific-NW,treatment,0
C0284,Southeast,control,0
C1087,West,control,0
C0541,Midwest,control,1
C0407,Southeast,treatment,0
C0339,Southeast,control,0
C0467,Southeast,treatment,0
C0364,Southeast,control,0
C1050,West,control,0
C0321,Southeast,control,0
C1210,West,treatment,0
C1402,Pacific-NW,control,0
C0071,Northeast,control,0
C0501,Southeast,treatment,0
C0011,Northeast,control,1
C0824,Southwest,control,1
C0506,Southeast,treatment,0
C1152,West,control,0
C0885,Southwest,control,0
C1372,Pacific-NW,control,1
C0065,Northeast,control,0
C1075,West,control,1
C1480,Pacific-NW,treatment,1
C0417,Southeast,treatment,1
C0656,Midwest,treatment,1
C0206,Northeast,treatment,0
C0329,Southeast,control,0
C0487,Southeast,treatment,0
C1466,Pacific-NW,treatment,1
C1319,Pacific-NW,control,0
C1195,West,treatment,1
C0529,Midwest,control,0
C1495,Pacific-NW,treatment,0
C0419,Southeast,treatment,0
C1031,Southwest,treatment,0
C1243,West,treatment,0
C0913,Southwest,treatment,1
C0591,Midwest,control,1
C1159,West,control,0
C0843,Southwest,control,0
C0473,Southeast,treatment,0
C1267,West,treatment,0
C0132,Northeast,treatment,0
C0016,Northeast,control,0
C1018,Southwest,treatment,0
C1465,Pacific-NW,treatment,0
C0477,Southeast,treatment,1
C0769,Midwest,treatment,0
C0984,Southwest,treatment,0
C1063,West,control,1
C0914,Southwest,treatment,0
C1307,Pacific-NW,control,0
C0104,Northeast,control,1
C0061,Northeast,control,0
C0696,Midwest,treatment,0
C0079,Northeast,control,1
C0392,Southeast,treatment,1
C0166,Northeast,treatment,0
C1430,Pacific-NW,control,0
C0845,Southwest,control,0
C1082,West,control,0
C0350,Southeast,control,1
C0186,Northeast,treatment,0
C1241,West,treatment,0
C0372,Southeast,control,0
C0118,Northeast,control,0
C1170,West,control,1
C0253,Northeast,treatment,1
C0508,Southeast,treatment,1
C1549,Pacific-NW,treatment,0
C0312,Southeast,control,0
C1223,West,treatment,0
C0396,Southeast,treatment,0
C0832,Southwest,control,1
C0359,Southeast,control,0
C0264,Southeast,control,0
C0360,Southeast,control,0
C0806,Southwest,control,0
C1097,West,control,0
C1444,Pacific-NW,treatment,1
C1299,West,treatment,1
C1489,Pacific-NW,treatment,0
C0017,Northeast,control,1
C0052,Northeast,control,0
C1204,West,treatment,0
C0975,Southwest,treatment,0
C0602,Midwest,control,0
C0908,Southwest,control,0
C0352,Southeast,control,0
C1238,West,treatment,0
C1540,Pacific-NW,treatment,1
C1425,Pacific-NW,control,0
C0819,Southwest,control,0
C0723,Midwest,treatment,0
C0098,Northeast,control,1
C1475,Pacific-NW,treatment,0
C1363,Pacific-NW,control,0
C0197,Northeast,treatment,0
C0680,Midwest,treatment,0
C0184,Northeast,treatment,0
C1373,Pacific-NW,control,0
C1515,Pacific-NW,treatment,0
C0614,Midwest,control,0
C0788,Southwest,control,0
C0900,Southwest,control,0
C0534,Midwest,control,0
C0611,Midwest,control,0
C1277,West,treatment,0
C0082,Northeast,control,0
C0814,Southwest,control,0
C0398,Southeast,treatment,0
C0268,Southeast,control,0
C0590,Midwest,control,0
C0387,Southeast,control,0
C1155,West,control,0
C1358,Pacific-NW,control,1
C0133,Northeast,treatment,1
C0266,Southeast,control,0
C0896,Southwest,control,1
C1405,Pacific-NW,control,1
C0089,Northeast,control,0
C0881,Southwest,control,0
C0922,Southwest,treatment,0
C1247,West,treatment,0
C0630,Midwest,control,0
C1215,West,treatment,0
C0841,Southwest,control,0
C0295,Southeast,control,0
C0262,Southeast,control,0
C0879,Southwest,control,0
C1528,Pacific-NW,treatment,0
C1292,West,treatment,0
C1512,Pacific-NW,treatment,0
C0406,Southeast,treatment,1
C0995,Southwest,treatment,0
C0357,Southeast,control,0
C0609,Midwest,control,0
C0240,Northeast,treatment,1
C1035,Southwest,treatment,0
C1442,Pacific-NW,treatment,0
C1121,West,control,0
C0120,Northeast,control,0
C0791,Southwest,control,1
C1491,Pacific-NW,treatment,1
C0375,Southeast,control,0
C0454,Southeast,treatment,0
C0111,Northeast,control,0
C1280,West,treatment,0
C1332,Pacific-NW,control,0
C1503,Pacific-NW,treatment,0
C1233,West,treatment,0
C0504,Southeast,treatment,0
C1342,Pacific-NW,control,0
C1146,West,control,1
C1070,West,control,0
C1448,Pacific-NW,treatment,0
C1027,Southwest,treatment,0
C0368,Southeast,control,0
C1543,Pacific-NW,treatment,1
C0385,Southeast,control,1
C0201,Northeast,treatment,0
C0066,Northeast,control,0
C1300,West,treatment,1
C1014,Southwest,treatment,0
C1171,West,treatment,0
C0273,Southeast,control,0
C1359,Pacific-NW,control,0
C0872,Southwest,control,0
C0678,Midwest,treatment,0
C0239,Northeast,treatment,0
C1325,Pacific-NW,control,0
C0985,Southwest,treatment,0
C0542,Midwest,control,0
C0479,Southeast,treatment,0
C0963,Southwest,treatment,1
C1211,West,treatment,0
C1404,Pacific-NW,control,0
C1122,West,control,0
C1270,West,treatment,0
C0189,Northeast,treatment,0
C0839,Southwest,control,0
C0682,Midwest,treatment,0
C0907,Southwest,control,0
C1551,Pacific-NW,treatment,0
C0317,Southeast,control,0
C0215,Northeast,treatment,0
C1033,Southwest,treatment,1
C1440,Pacific-NW,treatment,0
C1039,Southwest,treatment,1
C0661,Midwest,treatment,1
C0532,Midwest,control,0
C0256,Northeast,treatment,0
C0031,Northeast,control,0
C0663,Midwest,treatment,0
C1275,West,treatment,0
C0231,Northeast,treatment,0
C1003,Southwest,treatment,0
C0386,Southeast,control,1
C1052,West,control,0
C0944,Southwest,treatment,0
C1136,West,control,0
C0722,Midwest,treatment,0
C0265,Southeast,control,0
C0102,Northeast,control,0
C0014,Northeast,control,0
C1262,West,treatment,0
C1432,Pacific-NW,treatment,0
C0934,Southwest,treatment,0
C1499,Pacific-NW,treatment,1
C0970,Southwest,treatment,1
C1513,Pacific-NW,treatment,0
C0567,Midwest,control,0
C1314,Pacific-NW,control,0
C0941,Southwest,treatment,0
C0524,Midwest,control,0
C0627,Midwest,control,0
C0496,Southeast,treatment,0
C0854,Southwest,control,0
C0156,Northeast,treatment,0
C1213,West,treatment,0
C0759,Midwest,treatment,0
C1147,West,control,0
C1293,West,treatment,0
C1370,Pacific-NW,control,0
C0367,Southeast,control,0
C0790,Southwest,control,0
C0229,Northeast,treatment,0
C0418,Southeast,treatment,1
C0207,Northeast,treatment,1
C0743,Midwest,treatment,0
C0080,Northeast,control,0
C0191,Northeast,treatment,0
C0493,Southeast,treatment,0
C0865,Southwest,control,1
C0146,Northeast,treatment,1
C0840,Southwest,control,0
C0319,Southeast,control,0
C1316,Pacific-NW,control,0
C1077,West,control,1
C1102,West,control,0
C0964,Southwest,treatment,0
C0458,Southeast,treatment,0
C0145,Northeast,treatment,0
C1301,Pacific-NW,control,1
C1237,West,treatment,0
C0980,Southwest,treatment,0
C0765,Midwest,treatment,0
C1093,West,control,0
C1350,Pacific-NW,control,0
C0906,Southwest,control,0
C1340,Pacific-NW,control,0
C0593,Midwest,control,1
C1260,West,treatment,1
C1011,Southwest,treatment,0
C0084,Northeast,control,1
C1322,Pacific-NW,control,0
C0155,Northeast,treatment,0
C1094,West,control,1
C1228,West,treatment,1
C0774,Midwest,treatment,0
C1240,West,treatment,0
C0128,Northeast,control,0
C1126,West,control,0
C1167,West,control,0
C1141,West,control,0
C0404,Southeast,treatment,0
C0151,Northeast,treatment,0
C0347,Southeast,control,0
C0414,Southeast,treatment,0
C1477,Pacific-NW,treatment,1
C1040,Southwest,treatment,0
C0395,Southeast,treatment,1
C0954,Southwest,treatment,0
C0998,Southwest,treatment,0
C0959,Southwest,treatment,1
C1268,West,treatment,0
C0353,Southeast,control,0
C0096,Northeast,control,1
C0626,Midwest,control,0
C0572,Midwest,control,0
C0038,Northeast,control,1
C0486,Southeast,treatment,0
C0144,Northeast,treatment,0
C0863,Southwest,control,0
C0159,Northeast,treatment,1
C0553,Midwest,control,0
C1455,Pacific-NW,treatment,1
C1103,West,control,0
C0519,Southeast,treatment,0
C1129,West,control,0
C1496,Pacific-NW,treatment,0
C0237,Northeast,treatment,0
C1183,West,treatment,0
C0223,Northeast,treatment,0
C1371,Pacific-NW,control,1
C0346,Southeast,control,0
C1218,West,treatment,0
C0121,Northeast,control,0
C0662,Midwest,treatment,0
C0589,Midwest,control,0
C1559,Pacific-NW,treatment,0
C0867,Southwest,control,0
C0063,Northeast,control,0
C1369,Pacific-NW,control,0
C0812,Southwest,control,0
C0194,Northeast,treatment,0
C0236,Northeast,treatment,0
C0182,Northeast,treatment,0
C1264,West,treatment,1
C0390,Southeast,control,0
C1057,West,control,0
C0522,Midwest,control,0
C0670,Midwest,treatment,0
C0986,Southwest,treatment,1
C0949,Southwest,treatment,0
C1224,West,treatment,0
C1311,Pacific-NW,control,0
C1460,Pacific-NW,treatment,0
C0383,Southeast,control,1
C1324,Pacific-NW,control,0
C1450,Pacific-NW,treatment,0
C0332,Southeast,control,0
C1037,Southwest,treatment,0
C0263,Southeast,control,1
C0007,Northeast,control,0
C0267,Southeast,control,0
C0770,Midwest,treatment,0
C0039,Northeast,control,1
C1514,Pacific-NW,treatment,1
C0546,Midwest,control,0
C0119,Northeast,control,1
C0784,Southwest,control,0
C0653,Midwest,treatment,1
C0935,Southwest,treatment,0
C0707,Midwest,treatment,1
C0106,Northeast,control,0
C1137,West,control,0
C0485,Southeast,treatment,0
C1505,Pacific-NW,treatment,0
C1001,Southwest,treatment,0
C0684,Midwest,treatment,0
C0021,Northeast,control,0
C0871,Southwest,control,1
C0243,Northeast,treatment,1
C0051,Northeast,control,1
C0163,Northeast,treatment,0
C0442,Southeast,treatment,0
C0868,Southwest,control,0
C0732,Midwest,treatment,0
C1056,West,control,1
C1524,Pacific-NW,treatment,0
C1032,Southwest,treatment,0
C1123,West,control,0
C0823,Southwest,control,0
C0302,Southeast,control,0
C0724,Midwest,treatment,0
C0173,Northeast,treatment,0
C0708,Midwest,treatment,0
C0659,Midwest,treatment,0
C1201,West,treatment,0
C0285,Southeast,control,1
C1117,West,control,0
C1354,Pacific-NW,control,0
C1544,Pacific-NW,treatment,0
C0993,Southwest,treatment,0
C1282,West,treatment,0
C1377,Pacific-NW,control,1
C0669,Midwest,treatment,0
C1441,Pacific-NW,treatment,1
C0789,Southwest,control,0
C0211,Northeast,treatment,0
C0345,Southeast,control,0
C0307,Southeast,control,0
C0218,Northeast,treatment,0
C1530,Pacific-NW,treatment,0
C0923,Southwest,treatment,0
C0290,Southeast,control,0
C0379,Southeast,control,0
C1378,Pacific-NW,control,0
C0168,Northeast,treatment,1
C0422,Southeast,treatment,0
C0226,Northeast,treatment,0
C0617,Midwest,control,0
C0013,Northeast,control,1
C0523,Midwest,control,0
C1176,West,treatment,0
C0069,Northeast,control,0
C0091,Northeast,control,1
C1191,West,treatment,0
C1288,West,treatment,1
C0381,Southeast,control,0
C0858,Southwest,control,0
C0746,Midwest,treatment,1
C1329,Pacific-NW,control,0
C0373,Southeast,control,0
C0259,Northeast,treatment,0
C1328,Pacific-NW,control,0
C0615,Midwest,control,0
C0305,Southeast,control,0
C1398,Pacific-NW,control,0
C1263,West,treatment,0
C0411,Southeast,treatment,1
C1508,Pacific-NW,treatment,0
C1162,West,control,1
C0043,Northeast,control,0
C0209,Northeast,treatment,0
C0533,Midwest,control,1
C0888,Southwest,control,1
C1064,West,control,0
C0491,Southeast,treatment,0
C0597,Midwest,control,0
C0075,Northeast,control,0
C0516,Southeast,treatment,1
C0286,Southeast,control,0
C1278,West,treatment,0
C0859,Southwest,control,0
C0072,Northeast,control,1
C0562,Midwest,control,1
C0180,Northeast,treatment,0
C0110,Northeast,control,0
C1464,Pacific-NW,treatment,0
C0494,Southeast,treatment,0
C0117,Northeast,control,1
C0294,Southeast,control,0
C0077,Northeast,control,0
C0049,Northeast,control,0
C1024,Southwest,treatment,1
C0776,Midwest,treatment,0
C0773,Midwest,treatment,0
C1296,West,treatment,0
C1096,West,control,0
C1091,West,control,0
C0333,Southeast,control,0
C0577,Midwest,control,1
C0623,Midwest,control,0
C0565,Midwest,control,0
C0876,Southwest,control,0
C1399,Pacific-NW,control,1
C1073,West,control,1
C0410,Southeast,treatment,0
C0637,Midwest,control,0
C1552,Pacific-NW,treatment,0
C1536,Pacific-NW,treatment,1
