customer_id,tenure_z,usage_z,churned
K00152,0.161,1.607,0
K00153,-0.033,0.958,0
K00154,0.028,-0.183,0
K00155,-0.685,1.22,0
K00156,0.042,0.836,0
K00157,-0.373,0.816,1
K00158,-0.185,-2.064,1
K00159,-1.422,0.215,0
K00160,-0.956,-1.679,1
K00161,-0.008,-1.324,1
K00162,1.638,1.148,1
K00163,0.082,0.044,0
K00164,0.635,0.408,1
K00165,2.046,1.084,1
K00166,0.287,-0.785,0
K00167,-0.348,-0.967,0
K00168,-2.157,-0.12,0
K00169,-0.387,0.016,0
K00170,1.311,-0.521,1
K00171,-1.108,-0.16,0
K00172,-0.405,1.837,0
K00173,-0.214,-0.385,1
K00174,0.225,-0.095,0
K00175,-1.163,-1.005,1
K00176,0.854,-0.793,1
K00177,0.617,0.535,0
K00178,-1.13,0.001,1
K00179,-3.127,0.465,0
K00180,0.641,-0.462,1
K00181,0.135,1.519,0
K00182,0.014,1.776,0
K00183,-2.014,-0.084,0
K00184,-0.928,1.436,0
K00185,-0.333,1.914,0
K00186,0.224,-0.12,1
K00187,-0.149,-0.805,1
K00188,1.008,1.041,0
K00189,-1.274,1.151,0
K00190,-1.372,-1.741,0
K00191,-0.104,-2.126,1
K00192,1.281,-0.724,1
K00193,-1.471,1.782,0
K00194,-1.613,0.445,0
K00195,1.822,0.517,1
K00196,-0.834,-1.514,1
K00197,0.083,-0.52,0
K00198,1.471,-1.62,0
K00199,-1.141,-0.932,1
K00200,0.078,0.77,1
K00201,0.51,0.068,0
K00202,-0.208,-0.006,0
K00203,-0.392,-0.373,1
K00204,-0.773,-0.364,1
K00205,-0.483,0.135,1
K00206,1.106,-0.878,1
K00207,-2.46,0.554,0
K00208,0.403,-0.407,1
K00209,-0.059,1.536,0
K00210,0.022,-2.316,0
K00211,0.016,-0.024,0
K00212,-0.073,-0.713,0
K00213,0.636,0.192,1
K00214,-2.202,-0.452,1
K00215,0.797,-0.949,1
K00216,0.721,0.233,1
K00217,0.043,0.96,0
K00218,-0.119,0.53,0
K00219,0.979,1.241,0
K00220,2.193,0.149,1
K00221,1.738,0.89,0
K00222,1.447,-0.759,1
K00223,-1.984,-0.714,0
K00224,1.864,0.511,1
K00225,0.11,-1.414,0
K00226,-0.675,-1.126,0
K00227,0.336,0.294,1
K00228,1.306,-0.97,1
K00229,-1.844,1.44,0
K00230,0.834,1.024,0
K00231,-0.551,-1.26,0
K00232,0.12,0.567,1
K00233,-0.317,-0.609,1
K00234,0.807,-0.183,0
K00235,0.096,-0.275,0
K00236,-0.755,-0.507,1
K00237,-0.933,-0.274,1
K00238,-0.571,-0.902,1
K00239,0.624,-2.235,1
K00240,-0.799,0.175,0
K00241,0.869,0.052,0
K00242,1.332,-0.732,1
K00243,0.29,0.398,1
K00244,-2.141,-0.65,0
K00245,0.449,1.175,1
K00246,0.59,-0.58,0
K00247,1.004,0.861,0
K00248,0.322,1.073,0
K00249,1.537,1.737,0
K00250,1.623,-1.146,1
K00251,0.13,0.066,1
K00252,0.902,1.769,0
K00253,2.087,-1.76,1
K00254,0.758,-0.785,1
K00255,0.529,-0.938,1
K00256,2.196,-0.332,1
K00257,-2.094,0.831,0
K00258,1.581,-0.43,1
K00259,-0.272,0.742,1
K00260,-2.254,0.491,0
K00261,1.041,-1.474,1
K00262,1.584,0.228,1
K00263,-0.01,-0.192,1
K00264,0.637,0.681,0
K00265,1.221,0.704,1
K00266,-0.405,-0.528,0
K00267,0.394,-0.906,1
K00268,0.847,0.613,1
K00269,-0.676,1.815,0
K00270,-0.047,-0.136,1
K00271,-0.912,0.201,1
K00272,-1.02,-1.27,0
K00273,-0.091,2.755,1
K00274,0.452,0.346,1
K00275,0.255,-1.028,1
K00276,0.697,0.192,0
K00277,0.808,1.436,1
K00278,0.777,0.911,0
K00279,-0.569,0.328,0
K00280,-0.331,-0.323,1
K00281,-1.368,-1.676,0
K00282,1.685,-0.947,1
K00283,0.953,0.199,1
K00284,-0.305,0.562,1
K00285,-0.056,0.108,1
K00286,0.905,0.281,0
K00287,-0.915,0.624,0
K00288,-0.462,-1.204,1
K00289,-0.894,-1.106,0
K00290,-0.03,-0.825,1
K00291,1.363,1.002,1
K00292,-0.532,0.266,1
K00293,1.301,0.333,0
K00294,0.375,-0.703,0
K00295,-0.276,-0.507,0
K00296,0.884,-0.027,1
K00297,-1.192,-0.851,0
K00298,0.164,-1.01,0
K00299,0.135,0.032,0
K00300,2.332,-0.544,1
K00301,-0.421,-0.222,1
K00302,0.286,1.301,1
K00303,-1.266,0.908,0
K00304,-1.019,-0.704,1
K00305,0.716,-0.014,1
K00306,1.804,-0.007,1
K00307,1.333,-0.537,1
K00308,-1.546,0.455,0
K00309,-1.064,-0.182,1
K00310,-1.349,-0.669,1
K00311,-0.09,0.59,1
K00312,1.156,-0.789,0
K00313,0.935,-0.888,1
K00314,0.098,0.969,0
K00315,0.027,0.114,0
K00316,-2.463,-0.479,0
K00317,-3.756,0.83,0
K00318,-0.406,-0.694,0
K00319,-1.942,0.06,0
K00320,-0.199,-0.008,0
K00321,-1.258,0.088,0
K00322,0.619,-0.563,1
K00323,-0.777,0.443,0
K00324,-1.142,2.36,0
K00325,-0.289,1.211,0
K00326,0.974,0.802,1
K00327,-0.592,0.025,0
K00328,1.271,-1.125,1
K00329,-1.456,2.294,0
K00330,-1.48,-0.656,0
K00331,-0.522,1.104,0
K00332,-0.212,1.22,1
K00333,0.455,0.869,0
K00334,-0.279,-0.441,1
K00335,-0.243,-2.941,1
K00336,-1.702,-1.371,0
K00337,1.134,-0.947,1
K00338,-0.629,-0.804,0
K00339,0.107,1.51,1
K00340,-0.003,1.315,0
K00341,1.925,0.722,1
K00342,-1.926,1.871,0
K00343,-0.164,0.678,0
K00344,1.374,0.006,1
K00345,-2.532,-0.28,0
K00346,-0.663,-0.186,0
K00347,-0.214,-0.371,1
K00348,0.034,0.956,1
K00349,-1.397,1.312,0
K00350,0.712,-0.591,1
K00351,-1.39,0.631,0
K00352,1.241,-0.682,1
K00353,-0.245,1.261,0
K00354,-1.402,-1.378,0
K00355,1.327,0.245,1
K00356,0.145,-0.144,1
K00357,0.465,-1.743,1
K00358,0.817,-2.139,1
K00359,-0.47,-1.601,1
K00360,-0.613,-0.543,1
K00361,0.345,0.019,0
K00362,1.405,1.213,0
K00363,0.386,0.733,0
K00364,-0.661,-0.845,0
K00365,1.76,0.733,1
K00366,-0.862,2.181,0
K00367,-0.466,0.034,0
K00368,-0.404,-0.164,0
K00369,-0.181,-0.644,1
K00370,0.408,-0.48,1
K00371,0.534,1.119,0
K00372,-0.893,-1.237,1
K00373,-0.836,0.682,0
K00374,0.902,0.733,1
K00375,0.868,-0.486,0
K00376,-0.946,2.762,0
K00377,1.152,-0.368,0
K00378,-0.139,-1.403,1
K00379,0.413,0.654,0
K00380,0.333,-1.49,0
K00381,0.361,0.33,0
K00382,-0.411,-0.386,1
K00383,0.124,-0.003,0
K00384,-0.524,0.898,0
K00385,0.142,0.158,0
K00386,-0.329,0.435,0
K00387,-0.504,-0.554,0
K00388,-0.221,-0.041,0
K00389,0.457,-1.015,0
K00390,0.187,-0.611,0
K00391,-0.128,0.039,1
K00392,-0.372,1.274,0
K00393,0.459,0.771,0
K00394,1.732,0.569,1
K00395,0.209,0.408,1
K00396,0.507,-1.106,0
K00397,-0.815,0.714,0
K00398,-0.44,0.928,0
K00399,-0.239,2.12,0
