order_id,store_id,category_raw,revenue
O0132,ST05,Furniture,311.84
O0133,ST08,Rugs,140.47
O0134,ST03,Decor,283.96
O0135,ST05,Rugs,316.43
O0136,ST09,Rugs,211.49
O0137,ST04,Outdoor & Patio,144.63
O0138,ST01,Furniture,181.69
O0139,ST03,Decor,311.93
O0140,ST08,Rugs,115.84
O0141,ST01,Rugs,416.67
O0142,ST05,Decor,182.14
O0143,ST02,Decor,261.46
O0144,ST08,Furniture,318.01
O0145,ST11,Decor,518.43
O0146,ST10,Rugs,212.37
O0147,ST09,Furniture,568.05
O0148,ST03,Outdoor & Patio,314.57
O0149,ST00,Decor,63.75
O0150,ST08,Lighting,307.74
O0151,ST01,Rugs,559.65
O0152,ST06,Outdoor & Patio,166.08
O0153,ST02,Furniture,128.4
O0154,ST03,Furniture,165.61
O0155,ST04,Rugs,382.03
O0156,ST07,Decor,392.51
O0157,ST01,Rugs,80.88
O0158,ST10,Rugs,181.92
O0159,ST08,Furniture,222.93
O0160,ST10,Decor,94.3
O0161,ST11,Outdoor & Patio,119.68
O0162,ST02,Lighting,313.82
O0163,ST07,Furniture,697.49
O0164,ST04,Lighting,168.13
O0165,ST08,Decor,287.06
O0166,ST11,Decor,36.33
O0167,ST11,Rugs,147.18
O0168,ST01,Furniture,165.58
O0169,ST09,Rugs,77.0
O0170,ST01,Rugs,163.84
O0171,ST03,Decor,301.22
O0172,ST00,Furniture,277.03
O0173,ST11,Outdoor & Patio,324.11
O0174,ST01,Decor,136.57
O0175,ST06,Rugs,150.66
O0176,ST03,Furniture,589.19
O0177,ST03,Furniture,389.69
O0178,ST10,Rugs,247.77
O0179,ST04,Rugs,341.57
O0180,ST05,Outdoor & Patio,208.57
O0181,ST04,Decor,209.23
O0182,ST03,Furniture,137.42
O0183,ST02,Lighting,127.27
O0184,ST06,Furniture,84.29
O0185,ST01,Rugs,296.95
O0186,ST09,Decor,103.16
O0187,ST05,Decor,269.53
O0188,ST11,Lighting,454.81
O0189,ST08,Lighting,354.5
O0190,ST01,Furniture,203.51
O0191,ST07,Furniture,284.91
O0192,ST07,Outdoor & Patio,231.91
O0193,ST09,Lighting,425.6
O0194,ST04,Outdoor & Patio,249.39
O0195,ST09,Outdoor & Patio,214.57
O0196,ST02,Decor,79.36
O0197,ST08,Furniture,181.12
O0198,ST07,Lighting,257.38
O0199,ST01,Furniture,159.32
O0200,ST03,Lighting,259.51
O0201,ST04,Furniture,652.82
O0202,ST09,Rugs,210.15
O0203,ST06,Decor,199.87
O0204,ST06,Decor,195.45
O0205,ST10,Rugs,467.81
O0206,ST10,Lighting,225.74
O0207,ST10,Furniture,174.23
O0208,ST11,Rugs,324.33
O0209,ST09,Rugs,220.29
O0210,ST01,Outdoor & Patio,173.92
O0211,ST00,Decor,279.5
O0212,ST11,Furniture,64.92
O0213,ST01,Decor,113.32
O0214,ST00,Decor,236.58
O0215,ST07,Lighting,334.71
O0216,ST10,Decor,315.35
O0217,ST08,Furniture,406.01
O0218,ST09,Outdoor & Patio,546.98
O0219,ST03,Furniture,191.17
O0220,ST01,Outdoor & Patio,60.86
O0221,ST08,Outdoor & Patio,250.21
O0222,ST08,Furniture,352.38
O0223,ST08,Lighting,290.25
O0224,ST08,Furniture,305.76
O0225,ST10,Furniture,258.72
O0226,ST10,Rugs,215.28
O0227,ST03,Lighting,73.39
O0228,ST07,Rugs,179.77
O0229,ST05,Lighting,198.11
O0230,ST06,Furniture,280.58
O0231,ST02,Rugs,288.47
O0232,ST10,Decor,236.47
O0233,ST10,Lighting,244.2
O0234,ST02,Decor,103.4
O0235,ST00,Lighting,233.79
O0236,ST05,Outdoor & Patio,333.07
O0237,ST06,Furniture,249.31
O0238,ST02,Rugs,40.16
O0239,ST10,Decor,99.07
O0240,ST08,Furniture,250.75
O0241,ST05,Rugs,414.96
O0242,ST01,Rugs,315.43
O0243,ST11,Rugs,288.77
O0244,ST03,Rugs,268.03
O0245,ST05,Outdoor & Patio,121.97
O0246,ST10,Rugs,220.96
O0247,ST07,Lighting,61.85
O0248,ST06,Decor,227.08
O0249,ST04,Furniture,358.63
O0250,ST07,Rugs,267.11
O0251,ST10,Decor,167.03
O0252,ST11,Outdoor & Patio,74.01
O0253,ST00,Decor,228.51
O0254,ST10,Furniture,120.53
O0255,ST09,Lighting,505.11
O0256,ST05,Furniture,334.5
O0257,ST09,Outdoor & Patio,596.82
O0258,ST04,Decor,234.79
O0259,ST02,Decor,203.67
O0260,ST06,Furniture,233.61
O0261,ST09,Rugs,47.4
O0262,ST07,Decor,248.75
O0263,ST09,Lighting,112.26
O0264,ST08,Rugs,123.11
O0265,ST09,Rugs,167.9
O0266,ST11,Outdoor & Patio,473.34
O0267,ST11,Outdoor & Patio,231.39
O0268,ST09,Decor,158.12
O0269,ST00,Rugs,383.84
O0270,ST03,Furniture,99.19
O0271,ST01,Rugs,152.93
O0272,ST06,Lighting,427.58
O0273,ST02,Rugs,139.68
O0274,ST03,Lighting,222.59
O0275,ST03,Furniture,334.02
O0276,ST03,Furniture,247.28
O0277,ST05,Rugs,219.66
O0278,ST03,Decor,147.73
O0279,ST08,Rugs,108.89
O0280,ST09,Furniture,316.78
O0281,ST08,Furniture,83.03
O0282,ST01,Lighting,168.99
O0283,ST10,Lighting,451.61
O0284,ST07,Rugs,87.39
O0285,ST03,Lighting,374.07
O0286,ST09,Lighting,319.2
O0287,ST03,Rugs,147.83
O0288,ST04,Rugs,413.24
O0289,ST07,Furniture,287.35
O0290,ST01,Rugs,120.26
O0291,ST00,Rugs,130.9
O0292,ST05,Rugs,471.79
O0293,ST00,Lighting,190.96
O0294,ST11,Rugs,323.64
O0295,ST00,Furniture,339.09
O0296,ST09,Outdoor & Patio,353.54
O0297,ST09,Rugs,162.16
O0298,ST00,Lighting,49.26
O0299,ST07,Furniture,229.5
O0300,ST00,Lighting,76.82
O0301,ST10,Decor,185.39
O0302,ST07,Rugs,453.75
O0303,ST07,Outdoor & Patio,146.28
O0304,ST10,Furniture,212.81
O0305,ST10,Decor,208.89
O0306,ST05,Lighting,234.42
O0307,ST05,Decor,204.59
O0308,ST05,Outdoor & Patio,287.0
O0309,ST05,Outdoor & Patio,208.11
O0310,ST09,Decor,262.61
O0311,ST07,Furniture,247.23
O0312,ST07,Decor,139.97
O0313,ST07,Outdoor & Patio,307.31
O0314,ST02,Lighting,289.01
O0315,ST03,Furniture,122.06
O0316,ST04,Decor,351.29
O0317,ST10,Furniture,189.06
O0318,ST01,Furniture,143.54
O0319,ST04,Furniture,80.05
O0320,ST06,Furniture,174.53
O0321,ST05,Furniture,146.95
O0322,ST03,Lighting,240.03
O0323,ST11,Furniture,310.75
O0324,ST07,Furniture,186.89
O0325,ST03,Decor,114.77
O0326,ST06,Furniture,127.96
O0327,ST07,Outdoor & Patio,335.28
O0328,ST07,Decor,372.57
O0329,ST04,Lighting,174.95
O0330,ST10,Outdoor & Patio,272.38
O0331,ST10,Furniture,233.87
O0332,ST08,Lighting,203.29
O0333,ST01,Decor,333.51
O0334,ST06,Lighting,214.47
O0335,ST02,Rugs,125.99
O0336,ST05,Furniture,656.81
O0337,ST03,Decor,240.85
O0338,ST01,Decor,535.33
O0339,ST00,Furniture,65.37
O0340,ST01,Lighting,241.96
O0341,ST00,Rugs,437.28
O0342,ST09,Outdoor & Patio,125.27
O0343,ST07,Furniture,309.58
O0344,ST07,Lighting,85.54
O0345,ST01,Lighting,566.9
O0346,ST10,Furniture,298.79
O0347,ST11,Lighting,366.87
O0348,ST01,Furniture,314.79
O0349,ST10,Decor,175.22
O0350,ST00,Lighting,540.72
O0351,ST08,Decor,263.69
O0352,ST06,Lighting,156.65
O0353,ST00,Decor,130.98
O0354,ST02,Lighting,255.87
O0355,ST02,Lighting,342.78
O0356,ST04,Decor,210.25
O0357,ST06,Rugs,239.62
O0358,ST11,Decor,299.94
O0359,ST03,Furniture,277.73
O0360,ST01,Lighting,170.53
O0361,ST07,Decor,180.93
O0362,ST00,Furniture,406.83
O0363,ST01,Outdoor & Patio,397.08
O0364,ST08,Rugs,163.63
O0365,ST11,Lighting,227.25
O0366,ST05,Lighting,145.92
O0367,ST08,Lighting,442.43
O0368,ST00,Furniture,317.46
O0369,ST11,Rugs,273.47
O0370,ST01,Outdoor & Patio,417.23
O0371,ST06,Rugs,310.33
O0372,ST08,Rugs,157.76
O0373,ST06,Lighting,192.56
O0374,ST01,Outdoor & Patio,299.96
O0375,ST07,Outdoor & Patio,269.67
O0376,ST09,Lighting,196.95
O0377,ST05,Furniture,496.87
O0378,ST01,Furniture,225.64
O0379,ST09,Decor,634.47
O0380,ST11,Decor,48.23
O0381,ST04,Decor,482.15
O0382,ST03,Decor,417.7
O0383,ST11,Furniture,183.9
O0384,ST02,Outdoor & Patio,87.98
O0385,ST11,Furniture,110.07
O0386,ST01,Lighting,137.13
O0387,ST10,Furniture,240.89
O0388,ST09,Lighting,304.79
O0389,ST06,Furniture,261.93
O0390,ST08,Outdoor & Patio,315.97
O0391,ST06,Lighting,206.87
O0392,ST10,Furniture,361.98
O0393,ST06,Lighting,192.22
O0394,ST02,Furniture,356.65
O0395,ST01,Lighting,310.43
O0396,ST07,Lighting,377.78
O0397,ST07,Furniture,207.48
O0398,ST09,Rugs,125.82
O0399,ST04,Rugs,150.47
O0400,ST05,Furniture,299.53
O0401,ST10,Decor,437.78
O0402,ST04,Furniture,114.96
O0403,ST09,Lighting,227.74
O0404,ST01,Decor,216.25
O0405,ST08,Lighting,118.82
O0406,ST11,Lighting,173.31
O0407,ST02,Lighting,319.61
O0408,ST10,Decor,216.7
O0409,ST08,Lighting,121.15
O0410,ST08,Outdoor & Patio,249.41
O0411,ST02,Lighting,153.03
O0412,ST08,Furniture,152.02
O0413,ST00,Lighting,155.91
O0414,ST01,Decor,253.14
O0415,ST10,Lighting,299.02
O0416,ST05,Outdoor & Patio,655.07
O0417,ST02,Lighting,191.65
O0418,ST11,Lighting,593.05
O0419,ST09,Lighting,135.59
O0420,ST04,Lighting,193.36
O0421,ST11,Rugs,361.72
O0422,ST03,Outdoor & Patio,303.08
O0423,ST04,Decor,270.4
O0424,ST07,Furniture,777.22
O0425,ST05,Lighting,188.87
O0426,ST02,Lighting,135.0
O0427,ST09,Outdoor & Patio,171.14
O0428,ST00,Decor,411.31
O0429,ST01,Rugs,406.0
O0430,ST01,Furniture,246.34
O0431,ST01,Outdoor & Patio,456.98
O0432,ST01,Decor,250.33
O0433,ST01,Lighting,176.78
O0434,ST00,Lighting,328.24
O0435,ST01,Lighting,247.75
O0436,ST04,Rugs,300.22
O0437,ST00,Rugs,179.42
O0438,ST10,Lighting,212.21
O0439,ST09,Outdoor & Patio,316.16
O0440,ST02,Rugs,505.88
O0441,ST11,Rugs,293.0
O0442,ST06,Furniture,211.12
O0443,ST04,Lighting,150.74
O0444,ST07,Decor,408.06
O0445,ST07,Furniture,474.04
O0446,ST08,Lighting,495.09
O0447,ST09,Decor,189.15
O0448,ST08,Outdoor & Patio,493.77
O0449,ST05,Decor,236.8
O0450,ST05,Decor,365.45
O0451,ST08,Outdoor & Patio,212.9
O0452,ST03,Lighting,115.8
O0453,ST03,Furniture,380.24
O0454,ST07,Lighting,592.68
O0455,ST03,Furniture,131.63
O0456,ST07,Outdoor & Patio,192.1
O0457,ST09,Rugs,46.76
O0458,ST09,Furniture,181.22
O0459,ST00,Lighting,248.6
O0460,ST06,Decor,235.12
O0461,ST11,Rugs,309.3
O0462,ST00,Lighting,395.86
O0463,ST03,Furniture,201.17
O0464,ST03,Furniture,207.07
O0465,ST11,Furniture,191.82
O0466,ST02,Decor,99.76
O0467,ST02,Rugs,98.92
O0468,ST01,Furniture,312.61
O0469,ST04,Furniture,184.69
O0470,ST11,Lighting,163.03
O0471,ST04,Lighting,196.16
O0472,ST06,Furniture,165.42
O0473,ST10,Decor,327.04
O0474,ST05,Furniture,431.95
O0475,ST08,Rugs,350.43
O0476,ST02,Furniture,361.0
O0477,ST00,Outdoor & Patio,281.48
O0478,ST03,Furniture,129.45
O0479,ST05,Decor,76.64
O0480,ST09,Furniture,327.46
O0481,ST05,Decor,492.68
O0482,ST07,Rugs,392.26
O0483,ST07,Rugs,564.38
O0484,ST00,Furniture,320.17
O0485,ST08,Furniture,282.71
O0486,ST00,Furniture,136.29
O0487,ST10,Rugs,496.72
O0488,ST00,Furniture,276.42
O0489,ST10,Furniture,144.85
O0490,ST09,Decor,549.28
O0491,ST09,Rugs,197.36
O0492,ST01,Decor,374.75
O0493,ST11,Lighting,382.05
O0494,ST02,Decor,403.88
O0495,ST00,Rugs,400.05
O0496,ST03,Decor,180.58
O0497,ST11,Furniture,158.41
O0498,ST00,Outdoor & Patio,116.21
O0499,ST08,Outdoor & Patio,277.03
O0500,ST00,Furniture,195.85
O0501,ST02,Furniture,202.72
O0502,ST04,Furniture,391.18
O0503,ST02,Furniture,127.82
O0504,ST00,Outdoor & Patio,383.38
O0505,ST11,Furniture,175.55
O0506,ST11,Decor,215.75
O0507,ST03,Lighting,376.52
O0508,ST06,Furniture,160.7
O0509,ST09,Furniture,286.59
O0510,ST08,Furniture,102.48
O0511,ST05,Furniture,196.89
O0512,ST11,Rugs,293.22
O0513,ST08,Lighting,55.06
O0514,ST06,Rugs,325.28
O0515,ST00,Furniture,174.78
O0516,ST09,Outdoor & Patio,158.17
O0517,ST11,Outdoor & Patio,114.56
O0518,ST03,Furniture,225.72
O0519,ST04,Rugs,136.18
