county_id,year,employment,population,treated
CTY012,2020,1112.2,30988,1
CTY012,2021,1141.7,30988,1
CTY012,2022,1232.7,30988,1
CTY012,2023,1238.8,30988,1
CTY012,2024,1260.1,30988,1
CTY013,2019,848.6,137049,0
CTY013,2020,853.7,137049,0
CTY013,2021,844.9,137049,0
CTY013,2022,857.2,137049,0
CTY013,2023,872.1,137049,0
CTY013,2024,864.5,137049,0
CTY014,2020,1289.0,19909,1
CTY014,2021,1285.0,19909,1
CTY014,2022,1408.4,19909,1
CTY014,2023,1432.0,19909,1
CTY014,2024,1416.6,19909,1
CTY015,2019,945.7,24844,0
CTY015,2020,951.0,24844,0
CTY015,2021,979.3,24844,0
CTY015,2022,990.8,24844,0
CTY015,2023,1005.3,24844,0
CTY015,2024,1000.9,24844,0
CTY016,2020,860.4,254977,1
CTY016,2021,864.0,254977,1
CTY016,2022,991.9,254977,1
CTY016,2023,1001.0,254977,1
CTY016,2024,994.4,254977,1
CTY017,2020,843.7,24948,0
CTY017,2021,850.7,24948,0
CTY017,2022,867.0,24948,0
CTY017,2023,872.4,24948,0
CTY017,2024,874.1,24948,0
CTY018,2019,985.0,10657,1
CTY018,2020,977.2,10657,1
CTY018,2021,980.3,10657,1
CTY018,2022,1037.5,10657,1
CTY018,2023,1043.7,10657,1
CTY018,2024,1022.3,10657,1
CTY019,2019,1180.6,19168,0
CTY019,2020,1172.6,19168,0
CTY019,2021,1227.4,19168,0
CTY019,2022,1203.5,19168,0
CTY019,2023,1227.0,19168,0
CTY019,2024,1253.2,19168,0
CTY020,2020,1036.2,3192,1
CTY020,2021,1038.1,3192,1
CTY020,2022,1086.9,3192,1
CTY020,2023,1087.7,3192,1
CTY020,2024,1117.9,3192,1
CTY021,2019,1228.3,14638,0
CTY021,2020,1244.1,14638,0
CTY021,2021,1244.2,14638,0
CTY021,2022,1241.5,14638,0
CTY021,2023,1243.0,14638,0
CTY021,2024,1277.5,14638,0
CTY022,2019,875.1,80857,1
CTY022,2020,878.5,80857,1
CTY022,2021,891.5,80857,1
CTY022,2022,997.6,80857,1
CTY022,2023,1004.0,80857,1
CTY022,2024,1020.8,80857,1
CTY023,2019,1122.5,85478,0
CTY023,2020,1118.4,85478,0
CTY023,2021,1131.1,85478,0
CTY023,2022,1139.6,85478,0
CTY023,2023,1128.2,85478,0
CTY023,2024,1151.0,85478,0
CTY024,2019,987.3,294946,1
CTY024,2020,996.4,294946,1
CTY024,2021,1003.1,294946,1
CTY024,2022,1135.1,294946,1
CTY024,2023,1139.9,294946,1
CTY024,2024,1146.2,294946,1
CTY025,2019,1071.2,27086,0
CTY025,2020,1076.2,27086,0
CTY025,2021,1086.8,27086,0
CTY025,2022,1081.0,27086,0
CTY025,2023,1086.5,27086,0
CTY025,2024,1098.6,27086,0
CTY026,2019,698.4,49192,1
CTY026,2020,707.7,49192,1
CTY026,2021,712.5,49192,1
CTY026,2022,792.0,49192,1
CTY026,2023,814.4,49192,1
CTY026,2024,825.9,49192,1
CTY027,2019,1108.5,15714,0
CTY027,2020,1109.9,15714,0
CTY027,2021,1098.2,15714,0
CTY027,2022,1105.4,15714,0
CTY027,2023,1137.1,15714,0
CTY027,2024,1148.7,15714,0
CTY028,2019,1009.9,61424,1
CTY028,2020,1007.3,61424,1
CTY028,2021,1039.2,61424,1
CTY028,2022,1130.8,61424,1
CTY028,2023,1115.2,61424,1
CTY028,2024,1125.2,61424,1
CTY029,2019,812.4,51588,0
CTY029,2020,828.0,51588,0
CTY029,2021,835.4,51588,0
CTY029,2022,858.6,51588,0
CTY029,2023,857.6,51588,0
CTY029,2024,862.0,51588,0
CTY030,2019,888.6,9084,1
CTY030,2020,881.0,9084,1
CTY030,2021,890.6,9084,1
CTY030,2022,931.3,9084,1
CTY030,2023,937.9,9084,1
CTY030,2024,950.0,9084,1
CTY031,2020,843.1,51572,0
CTY031,2021,839.7,51572,0
CTY031,2022,821.4,51572,0
CTY031,2023,850.0,51572,0
CTY031,2024,860.3,51572,0
CTY032,2019,1280.0,13282,1
CTY032,2020,1299.0,13282,1
CTY032,2021,1296.9,13282,1
CTY032,2022,1376.8,13282,1
CTY032,2023,1398.6,13282,1
CTY032,2024,1401.8,13282,1
CTY033,2019,1150.0,16673,0
CTY033,2020,1163.8,16673,0
CTY033,2021,1184.8,16673,0
CTY033,2022,1189.9,16673,0
CTY033,2023,1189.5,16673,0
CTY033,2024,1217.0,16673,0
CTY034,2020,1090.4,12630,1
CTY034,2021,1092.3,12630,1
CTY034,2022,1144.8,12630,1
CTY034,2023,1172.1,12630,1
CTY034,2024,1171.6,12630,1
CTY035,2019,972.7,25927,0
CTY035,2020,987.7,25927,0
CTY035,2021,996.7,25927,0
CTY035,2022,1004.8,25927,0
CTY035,2023,1018.4,25927,0
CTY035,2024,1034.9,25927,0
CTY036,2019,799.9,30306,1
CTY036,2020,824.9,30306,1
CTY036,2021,816.7,30306,1
CTY036,2022,904.5,30306,1
CTY036,2023,927.2,30306,1
CTY036,2024,926.1,30306,1
CTY037,2019,914.1,35224,0
CTY037,2020,929.0,35224,0
CTY037,2021,928.6,35224,0
CTY037,2022,939.0,35224,0
CTY037,2023,941.9,35224,0
CTY037,2024,935.6,35224,0
CTY038,2020,1069.5,8005,1
CTY038,2021,1073.2,8005,1
CTY038,2022,1105.8,8005,1
CTY038,2023,1133.7,8005,1
CTY038,2024,1131.3,8005,1
CTY039,2019,1086.7,30601,0
CTY039,2020,1104.6,30601,0
CTY039,2021,1110.7,30601,0
CTY039,2022,1122.5,30601,0
CTY039,2023,1132.3,30601,0
CTY039,2024,1134.4,30601,0
