order_id,customer_id,channel,revenue,is_test_account,captured_at
ORD00093,C0055,call center,130.06,0,2026-07-19
ORD00124,C0046,store,136.4,0,2026-07-02
ORD00148,C0101,store,100.95,0,2026-07-04
ORD00188,C0053,webb,224.1,0,2026-07-05
ORD00209,C0042,Retail,99.13,0,2026-07-16
ORD00220,C0109,webb,63.37,0,2026-07-08
ORD00162,C0029,APP,147.0,0,2026-07-14
ORD00019,C0022,call center,158.16,0,2026-07-05
ORD00107,C0046,mobile app,100.65,0,2026-07-17
ORD00195,C0027,webb,64.11,0,2026-07-19
ORD00094,C0042,PHONE,62.53,0,2026-07-15
ORD00225,C0019,store,60.46,0,2026-07-07
ORD00013,C0075,phone,111.4,0,2026-07-17
ORD00168,C0097,App,37.9,0,2026-07-17
ORD00213,C0073,webb,158.69,0,2026-07-04
ORD00051,C0067,phone,49.42,0,2026-07-18
ORD00112,C0022,store,63.33,0,2026-07-19
ORD00120,C0013,retail,152.61,1,2026-07-19
ORD00140,C0099,App,130.98,0,2026-07-07
ORD00084,C0060,Web,383.67,0,2026-07-18
ORD00034,C0047,WEB,399.07,1,2026-07-19
ORD00069,C0052,webb,80.83,0,2026-07-02
ORD00004,C0057,Phone,147.65,0,2026-07-08
ORD00144,C0065,app,55.01,0,2026-07-03
ORD00201,C0032,APP,261.75,0,2026-07-02
ORD00016,C0051,Web,251.91,0,2026-07-16
ORD00164,C0019,call center,45.03,0,2026-07-17
ORD00151,C0078,Web,138.24,0,2026-07-20
ORD00003,C0104,retail,206.75,1,2026-07-12
ORD00007,C0049,call center,125.96,0,2026-07-14
ORD00130,C0119,store,91.31,0,2026-07-16
ORD00203,C0003,app,193.74,0,2026-07-14
ORD00199,C0112,Phone,78.69,1,2026-07-16
ORD00206,C0074,Web,69.08,0,2026-07-16
ORD00097,C0092,APP,318.53,0,2026-07-06
ORD00189,C0086,retail,25.5,1,2026-07-17
ORD00114,C0012,RETAIL,198.26,0,2026-07-05
ORD00046,C0081,store,123.45,0,2026-07-20
ORD00126,C0070,App,125.85,0,2026-07-06
ORD00073,C0002,Phone,142.69,0,2026-07-01
ORD00178,C0070,call center,163.1,0,2026-07-17
ORD00179,C0083,call center,251.22,0,2026-07-15
ORD00067,C0101,WEB,90.25,0,2026-07-17
ORD00152,C0093,retail,125.3,0,2026-07-13
ORD00108,C0073,call center,95.95,0,2026-07-19
ORD00116,C0056,App,159.16,0,2026-07-14
ORD00088,C0117,Phone,282.27,0,2026-07-05
ORD00192,C0033,mobile app,119.44,0,2026-07-11
ORD00162,C0029,APP,132.15,0,2026-07-19
ORD00058,C0081,App,113.84,0,2026-07-04
ORD00122,C0034,APP,56.17,0,2026-07-11
ORD00194,C0098,web,81.08,0,2026-07-05
ORD00202,C0118,webb,58.82,0,2026-07-22
ORD00118,C0069,App,90.71,0,2026-07-06
ORD00161,C0051,Retail,28.83,0,2026-07-23
ORD00183,C0001,web,187.91,0,2026-07-15
ORD00142,C0028,store,111.72,0,2026-07-17
ORD00137,C0008,retail,192.15,0,2026-07-04
ORD00155,C0086,WEB,45.89,0,2026-07-08
ORD00102,C0063,Web,193.16,0,2026-07-09
ORD00042,C0046,retail,205.62,0,2026-07-06
ORD00186,C0085,RETAIL,52.09,0,2026-07-08
ORD00159,C0113,RETAIL,285.99,0,2026-07-16
ORD00018,C0116,phone,201.97,0,2026-07-08
ORD00090,C0034,APP,304.2,0,2026-07-20
ORD00180,C0117,web,167.88,0,2026-07-09
ORD00176,C0055,Web,137.56,0,2026-07-11
ORD00085,C0094,APP,294.39,0,2026-07-14
ORD00009,C0066,APP,125.09,0,2026-07-16
ORD00070,C0098,APP,271.22,0,2026-07-18
ORD00053,C0102,store,220.59,0,2026-07-19
ORD00139,C0003,App,224.94,0,2026-07-06
ORD00096,C0048,WEB,152.47,0,2026-07-20
ORD00001,C0065,WEB,133.27,0,2026-07-11
ORD00156,C0005,RETAIL,275.11,0,2026-07-05
ORD00092,C0102,APP,304.58,0,2026-07-03
ORD00170,C0081,retail,227.67,0,2026-07-25
ORD00076,C0041,PHONE,143.44,0,2026-07-05
ORD00082,C0115,mobile app,97.68,0,2026-07-05
ORD00215,C0088,call center,127.52,1,2026-07-03
ORD00196,C0039,Web,132.5,0,2026-07-07
ORD00029,C0109,web,205.71,0,2026-07-07
ORD00109,C0021,web,155.95,0,2026-07-03
ORD00149,C0012,APP,241.74,0,2026-07-06
ORD00105,C0070,Phone,130.45,0,2026-07-20
ORD00005,C0018,phone,81.34,0,2026-07-10
ORD00170,C0081,retail,207.15,0,2026-07-20
ORD00171,C0003,store,77.32,0,2026-07-20
ORD00079,C0096,retail,49.43,0,2026-07-14
ORD00207,C0074,retail,30.76,0,2026-07-06
ORD00113,C0033,app,99.87,0,2026-07-13
ORD00160,C0065,WEB,181.29,0,2026-07-20
ORD00055,C0111,PHONE,137.61,0,2026-07-09
ORD00169,C0045,mobile app,235.8,0,2026-07-11
ORD00115,C0091,web,108.64,0,2026-07-08
ORD00165,C0034,RETAIL,81.31,0,2026-07-06
ORD00174,C0119,Web,53.86,0,2026-07-07
ORD00023,C0102,Web,257.12,0,2026-07-16
ORD00066,C0061,Retail,102.19,0,2026-07-08
ORD00161,C0051,Retail,31.92,0,2026-07-18
ORD00106,C0092,Phone,62.48,0,2026-07-14
ORD00052,C0069,PHONE,184.95,0,2026-07-16
ORD00040,C0074,Phone,144.82,0,2026-07-15
ORD00132,C0098,web,143.65,0,2026-07-01
ORD00127,C0040,RETAIL,229.79,0,2026-07-20
ORD00117,C0001,Web,125.4,0,2026-07-21
ORD00146,C0003,web,88.44,0,2026-07-20
ORD00228,C0085,mobile app,71.36,0,2026-07-14
ORD00024,C0003,retail,193.99,0,2026-07-13
ORD00014,C0110,PHONE,56.83,0,2026-07-18
ORD00062,C0083,Phone,117.27,0,2026-07-11
ORD00035,C0103,web,204.96,0,2026-07-05
ORD00043,C0076,APP,121.3,0,2026-07-19
ORD00065,C0092,web,187.01,0,2026-07-11
ORD00190,C0020,retail,198.91,0,2026-07-17
ORD00045,C0011,webb,135.73,0,2026-07-11
ORD00224,C0028,WEB,79.38,0,2026-07-08
ORD00187,C0050,app,93.74,0,2026-07-14
ORD00047,C0014,Web,169.66,0,2026-07-14
ORD00033,C0031,mobile app,178.46,0,2026-07-04
ORD00059,C0060,Web,197.47,0,2026-07-08
ORD00099,C0117,store,130.01,0,2026-07-04
ORD00214,C0027,Retail,122.07,0,2026-07-19
ORD00074,C0047,call center,186.22,0,2026-07-05
ORD00227,C0012,Retail,104.57,0,2026-07-17
ORD00119,C0087,app,86.54,0,2026-07-06
ORD00089,C0048,WEB,195.25,0,2026-07-16
ORD00107,C0046,mobile app,89.49,0,2026-07-12
ORD00025,C0025,App,134.34,0,2026-07-14
ORD00145,C0053,app,39.66,0,2026-07-20
ORD00012,C0107,RETAIL,283.3,0,2026-07-16
ORD00021,C0049,mobile app,102.07,0,2026-07-03
ORD00104,C0082,WEB,132.11,0,2026-07-07
ORD00135,C0045,RETAIL,158.04,0,2026-07-15
ORD00207,C0074,retail,30.89,0,2026-07-01
ORD00204,C0038,mobile app,85.1,0,2026-07-10
ORD00198,C0065,Phone,98.63,0,2026-07-14
ORD00163,C0032,APP,290.89,0,2026-07-04
ORD00197,C0031,app,217.38,0,2026-07-04
ORD00036,C0090,call center,150.25,0,2026-07-13
ORD00015,C0016,WEB,127.06,0,2026-07-07
ORD00117,C0001,Web,119.46,0,2026-07-16
ORD00020,C0084,Retail,165.01,0,2026-07-02
ORD00072,C0077,APP,188.72,1,2026-07-20
ORD00216,C0042,retail,202.13,0,2026-07-05
ORD00202,C0118,webb,55.56,0,2026-07-17
ORD00211,C0030,web,197.31,0,2026-07-02
ORD00110,C0056,RETAIL,126.57,1,2026-07-06
ORD00221,C0113,retail,115.22,0,2026-07-04
ORD00229,C0096,mobile app,116.3,0,2026-07-14
ORD00091,C0097,Retail,48.51,0,2026-07-03
ORD00026,C0015,Web,209.89,0,2026-07-13
ORD00225,C0019,store,63.21,0,2026-07-02
ORD00123,C0066,mobile app,80.02,0,2026-07-04
ORD00205,C0019,Web,143.51,0,2026-07-16
ORD00179,C0083,call center,221.31,0,2026-07-10
ORD00008,C0008,retail,130.94,0,2026-07-09
ORD00208,C0053,PHONE,58.68,0,2026-07-03
ORD00060,C0058,webb,242.66,0,2026-07-14
ORD00049,C0045,phone,177.66,0,2026-07-15
ORD00050,C0031,Web,85.58,0,2026-07-08
ORD00083,C0111,webb,110.31,0,2026-07-12
ORD00027,C0027,webb,124.13,0,2026-07-03
ORD00056,C0018,call center,190.27,0,2026-07-14
ORD00141,C0092,Retail,311.29,0,2026-07-18
ORD00121,C0034,web,186.44,0,2026-07-18
ORD00182,C0041,call center,248.92,0,2026-07-20
ORD00044,C0084,RETAIL,68.06,0,2026-07-08
ORD00002,C0013,phone,100.38,0,2026-07-15
ORD00222,C0110,webb,222.79,0,2026-07-10
ORD00133,C0105,phone,59.87,0,2026-07-19
ORD00061,C0052,Phone,160.52,0,2026-07-07
ORD00032,C0029,phone,132.89,0,2026-07-12
ORD00177,C0107,RETAIL,45.64,0,2026-07-01
ORD00158,C0098,mobile app,106.8,0,2026-07-11
ORD00030,C0026,APP,22.78,0,2026-07-01
ORD00185,C0113,call center,84.58,0,2026-07-08
ORD00160,C0065,WEB,161.93,0,2026-07-25
ORD00223,C0061,Retail,53.31,0,2026-07-15
ORD00166,C0027,App,180.44,0,2026-07-04
ORD00219,C0047,retail,49.33,0,2026-07-08
ORD00006,C0015,mobile app,95.2,0,2026-07-05
ORD00063,C0051,app,117.19,0,2026-07-11
ORD00131,C0036,PHONE,87.55,0,2026-07-07
ORD00226,C0106,app,97.23,0,2026-07-02
ORD00010,C0103,Retail,170.37,0,2026-07-18
ORD00184,C0050,retail,156.72,0,2026-07-08
ORD00041,C0097,web,77.77,0,2026-07-09
ORD00017,C0110,PHONE,125.91,0,2026-07-01
ORD00129,C0107,WEB,48.56,0,2026-07-08
ORD00007,C0049,call center,124.2,0,2026-07-09
ORD00172,C0095,WEB,302.74,0,2026-07-13
ORD00212,C0068,WEB,64.55,1,2026-07-10
ORD00039,C0105,APP,130.8,1,2026-07-05
ORD00068,C0070,Web,176.92,0,2026-07-10
ORD00031,C0070,webb,214.77,0,2026-07-06
ORD00022,C0042,App,112.32,0,2026-07-01
ORD00173,C0093,Retail,75.0,0,2026-07-15
ORD00031,C0070,webb,239.03,0,2026-07-11
ORD00057,C0069,webb,134.55,0,2026-07-10
ORD00150,C0036,App,117.03,0,2026-07-04
ORD00134,C0002,APP,135.27,0,2026-07-13
ORD00143,C0060,app,223.93,0,2026-07-14
ORD00204,C0038,mobile app,80.96,0,2026-07-15
ORD00111,C0068,Web,62.82,0,2026-07-18
