participant_id,site,tenure_months,arm,engagement_score
P0242,Riverside,29,control,55.76
P0243,Oakdale,46,control,74.72
P0244,Fairview,31,coaching,64.71
P0245,Fairview,26,coaching,73.14
P0246,Oakdale,8,control,72.66
P0247,Fairview,47,coaching,85.41
P0248,Lakeshore,43,control,81.51
P0249,Riverside,36,control,59.81
P0250,Lakeshore,36,control,65.08
P0251,Oakdale,22,control,71.54
P0252,Lakeshore,47,coaching,70.67
P0253,Oakdale,38,coaching,73.88
P0254,Riverside,55,control,60.95
P0255,Riverside,21,control,67.16
P0256,Oakdale,43,control,61.43
P0257,Fairview,32,control,68.48
P0258,Lakeshore,47,coaching,65.41
P0259,Riverside,42,control,82.32
P0260,Riverside,8,coaching,82.64
P0261,Riverside,2,control,72.67
P0262,Oakdale,53,control,61.47
P0263,Oakdale,23,coaching,68.06
P0264,Riverside,13,control,63.1
P0265,Riverside,54,control,71.98
P0266,Fairview,47,control,66.0
P0267,Fairview,51,control,65.64
P0268,Fairview,33,control,70.59
P0269,Riverside,23,coaching,77.72
P0270,Fairview,13,coaching,70.08
P0271,Fairview,33,control,60.3
P0272,Oakdale,11,coaching,80.69
P0273,Lakeshore,19,coaching,67.72
P0274,Lakeshore,42,control,61.88
P0275,Lakeshore,43,coaching,63.03
P0276,Fairview,15,control,64.52
P0277,Oakdale,18,coaching,80.59
P0278,Riverside,47,control,67.65
P0279,Riverside,36,control,67.65
P0280,Riverside,1,control,72.39
P0281,Oakdale,39,coaching,66.87
P0282,Oakdale,48,control,66.38
P0283,Lakeshore,49,control,70.8
P0284,Lakeshore,23,control,70.23
P0285,Fairview,36,control,58.6
P0286,Lakeshore,59,control,71.84
P0287,Oakdale,18,coaching,65.49
P0288,Fairview,33,control,83.97
P0289,Riverside,49,control,57.5
P0290,Fairview,1,coaching,68.48
P0291,Fairview,21,control,61.48
P0292,Oakdale,17,coaching,77.5
P0293,Lakeshore,9,coaching,82.95
P0294,Fairview,4,control,55.39
P0295,Fairview,55,control,75.62
P0296,Fairview,21,control,57.08
P0297,Lakeshore,39,coaching,59.87
P0298,Fairview,25,control,75.36
P0299,Fairview,1,coaching,77.99
P0300,Oakdale,3,control,56.26
P0301,Lakeshore,48,coaching,83.02
P0302,Oakdale,32,coaching,85.74
P0303,Fairview,53,coaching,56.74
P0304,Oakdale,6,control,55.99
P0305,Oakdale,37,coaching,85.27
P0306,Riverside,47,coaching,87.54
P0307,Oakdale,51,control,75.97
P0308,Riverside,40,coaching,69.07
P0309,Oakdale,46,coaching,70.4
P0310,Oakdale,9,control,76.51
P0311,Lakeshore,31,control,75.12
P0312,Riverside,27,coaching,64.2
P0313,Riverside,36,coaching,71.03
P0314,Lakeshore,19,control,67.28
P0315,Oakdale,19,coaching,72.83
P0316,Fairview,34,coaching,72.56
P0317,Lakeshore,22,control,71.05
P0318,Riverside,6,control,70.52
P0319,Fairview,59,control,83.15
P0320,Riverside,39,control,69.81
P0321,Lakeshore,19,control,74.01
P0322,Oakdale,33,coaching,70.57
P0323,Oakdale,38,coaching,87.53
P0324,Riverside,3,control,60.92
P0325,Lakeshore,50,coaching,66.82
P0326,Lakeshore,5,control,79.11
P0327,Riverside,38,control,63.87
P0328,Oakdale,7,coaching,74.96
P0329,Oakdale,48,control,70.53
P0330,Fairview,57,control,65.34
P0331,Fairview,49,control,66.84
P0332,Riverside,40,control,66.19
P0333,Oakdale,25,control,67.53
P0334,Oakdale,34,control,67.24
P0335,Lakeshore,51,coaching,79.02
P0336,Riverside,6,control,74.31
P0337,Lakeshore,45,coaching,68.59
P0338,Oakdale,4,control,71.39
P0339,Oakdale,29,control,71.43
P0340,Oakdale,36,coaching,70.39
P0341,Oakdale,42,coaching,75.77
P0342,Lakeshore,15,control,66.57
P0343,Riverside,42,coaching,75.07
P0344,Riverside,38,control,75.06
P0345,Oakdale,50,control,59.78
P0346,Oakdale,53,coaching,81.51
P0347,Riverside,4,control,73.39
P0348,Riverside,55,coaching,80.74
P0349,Riverside,59,control,72.55
P0350,Fairview,51,control,78.93
P0351,Lakeshore,36,coaching,71.64
P0352,Riverside,47,control,76.16
P0353,Lakeshore,35,coaching,78.98
P0354,Lakeshore,12,coaching,78.52
P0355,Oakdale,5,control,49.05
P0356,Riverside,47,coaching,57.91
P0357,Lakeshore,39,coaching,82.83
P0358,Fairview,15,coaching,74.75
P0359,Lakeshore,27,control,71.02
P0360,Fairview,53,control,55.33
P0361,Fairview,54,coaching,92.66
P0362,Fairview,41,control,75.53
P0363,Fairview,27,coaching,65.84
P0364,Riverside,25,coaching,78.67
P0365,Fairview,20,coaching,79.16
P0366,Riverside,10,coaching,76.79
P0367,Oakdale,55,control,65.85
P0368,Riverside,29,coaching,75.64
P0369,Fairview,22,coaching,61.36
P0370,Lakeshore,20,control,78.0
P0371,Lakeshore,47,control,63.91
P0372,Oakdale,45,coaching,68.92
P0373,Fairview,35,coaching,81.87
P0374,Fairview,3,coaching,78.19
P0375,Oakdale,39,control,56.31
P0376,Fairview,26,control,71.95
P0377,Riverside,25,coaching,67.27
P0378,Oakdale,26,coaching,63.14
P0379,Fairview,36,coaching,71.46
P0380,Lakeshore,3,coaching,67.56
P0381,Lakeshore,47,control,66.17
P0382,Riverside,16,control,70.47
P0383,Fairview,17,coaching,74.13
P0384,Lakeshore,16,coaching,66.58
P0385,Fairview,39,control,62.57
P0386,Oakdale,43,coaching,68.57
P0387,Fairview,16,control,88.42
P0388,Lakeshore,57,control,71.7
P0389,Oakdale,59,coaching,93.7
P0390,Fairview,54,control,75.2
P0391,Fairview,10,coaching,74.43
P0392,Lakeshore,18,control,76.17
P0393,Lakeshore,22,control,64.21
P0394,Fairview,39,control,78.81
P0395,Lakeshore,5,coaching,63.45
P0396,Fairview,47,coaching,75.84
P0397,Riverside,5,coaching,68.17
P0398,Lakeshore,51,control,57.46
P0399,Fairview,41,coaching,61.58
P0400,Oakdale,53,coaching,74.66
P0401,Oakdale,38,coaching,88.15
P0402,Riverside,54,control,67.16
P0403,Lakeshore,6,control,63.5
P0404,Lakeshore,5,coaching,74.68
P0405,Oakdale,13,control,60.97
P0406,Fairview,19,control,83.4
P0407,Riverside,58,coaching,92.58
P0408,Oakdale,16,coaching,74.44
P0409,Oakdale,35,coaching,77.26
P0410,Lakeshore,41,coaching,64.35
P0411,Lakeshore,17,control,68.34
P0412,Lakeshore,16,coaching,77.44
P0413,Lakeshore,31,control,70.48
P0414,Oakdale,12,control,75.16
P0415,Oakdale,17,coaching,68.64
P0416,Oakdale,1,control,68.59
P0417,Lakeshore,27,control,68.68
P0418,Riverside,15,control,75.41
P0419,Oakdale,49,coaching,89.28
P0420,Riverside,10,control,67.84
P0421,Fairview,16,coaching,71.94
P0422,Riverside,58,coaching,77.6
P0423,Fairview,3,coaching,66.65
P0424,Lakeshore,53,coaching,81.84
P0425,Oakdale,58,coaching,79.82
P0426,Riverside,24,control,61.27
P0427,Lakeshore,53,coaching,75.91
P0428,Riverside,51,coaching,76.42
P0429,Lakeshore,52,coaching,75.67
P0430,Riverside,19,coaching,73.77
P0431,Riverside,55,coaching,81.89
P0432,Fairview,16,control,67.4
P0433,Oakdale,18,coaching,75.63
P0434,Fairview,41,control,67.55
P0435,Riverside,5,control,64.16
P0436,Riverside,52,control,64.45
P0437,Riverside,33,coaching,71.68
P0438,Lakeshore,47,control,74.91
P0439,Fairview,45,coaching,65.01
P0440,Riverside,33,control,74.49
P0441,Lakeshore,24,coaching,75.9
P0442,Fairview,14,control,62.75
P0443,Oakdale,59,control,80.09
P0444,Fairview,17,control,66.97
P0445,Lakeshore,16,control,48.03
P0446,Oakdale,54,coaching,79.29
P0447,Riverside,38,coaching,67.8
P0448,Lakeshore,16,coaching,73.11
P0449,Oakdale,52,control,77.6
P0450,Lakeshore,11,coaching,72.98
P0451,Lakeshore,21,coaching,87.34
P0452,Lakeshore,26,coaching,68.0
P0453,Lakeshore,18,control,82.05
P0454,Lakeshore,14,coaching,78.83
P0455,Lakeshore,15,coaching,69.73
P0456,Lakeshore,55,coaching,79.38
P0457,Lakeshore,57,control,82.04
P0458,Lakeshore,27,control,79.72
P0459,Lakeshore,27,coaching,72.03
P0460,Lakeshore,13,coaching,65.88
P0461,Riverside,43,control,68.47
P0462,Riverside,55,coaching,76.26
P0463,Riverside,33,control,73.01
P0464,Fairview,15,coaching,72.08
P0465,Lakeshore,44,coaching,72.39
P0466,Lakeshore,32,control,71.36
P0467,Riverside,37,control,77.86
P0468,Lakeshore,44,control,76.18
P0469,Lakeshore,48,control,62.14
P0470,Oakdale,1,control,72.25
P0471,Oakdale,49,coaching,74.68
P0472,Lakeshore,21,coaching,79.97
P0473,Oakdale,44,coaching,77.47
P0474,Fairview,20,coaching,84.06
P0475,Fairview,34,control,65.17
P0476,Oakdale,37,control,67.1
P0477,Lakeshore,31,coaching,64.57
P0478,Oakdale,21,coaching,79.13
P0479,Fairview,32,control,74.9
P0480,Oakdale,17,coaching,70.56
P0481,Fairview,21,coaching,85.03
P0482,Lakeshore,20,coaching,71.07
P0483,Lakeshore,46,control,68.7
P0484,Riverside,53,control,66.08
P0485,Lakeshore,22,coaching,83.11
P0486,Oakdale,9,coaching,70.34
P0487,Riverside,15,coaching,66.02
P0488,Lakeshore,4,coaching,65.51
P0489,Fairview,20,coaching,75.69
P0490,Lakeshore,56,control,60.48
P0491,Fairview,52,coaching,77.29
P0492,Oakdale,57,coaching,80.34
P0493,Riverside,9,coaching,68.23
P0494,Fairview,59,control,77.04
P0495,Fairview,30,coaching,84.48
P0496,Oakdale,20,coaching,79.94
P0497,Fairview,56,coaching,75.57
P0498,Oakdale,1,coaching,80.64
P0499,Oakdale,50,control,72.51
P0500,Fairview,38,control,76.0
P0501,Fairview,45,control,77.07
P0502,Riverside,27,coaching,70.54
P0503,Riverside,46,control,72.52
P0504,Fairview,36,control,63.6
P0505,Lakeshore,52,control,60.99
P0506,Fairview,46,coaching,77.43
P0507,Oakdale,59,control,78.12
P0508,Fairview,7,control,71.35
P0509,Lakeshore,8,control,63.47
P0510,Fairview,35,coaching,61.6
P0511,Lakeshore,22,coaching,63.13
P0512,Lakeshore,54,control,73.82
P0513,Riverside,10,coaching,78.28
P0514,Oakdale,15,control,69.5
P0515,Fairview,21,control,67.03
P0516,Fairview,48,control,71.57
P0517,Lakeshore,26,coaching,56.21
P0518,Riverside,48,control,80.01
P0519,Fairview,46,control,67.22
P0520,Riverside,9,coaching,68.82
P0521,Lakeshore,13,coaching,71.24
P0522,Fairview,54,control,67.57
P0523,Oakdale,9,coaching,76.26
P0524,Riverside,49,control,70.43
P0525,Fairview,2,coaching,78.43
P0526,Lakeshore,37,coaching,69.72
P0527,Oakdale,49,control,72.44
P0528,Oakdale,33,coaching,78.2
P0529,Fairview,55,coaching,67.75
P0530,Oakdale,47,coaching,72.85
P0531,Lakeshore,51,control,71.22
P0532,Riverside,48,control,77.66
P0533,Lakeshore,1,control,59.3
P0534,Oakdale,27,control,73.61
P0535,Riverside,3,control,83.71
P0536,Lakeshore,50,control,80.46
P0537,Riverside,3,control,63.43
P0538,Lakeshore,20,coaching,62.83
P0539,Oakdale,54,control,79.83
P0540,Fairview,31,control,71.96
P0541,Lakeshore,30,control,73.42
P0542,Lakeshore,18,coaching,83.91
P0543,Lakeshore,4,coaching,63.59
P0544,Lakeshore,58,coaching,64.01
P0545,Riverside,40,control,58.95
P0546,Oakdale,9,control,64.0
P0547,Fairview,20,coaching,85.93
P0548,Fairview,32,control,61.68
P0549,Oakdale,11,coaching,74.62
P0550,Lakeshore,20,control,72.27
P0551,Fairview,47,coaching,75.97
P0552,Riverside,21,control,68.22
P0553,Lakeshore,40,control,62.52
P0554,Riverside,9,control,65.66
P0555,Oakdale,12,coaching,70.66
P0556,Riverside,3,coaching,64.08
P0557,Fairview,28,control,63.62
P0558,Fairview,18,coaching,70.3
P0559,Oakdale,41,coaching,79.33
P0560,Fairview,27,control,74.99
P0561,Oakdale,36,coaching,65.32
P0562,Lakeshore,13,control,70.67
P0563,Lakeshore,22,coaching,67.03
P0564,Lakeshore,8,control,75.46
P0565,Fairview,21,control,77.86
P0566,Lakeshore,4,control,74.12
P0567,Riverside,36,control,62.06
P0568,Lakeshore,39,control,63.01
P0569,Oakdale,19,control,62.74
P0570,Oakdale,44,coaching,86.95
P0571,Fairview,9,control,75.61
P0572,Oakdale,52,control,68.53
P0573,Oakdale,20,control,74.86
P0574,Riverside,47,coaching,67.66
P0575,Riverside,46,coaching,80.53
P0576,Oakdale,19,control,74.2
P0577,Oakdale,46,coaching,79.39
P0578,Lakeshore,35,control,65.28
P0579,Fairview,50,coaching,74.59
P0580,Lakeshore,23,coaching,85.66
P0581,Riverside,39,coaching,73.1
P0582,Fairview,40,control,62.35
P0583,Oakdale,9,coaching,72.32
P0584,Riverside,39,control,79.08
P0585,Riverside,56,coaching,72.49
P0586,Fairview,32,coaching,81.05
P0587,Oakdale,52,control,63.87
P0588,Riverside,12,coaching,70.27
P0589,Riverside,33,coaching,61.7
P0590,Lakeshore,1,control,71.07
P0591,Oakdale,39,control,58.85
P0592,Fairview,25,control,66.1
P0593,Lakeshore,14,coaching,73.36
P0594,Oakdale,20,control,62.5
P0595,Oakdale,40,coaching,71.26
P0596,Oakdale,25,control,79.39
P0597,Oakdale,27,coaching,71.13
P0598,Oakdale,12,control,57.19
P0599,Lakeshore,38,coaching,75.53
P0600,Riverside,42,control,64.64
