worker_id,education,wage
154,highschool,58.9
155,highschool,50.7
156,graduate,88.7
157,highschool,44.0
158,highschool,70.3
159,highschool,49.0
160,highschool,41.3
161,highschool,33.1
162,graduate,
163,college,56.4
164,graduate,86.1
165,highschool,35.6
166,college,51.3
167,highschool,41.9
168,college,69.7
169,college,69.0
170,college,71.1
171,highschool,61.2
172,college,57.3
173,graduate,
174,college,72.1
175,graduate,87.4
176,graduate,
177,highschool,47.2
178,college,78.1
179,college,56.0
180,college,70.3
181,highschool,62.1
182,highschool,68.0
183,highschool,56.0
184,graduate,95.5
185,college,62.3
186,college,66.8
187,graduate,81.6
188,college,76.7
189,college,49.9
190,highschool,32.7
191,highschool,47.6
192,college,82.2
193,college,46.5
194,highschool,42.7
195,highschool,43.3
196,highschool,31.9
197,highschool,50.8
198,college,84.4
199,college,52.3
200,highschool,61.4
201,college,51.2
202,highschool,63.9
203,college,51.7
204,college,66.5
205,highschool,55.7
206,highschool,39.1
207,college,48.6
208,highschool,46.5
209,highschool,55.5
210,college,73.2
211,college,43.5
212,college,75.2
213,highschool,51.9
214,college,78.0
215,college,61.3
216,highschool,54.4
217,college,73.2
218,college,90.3
219,college,57.6
220,college,65.1
221,highschool,63.8
222,college,65.3
223,highschool,39.0
224,highschool,50.6
225,college,62.7
226,graduate,
227,college,66.7
228,college,70.1
229,college,88.6
230,college,67.9
231,college,95.0
232,college,77.5
233,highschool,42.6
234,college,55.9
235,highschool,41.3
236,graduate,
237,graduate,89.4
238,college,53.8
239,highschool,49.5
240,highschool,69.9
241,college,82.8
242,college,50.2
243,college,76.6
244,highschool,40.1
245,highschool,30.1
246,college,89.0
247,graduate,
248,highschool,51.9
249,graduate,
250,college,64.0
251,highschool,59.6
252,college,62.8
253,highschool,51.6
254,highschool,27.8
255,college,64.8
256,college,52.2
257,college,71.6
258,highschool,42.4
259,college,92.3
260,highschool,56.3
261,graduate,93.3
262,highschool,48.5
263,college,60.2
264,college,95.9
265,college,49.8
266,college,63.0
267,college,80.7
268,highschool,79.3
269,highschool,43.4
270,highschool,45.1
271,graduate,
272,college,45.2
273,college,74.2
274,highschool,54.3
275,college,80.0
276,highschool,37.9
277,college,74.1
278,highschool,34.4
279,graduate,
280,graduate,61.9
281,graduate,74.3
282,college,76.7
283,college,58.8
284,college,61.6
285,highschool,57.7
286,highschool,45.1
287,college,97.2
288,highschool,47.2
289,college,59.2
290,college,63.1
291,graduate,83.3
292,graduate,
293,highschool,43.5
294,college,49.6
295,graduate,
296,graduate,91.4
297,highschool,47.7
298,college,69.9
299,highschool,44.8
300,highschool,52.1
301,graduate,82.3
302,highschool,54.1
303,college,53.3
304,college,66.4
305,graduate,90.5
306,highschool,50.6
307,highschool,54.3
308,college,56.5
309,college,91.4
310,college,60.1
311,highschool,47.1
312,college,71.0
313,college,63.8
314,highschool,58.3
315,college,80.6
316,highschool,41.0
317,highschool,41.7
318,college,52.6
319,highschool,42.6
320,college,63.4
321,highschool,45.3
322,highschool,47.1
323,highschool,39.2
324,college,60.0
325,graduate,95.5
326,college,62.7
327,graduate,
328,highschool,49.1
329,college,67.4
330,graduate,91.7
331,graduate,
332,college,82.9
333,college,64.0
334,college,70.1
335,highschool,54.2
336,college,72.1
337,highschool,37.6
338,highschool,55.4
339,highschool,33.1
340,college,80.7
341,college,72.4
342,graduate,
343,highschool,52.7
344,graduate,
345,graduate,51.1
346,college,72.2
347,highschool,40.2
348,highschool,32.5
349,highschool,36.4
350,college,79.7
351,college,85.3
352,college,74.5
353,highschool,47.9
354,college,49.4
355,college,68.0
356,graduate,95.4
357,college,71.2
358,graduate,95.2
359,graduate,
360,highschool,42.1
361,college,61.8
362,highschool,55.6
363,college,80.8
364,graduate,90.5
365,highschool,33.4
366,college,87.0
367,graduate,80.2
368,graduate,
369,graduate,93.6
370,college,63.1
371,college,51.2
372,highschool,42.3
373,highschool,31.5
374,graduate,
375,college,71.3
376,highschool,46.5
377,college,66.8
378,graduate,68.6
379,college,53.6
380,graduate,
381,graduate,
382,highschool,40.9
383,graduate,57.6
384,highschool,46.3
385,college,93.8
386,college,56.3
387,college,53.0
388,college,47.8
389,graduate,
390,college,51.7
391,highschool,66.8
392,graduate,81.4
393,highschool,54.4
394,highschool,35.1
395,college,65.4
396,graduate,
397,graduate,68.2
398,college,88.6
399,graduate,71.9
400,highschool,53.0
401,college,73.4
402,graduate,
403,highschool,31.5
404,highschool,60.6
405,college,75.6
406,graduate,
407,graduate,88.7
408,college,67.1
409,graduate,94.9
410,graduate,90.1
411,highschool,43.5
412,college,75.3
413,graduate,59.9
414,college,53.5
415,highschool,44.6
416,college,76.1
417,highschool,45.8
418,highschool,44.6
419,college,79.5
420,college,74.6
421,highschool,51.9
422,highschool,55.3
423,highschool,51.4
424,college,74.9
425,graduate,
426,college,78.6
427,highschool,30.4
428,highschool,47.5
429,graduate,91.1
430,college,52.6
431,college,82.6
432,highschool,59.0
433,college,79.4
434,graduate,93.9
435,college,60.1
436,highschool,56.6
437,graduate,74.7
438,college,58.2
439,college,46.5
440,graduate,67.1
441,college,81.4
442,college,62.6
443,highschool,28.8
444,graduate,82.6
445,graduate,79.8
446,highschool,46.5
447,highschool,47.8
448,highschool,47.4
449,highschool,41.7
450,graduate,
451,highschool,52.3
452,highschool,45.9
453,graduate,92.9
454,highschool,48.1
455,graduate,
456,college,75.3
457,highschool,62.4
458,college,66.5
459,highschool,39.9
460,highschool,34.3
461,highschool,50.9
462,graduate,73.6
463,highschool,63.8
464,college,53.7
465,highschool,43.1
466,highschool,39.7
467,graduate,86.6
468,highschool,40.2
469,college,70.6
470,college,71.4
471,graduate,72.0
472,college,53.2
473,college,69.7
474,highschool,49.8
475,college,43.4
476,highschool,59.3
477,highschool,52.4
478,highschool,41.8
479,college,61.2
480,college,65.1
481,graduate,94.2
482,college,44.1
483,highschool,38.1
484,highschool,51.3
485,college,66.7
486,highschool,42.6
487,college,84.4
488,college,64.4
489,college,78.2
490,college,72.1
491,highschool,44.3
492,highschool,50.6
493,graduate,79.6
494,highschool,59.7
495,college,72.0
496,college,65.0
497,college,84.7
498,highschool,47.7
499,graduate,86.3
