store_id,week,units_sold
S028,2,834
S028,3,848
S028,4,799
S028,5,869
S028,6,1036
S028,7,1070
S028,8,1005
S028,9,1035
S028,10,1028
S029,1,704
S029,2,759
S029,3,725
S029,4,709
S029,5,759
S029,6,741
S029,7,749
S029,8,700
S029,9,770
S029,10,788
S030,1,935
S030,2,934
S030,3,940
S030,4,932
S030,5,916
S030,6,1124
S030,7,1126
S030,8,1036
S030,9,1058
S030,10,1041
S031,1,832
S031,2,853
S031,3,778
S031,4,819
S031,5,823
S031,6,792
S031,7,816
S031,8,821
S031,9,785
S031,10,839
S032,1,787
S032,2,780
S032,3,778
S032,4,712
S032,5,756
S032,6,898
S032,7,860
S032,8,960
S032,9,873
S032,10,890
S033,1,855
S033,2,847
S033,3,830
S033,4,831
S033,5,862
S033,6,784
S033,7,866
S033,8,821
S033,9,858
S033,10,806
S034,1,811
S034,2,814
S034,3,823
S034,4,766
S034,5,818
S034,6,956
S034,7,929
S034,8,932
S034,9,988
S034,10,949
S035,1,827
S035,2,826
S035,3,828
S035,4,844
S035,5,782
S035,6,795
S035,7,790
S035,8,798
S035,9,795
S035,10,826
S036,1,850
S036,2,831
S036,3,870
S036,4,846
S036,5,824
S036,6,1025
S036,7,1007
S036,8,1002
S036,9,945
S036,10,983
S037,1,765
S037,2,763
S037,3,777
S037,4,767
S037,5,817
S037,6,747
S037,7,774
S037,8,732
S037,9,772
S037,10,824
S038,1,719
S038,2,720
S038,3,736
S038,4,682
S038,5,716
S038,6,870
S038,7,888
S038,8,849
S038,9,846
S038,10,866
S039,1,695
S039,2,719
S039,3,671
S039,4,710
S039,5,692
S039,6,675
S039,7,688
S039,8,680
S039,9,683
S039,10,678
