tx_id,month,amount,type
T00214,2025-02,335.11,sale
T00215,2025-03,-176.02,refund
T00216,2025-04,-224.46,refund
T00217,2025-07,-372.41,refund
T00218,2025-03,-179.94,refund
T00219,2025-06,151.75,sale
T00220,2025-12,131.07,sale
T00221,2025-09,-299.65,refund
T00222,2025-01,141.55,sale
T00223,2025-05,450.88,sale
T00224,2025-09,122.1,sale
T00225,2025-08,-593.0,refund
T00226,2025-04,251.18,sale
T00227,2025-05,-357.58,refund
T00228,2025-04,222.39,sale
T00229,2025-10,296.77,sale
T00230,2025-11,502.66,sale
T00231,2025-01,208.9,sale
T00232,2025-10,422.78,sale
T00233,2025-08,271.55,sale
T00234,2025-07,165.33,sale
T00235,2025-08,305.24,sale
T00236,2025-04,224.73,sale
T00237,2025-01,96.51,sale
T00238,2025-04,-176.53,refund
T00239,2025-10,513.12,sale
T00240,2025-10,341.68,sale
T00241,2025-08,-196.08,refund
T00242,2025-07,-87.94,refund
T00243,2025-12,695.07,sale
T00244,2025-09,260.1,sale
T00245,2025-03,-340.63,refund
T00246,2025-09,413.51,sale
T00247,2025-06,166.83,sale
T00248,2025-06,144.75,sale
T00249,2025-11,550.35,sale
T00250,2025-12,-85.63,refund
T00251,2025-12,300.45,sale
T00252,2025-05,-164.54,refund
T00253,2025-09,464.76,sale
T00254,2025-06,213.02,sale
T00255,2025-05,391.47,sale
T00256,2025-09,58.33,sale
T00257,2025-09,92.96,sale
T00258,2025-06,444.07,sale
T00259,2025-06,265.68,sale
T00260,2025-08,421.13,sale
T00261,2025-07,124.39,sale
T00262,2025-10,-305.87,refund
T00263,2025-09,54.18,sale
T00264,2025-01,-610.98,refund
T00265,2025-12,208.25,sale
T00266,2025-11,-451.03,refund
T00267,2025-01,302.95,sale
T00268,2025-05,271.51,sale
T00269,2025-09,-253.84,refund
T00270,2025-01,414.66,sale
T00271,2025-11,265.41,sale
T00272,2025-04,108.55,sale
T00273,2025-05,372.43,sale
T00274,2025-01,239.36,sale
T00275,2025-03,-134.48,refund
T00276,2025-01,227.43,sale
T00277,2025-07,259.54,sale
T00278,2025-12,483.4,sale
T00279,2025-01,336.59,sale
T00280,2025-08,147.56,sale
T00281,2025-10,266.49,sale
T00282,2025-10,68.02,sale
T00283,2025-06,270.4,sale
T00284,2025-03,149.6,sale
T00285,2025-08,228.05,sale
T00286,2025-05,53.73,sale
T00287,2025-10,-559.56,refund
T00288,2025-07,152.1,sale
T00289,2025-01,-102.5,refund
T00290,2025-10,536.6,sale
T00291,2025-03,482.23,sale
T00292,2025-07,509.54,sale
T00293,2025-06,533.58,sale
T00294,2025-02,241.13,sale
T00295,2025-08,-189.58,refund
T00296,2025-11,514.31,sale
T00297,2025-05,382.92,sale
T00298,2025-07,-291.16,refund
T00299,2025-04,100.25,sale
T00300,2025-05,-67.15,refund
T00301,2025-01,213.95,sale
T00302,2025-09,-125.36,refund
T00303,2025-06,436.49,sale
T00304,2025-06,110.24,sale
T00305,2025-12,424.56,sale
T00306,2025-05,396.38,sale
T00307,2025-01,198.64,sale
T00308,2025-09,-257.1,refund
T00309,2025-08,491.28,sale
T00310,2025-06,-584.64,refund
T00311,2025-03,147.64,sale
T00312,2025-09,1161.91,sale
T00313,2025-12,147.52,sale
T00314,2025-04,293.03,sale
T00315,2025-10,176.03,sale
T00316,2025-06,-165.26,refund
T00317,2025-03,241.73,sale
T00318,2025-04,91.54,sale
T00319,2025-12,248.62,sale
T00320,2025-02,206.15,sale
T00321,2025-04,346.72,sale
T00322,2025-02,447.87,sale
T00323,2025-09,334.5,sale
T00324,2025-05,304.55,sale
T00325,2025-04,289.23,sale
T00326,2025-02,438.39,sale
T00327,2025-04,145.96,sale
T00328,2025-04,225.14,sale
T00329,2025-01,-241.25,refund
T00330,2025-02,138.88,sale
T00331,2025-04,246.15,sale
T00332,2025-08,-226.64,refund
T00333,2025-05,213.58,sale
T00334,2025-10,243.94,sale
T00335,2025-01,313.57,sale
T00336,2025-04,440.06,sale
T00337,2025-01,415.99,sale
T00338,2025-02,62.98,sale
T00339,2025-01,66.09,sale
T00340,2025-08,-243.95,refund
T00341,2025-11,200.91,sale
T00342,2025-08,375.09,sale
T00343,2025-05,295.3,sale
T00344,2025-04,600.22,sale
T00345,2025-11,83.51,sale
T00346,2025-09,-205.83,refund
T00347,2025-06,325.36,sale
T00348,2025-10,81.66,sale
T00349,2025-07,225.6,sale
T00350,2025-02,325.35,sale
T00351,2025-05,144.06,sale
T00352,2025-11,456.05,sale
T00353,2025-10,112.44,sale
T00354,2025-02,131.07,sale
T00355,2025-05,202.59,sale
T00356,2025-11,-177.51,refund
T00357,2025-10,190.21,sale
T00358,2025-01,263.16,sale
T00359,2025-05,-215.8,refund
T00360,2025-02,200.12,sale
T00361,2025-02,215.46,sale
T00362,2025-03,139.44,sale
T00363,2025-06,483.05,sale
T00364,2025-05,359.24,sale
T00365,2025-01,225.38,sale
T00366,2025-08,106.85,sale
T00367,2025-05,288.81,sale
T00368,2025-05,82.85,sale
T00369,2025-05,284.03,sale
T00370,2025-03,362.87,sale
T00371,2025-09,342.73,sale
T00372,2025-07,103.14,sale
T00373,2025-12,367.16,sale
T00374,2025-12,188.7,sale
T00375,2025-02,252.26,sale
T00376,2025-03,418.38,sale
T00377,2025-08,123.46,sale
T00378,2025-06,-117.25,refund
T00379,2025-11,-119.55,refund
T00380,2025-08,257.9,sale
T00381,2025-09,-327.68,refund
T00382,2025-05,111.84,sale
T00383,2025-03,-282.72,refund
T00384,2025-04,175.23,sale
T00385,2025-06,-245.19,refund
T00386,2025-07,368.93,sale
T00387,2025-12,344.97,sale
T00388,2025-10,-100.33,refund
T00389,2025-07,315.66,sale
T00390,2025-09,232.4,sale
T00391,2025-09,108.57,sale
T00392,2025-02,145.74,sale
T00393,2025-04,378.49,sale
T00394,2025-09,297.33,sale
T00395,2025-10,-198.85,refund
T00396,2025-02,111.25,sale
T00397,2025-07,144.72,sale
T00398,2025-08,254.21,sale
T00399,2025-10,151.87,sale
T00400,2025-12,301.94,sale
T00401,2025-04,366.53,sale
T00402,2025-03,-174.8,refund
T00403,2025-03,415.15,sale
T00404,2025-12,119.37,sale
T00405,2025-03,244.56,sale
T00406,2025-04,117.9,sale
T00407,2025-08,223.94,sale
T00408,2025-05,-180.18,refund
T00409,2025-01,-436.0,refund
T00410,2025-02,281.46,sale
T00411,2025-05,669.15,sale
T00412,2025-11,105.04,sale
T00413,2025-08,264.69,sale
T00414,2025-03,-366.07,refund
T00415,2025-04,377.11,sale
T00416,2025-12,385.35,sale
T00417,2025-04,162.26,sale
T00418,2025-04,68.76,sale
T00419,2025-03,70.14,sale
T00420,2025-02,606.14,sale
T00421,2025-06,424.82,sale
T00422,2025-11,167.69,sale
T00423,2025-10,420.57,sale
T00424,2025-08,154.27,sale
T00425,2025-04,531.55,sale
T00426,2025-09,589.55,sale
T00427,2025-07,203.43,sale
T00428,2025-08,164.38,sale
T00429,2025-12,253.05,sale
T00430,2025-11,105.61,sale
T00431,2025-07,242.57,sale
T00432,2025-08,440.08,sale
T00433,2025-04,272.4,sale
T00434,2025-08,88.01,sale
T00435,2025-11,148.29,sale
T00436,2025-02,168.66,sale
T00437,2025-11,287.79,sale
T00438,2025-01,95.83,sale
T00439,2025-09,285.47,sale
T00440,2025-04,248.71,sale
T00441,2025-04,20.54,sale
T00442,2025-05,180.03,sale
T00443,2025-07,96.01,sale
T00444,2025-08,241.93,sale
T00445,2025-04,148.89,sale
T00446,2025-07,274.68,sale
T00447,2025-12,472.48,sale
T00448,2025-09,89.39,sale
T00449,2025-01,52.81,sale
T00450,2025-08,-479.95,refund
T00451,2025-11,232.65,sale
T00452,2025-08,112.85,sale
T00453,2025-04,-126.99,refund
T00454,2025-04,-336.87,refund
T00455,2025-02,491.32,sale
T00456,2025-08,317.19,sale
T00457,2025-11,231.2,sale
T00458,2025-06,-370.32,refund
T00459,2025-10,239.03,sale
T00460,2025-07,-112.59,refund
T00461,2025-01,273.72,sale
T00462,2025-01,103.35,sale
T00463,2025-04,-105.63,refund
T00464,2025-08,374.3,sale
T00465,2025-02,735.58,sale
T00466,2025-07,214.89,sale
T00467,2025-09,115.75,sale
T00468,2025-11,170.18,sale
T00469,2025-11,-193.18,refund
T00470,2025-03,-335.57,refund
T00471,2025-04,183.09,sale
T00472,2025-01,37.75,sale
T00473,2025-05,297.15,sale
T00474,2025-05,-249.89,refund
T00475,2025-01,29.08,sale
T00476,2025-11,153.79,sale
T00477,2025-02,125.97,sale
T00478,2025-06,363.75,sale
T00479,2025-01,116.48,sale
T00480,2025-01,159.26,sale
T00481,2025-09,323.52,sale
T00482,2025-04,-392.31,refund
T00483,2025-03,126.6,sale
T00484,2025-03,228.83,sale
T00485,2025-06,438.13,sale
T00486,2025-02,86.05,sale
T00487,2025-04,266.78,sale
T00488,2025-12,177.93,sale
T00489,2025-07,84.49,sale
T00490,2025-12,310.76,sale
T00491,2025-07,275.61,sale
T00492,2025-03,190.73,sale
T00493,2025-05,-313.65,refund
T00494,2025-09,177.77,sale
T00495,2025-04,-214.85,refund
T00496,2025-02,462.71,sale
T00497,2025-11,143.74,sale
T00498,2025-01,163.66,sale
T00499,2025-12,155.67,sale
T00500,2025-11,214.46,sale
T00501,2025-06,136.74,sale
T00502,2025-01,243.49,sale
T00503,2025-05,275.06,sale
T00504,2025-03,278.01,sale
T00505,2025-07,220.05,sale
T00506,2025-05,289.5,sale
T00507,2025-07,42.09,sale
T00508,2025-03,230.51,sale
T00509,2025-12,304.43,sale
T00510,2025-03,417.98,sale
T00511,2025-06,194.57,sale
T00512,2025-01,50.33,sale
T00513,2025-05,84.04,sale
T00514,2025-09,215.67,sale
T00515,2025-12,138.87,sale
T00516,2025-05,50.31,sale
T00517,2025-08,130.53,sale
T00518,2025-05,491.18,sale
T00519,2025-02,-751.41,refund
T00520,2025-09,309.08,sale
T00521,2025-07,98.14,sale
T00522,2025-09,491.56,sale
T00523,2025-10,147.33,sale
T00524,2025-03,258.84,sale
T00525,2025-07,287.31,sale
T00526,2025-05,367.88,sale
T00527,2025-04,-326.4,refund
T00528,2025-06,14.05,sale
T00529,2025-05,130.99,sale
T00530,2025-10,338.15,sale
T00531,2025-09,111.28,sale
T00532,2025-11,274.34,sale
T00533,2025-07,-291.39,refund
T00534,2025-04,275.4,sale
T00535,2025-01,-148.71,refund
T00536,2025-05,-110.42,refund
T00537,2025-04,228.05,sale
T00538,2025-07,549.08,sale
T00539,2025-09,306.38,sale
T00540,2025-07,-97.1,refund
T00541,2025-01,-448.43,refund
T00542,2025-04,172.86,sale
T00543,2025-05,-360.45,refund
T00544,2025-09,303.06,sale
T00545,2025-07,307.34,sale
T00546,2025-10,313.29,sale
T00547,2025-04,445.36,sale
T00548,2025-02,-185.14,refund
T00549,2025-09,139.67,sale
T00550,2025-10,-274.66,refund
T00551,2025-01,-348.38,refund
T00552,2025-08,170.92,sale
T00553,2025-12,214.48,sale
T00554,2025-10,324.37,sale
T00555,2025-10,-325.81,refund
T00556,2025-06,142.54,sale
T00557,2025-11,138.95,sale
T00558,2025-03,341.15,sale
T00559,2025-07,213.09,sale
T00560,2025-06,220.69,sale
T00561,2025-06,275.53,sale
T00562,2025-02,77.67,sale
T00563,2025-04,222.39,sale
T00564,2025-12,127.14,sale
T00565,2025-02,464.91,sale
T00566,2025-09,95.24,sale
T00567,2025-07,185.34,sale
T00568,2025-10,318.51,sale
T00569,2025-04,240.43,sale
T00570,2025-01,166.79,sale
T00571,2025-11,175.83,sale
T00572,2025-07,492.88,sale
T00573,2025-02,144.68,sale
T00574,2025-04,151.06,sale
T00575,2025-01,255.67,sale
T00576,2025-07,160.05,sale
T00577,2025-10,362.26,sale
T00578,2025-07,221.09,sale
T00579,2025-12,190.41,sale
T00580,2025-09,120.96,sale
T00581,2025-06,-152.04,refund
T00582,2025-10,141.44,sale
T00583,2025-11,587.49,sale
T00584,2025-03,75.3,sale
T00585,2025-09,310.75,sale
T00586,2025-09,348.71,sale
T00587,2025-10,126.37,sale
T00588,2025-08,72.78,sale
T00589,2025-08,-437.67,refund
T00590,2025-06,291.06,sale
T00591,2025-07,230.78,sale
T00592,2025-10,470.35,sale
T00593,2025-08,551.41,sale
T00594,2025-12,243.19,sale
T00595,2025-10,422.72,sale
T00596,2025-12,403.61,sale
T00597,2025-12,318.13,sale
T00598,2025-06,192.74,sale
T00599,2025-11,-234.85,refund
