customer_id,segment
CU0231,Mid-Market
CU0232,Mid-Market
CU0233,Mid-Market
CU0234,Mid-Market
CU0235,Mid-Market
CU0236,Mid-Market
CU0237,Mid-Market
CU0238,Mid-Market
CU0239,Mid-Market
CU0240,Mid-Market
CU0241,Mid-Market
CU0242,Mid-Market
CU0243,Mid-Market
CU0244,Mid-Market
CU0245,Mid-Market
CU0246,Mid-Market
CU0247,Mid-Market
CU0248,Mid-Market
CU0249,Mid-Market
CU0250,Mid-Market
CU0251,Mid-Market
CU0252,Mid-Market
CU0253,Mid-Market
CU0254,Mid-Market
CU0255,Mid-Market
CU0256,Mid-Market
CU0257,Mid-Market
CU0258,Mid-Market
CU0259,Mid-Market
CU0260,Mid-Market
CU0261,Mid-Market
CU0262,Mid-Market
CU0263,Mid-Market
CU0264,Mid-Market
CU0265,Mid-Market
CU0266,Mid-Market
CU0267,Mid-Market
CU0268,Mid-Market
CU0269,Mid-Market
CU0270,Mid-Market
CU0271,Enterprise
CU0272,Enterprise
CU0273,Enterprise
CU0274,Enterprise
CU0275,Enterprise
CU0276,Enterprise
CU0277,Enterprise
CU0278,Enterprise
CU0279,Enterprise
CU0280,Enterprise
CU0281,Enterprise
CU0282,Enterprise
CU0283,Enterprise
CU0284,Enterprise
CU0285,Enterprise
CU0286,Enterprise
CU0287,Enterprise
CU0288,Enterprise
CU0289,Enterprise
CU0290,Enterprise
CU0291,Enterprise
CU0292,Enterprise
CU0293,Enterprise
CU0294,Enterprise
CU0295,Enterprise
CU0296,Enterprise
CU0297,Enterprise
CU0298,Enterprise
CU0299,Enterprise
CU0300,Enterprise
