renewal_id,customer_id,subscription_id,renewal_date,amount
R00083,CU0083,SUB-CORE,2026-07-08,137.91
R00069,CU0069,SUB-CORE,2026-07-28,142.36
R00196,CU0196,SUB-CORE,2026-09-24,388.86
R00334,CU0062,ADD-ANALYTICS,2026-08-17,67.27
R00074,CU0074,SUB-CORE,2026-07-03,92.7
R00043,CU0043,SUB-CORE,2026-09-02,122.17
R00328,CU0121,ADD-ANALYTICS,2026-08-22,71.07
R00237,CU0237,SUB-CORE,2026-08-12,418.3
R00008,CU0008,SUB-CORE,2026-08-21,125.5
R00178,CU0178,SUB-CORE,2026-07-25,165.8
R00131,CU0131,SUB-CORE,2026-07-03,86.95
R00218,CU0218,SUB-CORE,2026-07-30,456.55
R00330,CU0157,ADD-ANALYTICS,2026-08-13,78.73
R00086,CU0086,SUB-CORE,2026-09-22,124.8
R00020,CU0020,SUB-CORE,2026-09-05,167.54
R00320,CU0136,ADD-ANALYTICS,2026-07-18,65.88
R00122,CU0122,SUB-CORE,2026-08-16,142.83
R00229,CU0229,SUB-CORE,2026-07-14,427.16
R00339,CU0271,ADD-ANALYTICS,2026-07-14,89.56
R00314,CU0257,ADD-ANALYTICS,2026-09-14,96.87
R00137,CU0137,SUB-CORE,2026-08-05,133.54
R00357,CU0238,ADD-ANALYTICS,2026-09-13,73.92
R00203,CU0203,SUB-CORE,2026-08-23,377.15
R00085,CU0085,SUB-CORE,2026-08-26,138.38
R00019,CU0019,SUB-CORE,2026-07-25,98.47
R00114,CU0114,SUB-CORE,2026-07-18,94.24
R00338,CU0150,ADD-ANALYTICS,2026-08-29,90.14
R00044,CU0044,SUB-CORE,2026-09-19,126.33
R00312,CU0040,ADD-ANALYTICS,2026-08-03,53.55
R00259,CU0259,SUB-CORE,2026-09-08,369.04
R00165,CU0165,SUB-CORE,2026-07-20,146.75
R00301,CU0018,ADD-ANALYTICS,2026-09-22,75.42
R00285,CU0285,SUB-CORE,2026-09-02,1944.7
R00282,CU0282,SUB-CORE,2026-08-22,1734.59
R00227,CU0227,SUB-CORE,2026-07-06,385.87
R00318,CU0077,ADD-ANALYTICS,2026-09-21,105.93
R00112,CU0112,SUB-CORE,2026-09-11,101.37
R00034,CU0034,SUB-CORE,2026-07-28,158.2
R00174,CU0174,SUB-CORE,2026-09-22,108.39
R00001,CU0001,SUB-CORE,2026-08-05,139.44
R00136,CU0136,SUB-CORE,2026-08-30,129.38
R00331,CU0204,ADD-ANALYTICS,2026-08-29,100.15
R00226,CU0226,SUB-CORE,2026-09-30,450.82
R00311,CU0253,ADD-ANALYTICS,2026-08-23,83.6
R00191,CU0191,SUB-CORE,2026-08-12,534.08
R00336,CU0104,ADD-ANALYTICS,2026-08-03,90.79
R00278,CU0278,SUB-CORE,2026-08-24,1481.99
R00244,CU0244,SUB-CORE,2026-07-18,447.68
R00267,CU0267,SUB-CORE,2026-09-14,594.46
R00049,CU0049,SUB-CORE,2026-09-06,131.99
R00205,CU0205,SUB-CORE,2026-08-14,438.0
R00103,CU0103,SUB-CORE,2026-07-16,115.01
R00067,CU0067,SUB-CORE,2026-07-26,121.37
R00354,CU0299,ADD-ANALYTICS,2026-07-19,82.9
R00304,CU0278,ADD-ANALYTICS,2026-07-27,57.77
R00254,CU0254,SUB-CORE,2026-07-18,429.51
R00216,CU0216,SUB-CORE,2026-07-26,354.54
R00293,CU0293,SUB-CORE,2026-08-19,1913.39
R00287,CU0287,SUB-CORE,2026-09-27,1889.54
R00162,CU0162,SUB-CORE,2026-08-10,108.77
R00088,CU0088,SUB-CORE,2026-09-23,135.64
R00065,CU0065,SUB-CORE,2026-08-05,94.67
R00211,CU0211,SUB-CORE,2026-08-06,472.31
R00158,CU0158,SUB-CORE,2026-07-01,75.45
R00204,CU0204,SUB-CORE,2026-09-06,407.75
R00015,CU0015,SUB-CORE,2026-09-26,115.22
R00113,CU0113,SUB-CORE,2026-09-26,124.32
R00298,CU0298,SUB-CORE,2026-07-02,1464.43
R00316,CU0196,ADD-ANALYTICS,2026-08-23,113.86
R00310,CU0190,ADD-ANALYTICS,2026-08-13,77.64
R00225,CU0225,SUB-CORE,2026-08-08,408.26
R00210,CU0210,SUB-CORE,2026-07-10,375.25
R00177,CU0177,SUB-CORE,2026-09-05,108.48
R00171,CU0171,SUB-CORE,2026-07-28,128.33
R00170,CU0170,SUB-CORE,2026-07-18,126.22
R00148,CU0148,SUB-CORE,2026-08-27,156.63
R00062,CU0062,SUB-CORE,2026-09-28,154.48
R00231,CU0231,SUB-CORE,2026-07-28,395.65
R00047,CU0047,SUB-CORE,2026-07-14,150.28
R00241,CU0241,SUB-CORE,2026-07-03,447.71
R00115,CU0115,SUB-CORE,2026-09-27,131.68
R00248,CU0248,SUB-CORE,2026-07-03,394.0
R00327,CU0148,ADD-ANALYTICS,2026-07-07,75.83
R00109,CU0109,SUB-CORE,2026-07-14,112.11
R00220,CU0220,SUB-CORE,2026-07-26,431.59
R00291,CU0291,SUB-CORE,2026-07-31,1606.37
R00002,CU0002,SUB-CORE,2026-08-15,123.84
R00041,CU0041,SUB-CORE,2026-08-10,127.29
R00025,CU0025,SUB-CORE,2026-09-26,97.05
R00262,CU0262,SUB-CORE,2026-09-12,407.21
R00240,CU0240,SUB-CORE,2026-08-23,511.64
R00145,CU0145,SUB-CORE,2026-07-11,94.4
R00129,CU0129,SUB-CORE,2026-07-24,131.66
R00187,CU0187,SUB-CORE,2026-08-28,482.63
R00053,CU0053,SUB-CORE,2026-07-01,128.08
R00246,CU0246,SUB-CORE,2026-07-10,401.61
R00261,CU0261,SUB-CORE,2026-08-13,431.85
R00352,CU0139,ADD-ANALYTICS,2026-07-17,89.26
R00279,CU0279,SUB-CORE,2026-07-13,2054.47
R00064,CU0064,SUB-CORE,2026-07-02,135.33
R00183,CU0183,SUB-CORE,2026-07-06,398.46
R00347,CU0103,ADD-ANALYTICS,2026-07-21,80.67
R00206,CU0206,SUB-CORE,2026-08-31,476.36
R00059,CU0059,SUB-CORE,2026-08-23,109.94
R00142,CU0142,SUB-CORE,2026-08-23,122.73
R00050,CU0050,SUB-CORE,2026-09-15,143.47
R00313,CU0143,ADD-ANALYTICS,2026-08-06,68.67
R00209,CU0209,SUB-CORE,2026-07-29,428.61
R00138,CU0138,SUB-CORE,2026-07-16,129.91
R00120,CU0120,SUB-CORE,2026-09-06,166.41
R00276,CU0276,SUB-CORE,2026-07-13,1648.45
R00228,CU0228,SUB-CORE,2026-07-13,423.55
R00130,CU0130,SUB-CORE,2026-09-23,105.13
R00185,CU0185,SUB-CORE,2026-07-29,508.57
R00215,CU0215,SUB-CORE,2026-07-13,429.54
R00275,CU0275,SUB-CORE,2026-08-07,1951.66
R00013,CU0013,SUB-CORE,2026-09-09,103.71
R00121,CU0121,SUB-CORE,2026-09-08,111.51
R00235,CU0235,SUB-CORE,2026-09-23,411.25
R00319,CU0012,ADD-ANALYTICS,2026-09-01,81.84
R00188,CU0188,SUB-CORE,2026-07-12,423.06
R00239,CU0239,SUB-CORE,2026-09-29,378.56
R00222,CU0222,SUB-CORE,2026-08-15,406.78
R00118,CU0118,SUB-CORE,2026-07-09,100.99
R00249,CU0249,SUB-CORE,2026-08-11,517.12
R00242,CU0242,SUB-CORE,2026-08-11,412.72
R00251,CU0251,SUB-CORE,2026-08-22,524.19
R00297,CU0297,SUB-CORE,2026-07-02,1782.18
R00060,CU0060,SUB-CORE,2026-08-19,123.75
R00023,CU0023,SUB-CORE,2026-07-11,102.65
R00066,CU0066,SUB-CORE,2026-07-27,97.19
R00126,CU0126,SUB-CORE,2026-08-03,104.81
R00252,CU0252,SUB-CORE,2026-08-17,358.24
R00057,CU0057,SUB-CORE,2026-08-14,105.93
R00127,CU0127,SUB-CORE,2026-08-04,129.56
R00349,CU0200,ADD-ANALYTICS,2026-09-12,88.59
