application_id,application_quarter,credit_score,debt_to_income,loan_amount,applicant_tenure_years,defaulted
APP00175,2024-Q1,652,0.179,24581.0,0,0
APP00176,2024-Q1,716,0.53,22939.0,9,0
APP00177,2024-Q1,644,0.252,19551.0,8,1
APP00178,2024-Q1,699,0.234,9570.0,11,1
APP00179,2024-Q1,570,0.177,12005.0,10,0
APP00180,2024-Q1,669,0.355,16068.0,10,0
APP00181,2024-Q1,619,0.507,19864.0,7,1
APP00182,2024-Q1,686,0.486,18875.0,0,1
APP00183,2024-Q1,619,0.494,25325.0,0,0
APP00184,2024-Q1,566,0.357,11012.0,10,1
APP00185,2024-Q1,581,0.346,11044.0,0,1
APP00186,2024-Q1,691,0.385,24499.0,1,1
APP00187,2024-Q1,620,0.29,17294.0,9,1
APP00188,2024-Q1,665,0.269,17278.0,4,0
APP00189,2024-Q1,542,0.342,18136.0,2,1
APP00190,2024-Q1,670,0.417,23368.0,3,0
APP00191,2024-Q1,649,0.225,23061.0,4,0
APP00192,2024-Q1,583,0.241,21985.0,0,0
APP00193,2024-Q1,719,0.217,32786.0,8,0
APP00194,2024-Q1,680,0.445,23311.0,6,0
APP00195,2024-Q1,579,0.266,14907.0,9,0
APP00196,2024-Q1,608,0.301,19091.0,3,0
APP00197,2024-Q1,655,0.429,29295.0,10,0
APP00198,2024-Q1,782,0.383,11210.0,10,0
APP00199,2024-Q1,650,0.417,23085.0,7,0
APP00200,2024-Q1,604,0.323,13935.0,9,1
APP00201,2024-Q1,688,0.281,9970.0,3,1
APP00202,2024-Q1,667,0.422,13359.0,9,0
APP00203,2024-Q1,686,0.373,16960.0,7,1
APP00204,2024-Q1,610,0.352,25266.0,3,1
APP00205,2024-Q1,686,0.467,13933.0,0,0
APP00206,2024-Q1,500,0.352,27232.0,2,1
APP00207,2024-Q1,670,0.51,17342.0,9,1
APP00208,2024-Q1,582,0.377,25057.0,5,1
APP00209,2024-Q1,570,0.197,18238.0,3,0
APP00210,2024-Q1,602,0.266,12672.0,0,0
APP00211,2024-Q1,631,0.375,27843.0,2,0
APP00212,2024-Q1,629,0.207,13741.0,4,0
APP00213,2024-Q1,676,0.099,17725.0,11,0
APP00214,2024-Q1,594,0.216,27785.0,5,1
APP00215,2024-Q1,661,0.234,5965.0,7,0
APP00216,2024-Q1,619,0.27,10631.0,2,0
APP00217,2024-Q1,666,0.109,23687.0,6,0
APP00218,2024-Q1,700,0.395,13363.0,10,1
APP00219,2024-Q1,713,0.388,16906.0,6,0
APP00220,2024-Q1,730,0.268,22110.0,7,0
APP00221,2024-Q1,573,0.425,3963.0,11,1
APP00222,2024-Q1,641,0.235,34707.0,6,0
APP00223,2024-Q1,705,0.146,19976.0,1,0
APP00224,2024-Q1,683,0.358,6964.0,2,0
APP00225,2024-Q1,562,0.193,25867.0,10,1
APP00226,2024-Q1,549,0.202,13558.0,9,1
APP00227,2024-Q1,683,0.368,28962.0,4,0
APP00228,2024-Q1,729,0.329,28470.0,7,0
APP00229,2024-Q1,594,0.538,15342.0,3,0
APP00230,2024-Q1,655,0.29,13648.0,5,0
APP00231,2024-Q1,658,0.41,8726.0,4,0
APP00232,2024-Q1,749,0.336,24064.0,10,0
APP00233,2024-Q1,644,0.481,11931.0,5,1
APP00234,2024-Q1,715,0.31,18442.0,10,0
APP00235,2024-Q1,683,0.191,17475.0,8,0
APP00236,2024-Q1,644,0.562,19356.0,7,0
APP00237,2024-Q1,583,0.258,13404.0,5,0
APP00238,2024-Q1,622,0.313,18682.0,9,0
APP00239,2024-Q1,718,0.551,13337.0,9,0
APP00240,2024-Q1,639,0.343,18893.0,1,0
APP00241,2024-Q1,673,0.325,17242.0,5,0
APP00242,2024-Q1,585,0.314,19108.0,5,0
APP00243,2024-Q1,536,0.5,23413.0,6,0
APP00244,2024-Q1,590,0.448,14361.0,3,1
APP00245,2024-Q1,734,0.323,20403.0,11,0
APP00246,2024-Q1,676,0.244,26173.0,7,0
APP00247,2024-Q1,603,0.303,17491.0,9,0
APP00248,2024-Q1,559,0.146,22516.0,11,1
APP00249,2024-Q1,752,0.356,29053.0,11,0
APP00250,2024-Q1,646,0.205,18836.0,6,0
APP00251,2024-Q1,649,0.301,21343.0,4,1
APP00252,2024-Q1,582,0.517,19594.0,8,0
APP00253,2024-Q1,718,0.315,28778.0,7,0
APP00254,2024-Q1,640,0.147,9708.0,11,0
APP00255,2024-Q1,619,0.423,16783.0,9,1
APP00256,2024-Q1,554,0.365,16219.0,3,1
APP00257,2024-Q1,671,0.34,16100.0,10,1
APP00258,2024-Q1,661,0.39,18348.0,4,1
APP00259,2024-Q1,593,0.349,20849.0,1,1
APP00260,2024-Q1,632,0.174,15969.0,0,0
APP00261,2024-Q1,573,0.328,13114.0,9,0
APP00262,2024-Q1,591,0.508,12026.0,9,1
APP00263,2024-Q1,724,0.538,26727.0,3,0
APP00264,2024-Q1,570,0.359,18679.0,5,1
APP00265,2024-Q1,652,0.459,20949.0,0,1
APP00266,2024-Q1,685,0.128,24445.0,4,0
APP00267,2024-Q1,702,0.399,21102.0,0,0
APP00268,2024-Q1,586,0.36,17900.0,9,0
APP00269,2024-Q1,662,0.227,19373.0,4,1
APP00270,2024-Q1,660,0.433,26485.0,11,0
APP00271,2024-Q1,598,0.234,22055.0,4,1
APP00272,2024-Q1,641,0.438,19739.0,1,1
APP00273,2024-Q1,711,0.481,14540.0,3,0
APP00274,2024-Q1,678,0.408,17234.0,11,0
APP00275,2024-Q1,677,0.349,12201.0,11,1
APP00276,2024-Q1,824,0.409,14459.0,2,0
APP00277,2024-Q1,641,0.293,9648.0,3,0
APP00278,2024-Q1,553,0.209,25558.0,6,1
APP00279,2024-Q1,694,0.42,17726.0,5,0
APP00280,2024-Q1,646,0.511,27460.0,7,1
APP00281,2024-Q1,609,0.377,13745.0,11,0
APP00282,2024-Q1,624,0.243,13955.0,2,0
APP00283,2024-Q1,591,0.384,19713.0,11,1
APP00284,2024-Q1,655,0.359,17142.0,11,0
APP00285,2024-Q1,612,0.288,13512.0,5,1
APP00286,2024-Q1,605,0.405,17293.0,9,0
APP00287,2024-Q1,738,0.313,16729.0,7,0
APP00288,2024-Q1,695,0.322,21321.0,3,0
APP00289,2024-Q1,718,0.296,21969.0,2,0
APP00290,2024-Q1,602,0.434,18842.0,6,1
APP00291,2024-Q1,600,0.429,16780.0,2,0
APP00292,2024-Q1,577,0.45,26885.0,2,1
APP00293,2024-Q1,685,0.287,15324.0,1,0
APP00294,2024-Q1,692,0.261,9212.0,7,1
APP00295,2024-Q1,666,0.395,23790.0,2,1
APP00296,2024-Q1,683,0.214,20573.0,8,0
APP00297,2024-Q1,726,0.346,19202.0,7,0
APP00298,2024-Q1,630,0.161,12120.0,8,0
APP00299,2024-Q1,683,0.403,21877.0,10,0
APP00300,2024-Q1,600,0.276,26304.0,7,0
APP00301,2024-Q1,567,0.429,24804.0,2,1
APP00302,2024-Q1,651,0.448,28595.0,10,0
APP00303,2024-Q1,491,0.22,17787.0,9,0
APP00304,2024-Q1,687,0.382,16219.0,9,0
APP00305,2024-Q1,688,0.195,15510.0,4,0
APP00306,2024-Q1,703,0.276,19905.0,5,1
APP00307,2024-Q1,653,0.238,11450.0,11,0
APP00308,2024-Q1,557,0.394,11948.0,1,0
APP00309,2024-Q1,533,0.26,28784.0,4,1
APP00310,2024-Q1,607,0.141,14378.0,1,1
APP00311,2024-Q1,721,0.327,31703.0,2,0
APP00312,2024-Q1,658,0.263,21037.0,1,1
APP00313,2024-Q1,658,0.339,20888.0,4,1
APP00314,2024-Q1,537,0.468,15448.0,0,1
APP00315,2024-Q1,752,0.329,16034.0,10,0
APP00316,2024-Q1,720,0.254,14032.0,2,0
APP00317,2024-Q1,627,0.307,18318.0,1,0
APP00318,2024-Q1,606,0.423,13296.0,9,0
APP00319,2024-Q1,680,0.513,18716.0,3,0
APP00320,2024-Q2,646,0.185,15599.0,11,1
APP00321,2024-Q2,715,0.311,12817.0,1,0
APP00322,2024-Q2,671,0.471,16096.0,11,0
APP00323,2024-Q2,615,0.343,18422.0,1,1
APP00324,2024-Q2,641,0.362,19802.0,11,1
APP00325,2024-Q2,665,0.45,22072.0,3,0
APP00326,2024-Q2,532,0.35,12414.0,5,0
APP00327,2024-Q2,771,0.46,28434.0,8,0
APP00328,2024-Q2,772,0.203,13951.0,5,0
APP00329,2024-Q2,573,0.463,10727.0,8,1
APP00330,2024-Q2,631,0.252,15629.0,11,0
APP00331,2024-Q2,618,0.307,13554.0,2,0
APP00332,2024-Q2,536,0.285,9419.0,3,1
APP00333,2024-Q2,562,0.345,18844.0,0,1
APP00334,2024-Q2,559,0.272,29890.0,6,1
APP00335,2024-Q2,668,0.353,14968.0,10,0
APP00336,2024-Q2,633,0.296,10150.0,0,1
APP00337,2024-Q2,634,0.377,18167.0,1,0
APP00338,2024-Q2,737,0.366,3238.0,9,0
APP00339,2024-Q2,789,0.497,8040.0,7,0
APP00340,2024-Q2,658,0.314,18836.0,2,1
APP00341,2024-Q2,605,0.325,10375.0,5,1
APP00342,2024-Q2,696,0.324,22844.0,8,1
APP00343,2024-Q2,612,0.315,19686.0,1,0
APP00344,2024-Q2,634,0.239,10699.0,1,0
APP00345,2024-Q2,621,0.33,13102.0,2,0
APP00346,2024-Q2,666,0.348,10990.0,11,0
APP00347,2024-Q2,680,0.195,15268.0,5,0
APP00348,2024-Q2,541,0.422,20513.0,10,1
APP00349,2024-Q2,560,0.296,8971.0,0,1
APP00350,2024-Q2,695,0.376,9855.0,3,0
APP00351,2024-Q2,570,0.337,18886.0,2,1
APP00352,2024-Q2,646,0.349,9439.0,9,0
APP00353,2024-Q2,735,0.234,19386.0,6,0
APP00354,2024-Q2,664,0.336,14188.0,4,1
APP00355,2024-Q2,648,0.345,20678.0,7,0
APP00356,2024-Q2,641,0.38,2000.0,9,0
APP00357,2024-Q2,631,0.313,19743.0,0,1
APP00358,2024-Q2,551,0.201,8532.0,7,1
APP00359,2024-Q2,564,0.358,27633.0,5,1
APP00360,2024-Q2,695,0.377,16492.0,7,0
APP00361,2024-Q2,720,0.397,15959.0,8,1
APP00362,2024-Q2,690,0.442,16514.0,1,0
APP00363,2024-Q2,586,0.352,18827.0,4,1
APP00364,2024-Q2,676,0.414,23115.0,9,0
APP00365,2024-Q2,706,0.291,19276.0,10,0
APP00366,2024-Q2,654,0.347,7342.0,3,1
APP00367,2024-Q2,719,0.2,16101.0,7,0
APP00368,2024-Q2,664,0.205,19215.0,10,0
APP00369,2024-Q2,569,0.147,20215.0,0,1
APP00370,2024-Q2,602,0.349,13356.0,8,1
APP00371,2024-Q2,721,0.295,12647.0,8,0
APP00372,2024-Q2,696,0.313,7432.0,4,0
APP00373,2024-Q2,641,0.302,19518.0,4,0
APP00374,2024-Q2,663,0.187,19904.0,2,0
APP00375,2024-Q2,596,0.524,13067.0,1,0
APP00376,2024-Q2,636,0.215,14439.0,4,0
APP00377,2024-Q2,715,0.331,7906.0,7,0
APP00378,2024-Q2,550,0.276,22013.0,3,0
APP00379,2024-Q2,528,0.379,22553.0,9,1
APP00380,2024-Q2,696,0.451,28029.0,1,1
APP00381,2024-Q2,662,0.352,16412.0,3,0
APP00382,2024-Q2,683,0.494,23980.0,3,1
APP00383,2024-Q2,606,0.421,26918.0,2,0
APP00384,2024-Q2,569,0.471,6616.0,10,1
APP00385,2024-Q2,665,0.395,9045.0,3,0
APP00386,2024-Q2,766,0.383,20719.0,7,0
APP00387,2024-Q2,774,0.444,14224.0,8,0
APP00388,2024-Q2,704,0.441,18238.0,0,0
APP00389,2024-Q2,607,0.334,22300.0,3,1
APP00390,2024-Q2,669,0.18,9486.0,3,0
APP00391,2024-Q2,547,0.31,19762.0,5,1
APP00392,2024-Q2,687,0.471,7416.0,0,0
APP00393,2024-Q2,571,0.318,32081.0,9,1
APP00394,2024-Q2,687,0.386,5296.0,0,0
APP00395,2024-Q2,598,0.238,17113.0,1,0
APP00396,2024-Q2,623,0.239,15885.0,8,1
APP00397,2024-Q2,715,0.343,20565.0,6,0
APP00398,2024-Q2,749,0.158,16407.0,3,0
APP00399,2024-Q2,640,0.354,22879.0,3,1
APP00400,2024-Q2,675,0.468,17347.0,9,0
APP00401,2024-Q2,649,0.512,16764.0,10,1
APP00402,2024-Q2,780,0.378,19486.0,9,0
APP00403,2024-Q2,579,0.221,6956.0,8,0
APP00404,2024-Q2,614,0.423,28129.0,2,1
APP00405,2024-Q2,699,0.392,20285.0,5,0
APP00406,2024-Q2,716,0.453,21118.0,9,0
APP00407,2024-Q2,587,0.389,14290.0,8,1
APP00408,2024-Q2,759,0.373,19848.0,9,0
APP00409,2024-Q2,649,0.358,15002.0,9,0
APP00410,2024-Q2,687,0.265,28270.0,8,0
APP00411,2024-Q2,660,0.248,16934.0,8,1
APP00412,2024-Q2,609,0.365,19650.0,4,0
APP00413,2024-Q2,731,0.358,12961.0,8,0
APP00414,2024-Q2,596,0.157,17594.0,1,0
APP00415,2024-Q2,654,0.277,20904.0,2,1
APP00416,2024-Q2,725,0.358,22194.0,3,0
APP00417,2024-Q2,588,0.436,12789.0,4,1
APP00418,2024-Q2,578,0.303,19420.0,9,1
APP00419,2024-Q2,640,0.282,16627.0,4,0
APP00420,2024-Q2,617,0.341,22420.0,0,0
APP00421,2024-Q2,571,0.384,13750.0,5,1
APP00422,2024-Q2,640,0.262,17689.0,5,0
APP00423,2024-Q2,532,0.458,19719.0,4,1
APP00424,2024-Q2,537,0.416,14897.0,10,1
APP00425,2024-Q2,658,0.463,19584.0,0,0
APP00426,2024-Q2,658,0.351,12535.0,7,0
APP00427,2024-Q2,697,0.27,11750.0,2,0
APP00428,2024-Q2,546,0.336,14075.0,4,1
APP00429,2024-Q2,798,0.299,18695.0,2,0
APP00430,2024-Q2,742,0.345,12404.0,2,0
APP00431,2024-Q2,640,0.19,28609.0,5,0
APP00432,2024-Q2,619,0.482,28371.0,8,0
APP00433,2024-Q2,620,0.379,16070.0,10,0
APP00434,2024-Q2,730,0.287,18528.0,5,0
APP00435,2024-Q2,698,0.377,7971.0,1,0
APP00436,2024-Q2,651,0.274,19248.0,11,1
APP00437,2024-Q2,698,0.402,22630.0,4,0
APP00438,2024-Q2,708,0.371,14395.0,1,0
APP00439,2024-Q2,673,0.425,22826.0,7,0
APP00440,2024-Q2,547,0.465,20568.0,9,0
APP00441,2024-Q2,642,0.343,14317.0,2,0
APP00442,2024-Q2,661,0.362,16233.0,1,0
APP00443,2024-Q2,753,0.415,12002.0,5,0
APP00444,2024-Q2,719,0.348,16578.0,3,0
APP00445,2024-Q2,615,0.395,9560.0,8,0
APP00446,2024-Q2,590,0.371,13122.0,5,0
APP00447,2024-Q2,719,0.313,19231.0,8,0
APP00448,2024-Q2,646,0.415,11981.0,3,0
APP00449,2024-Q2,576,0.396,5680.0,9,1
APP00450,2024-Q2,746,0.252,16429.0,11,0
APP00451,2024-Q2,600,0.334,25859.0,2,0
APP00452,2024-Q2,509,0.407,11977.0,1,0
APP00453,2024-Q2,681,0.377,13390.0,3,0
APP00454,2024-Q2,674,0.317,22323.0,6,0
APP00455,2024-Q2,571,0.346,16398.0,0,0
APP00456,2024-Q2,656,0.424,9539.0,2,0
APP00457,2024-Q2,661,0.465,13497.0,10,0
APP00458,2024-Q2,658,0.57,28718.0,8,1
APP00459,2024-Q2,658,0.259,13350.0,0,0
APP00460,2024-Q2,639,0.335,15718.0,8,1
APP00461,2024-Q2,775,0.283,13502.0,7,0
APP00462,2024-Q2,687,0.313,25133.0,11,1
APP00463,2024-Q2,578,0.197,28179.0,0,0
APP00464,2024-Q2,646,0.124,25807.0,3,0
APP00465,2024-Q2,681,0.412,23957.0,10,0
APP00466,2024-Q2,589,0.348,24886.0,0,0
APP00467,2024-Q2,627,0.343,14908.0,4,0
APP00468,2024-Q2,584,0.368,21925.0,1,1
APP00469,2024-Q2,652,0.231,16154.0,11,1
APP00470,2024-Q2,656,0.192,24834.0,9,0
APP00471,2024-Q2,619,0.287,20324.0,2,0
APP00472,2024-Q2,726,0.33,27421.0,3,1
APP00473,2024-Q2,563,0.37,17761.0,3,1
APP00474,2024-Q2,628,0.235,10160.0,5,0
APP00475,2024-Q2,643,0.441,16699.0,8,1
APP00476,2024-Q2,702,0.423,11833.0,6,0
APP00477,2024-Q2,702,0.42,13346.0,11,0
APP00478,2024-Q2,718,0.435,13810.0,8,0
APP00479,2024-Q2,606,0.311,25415.0,1,1
APP00480,2024-Q2,585,0.338,20153.0,5,0
APP00481,2024-Q2,673,0.346,15907.0,8,0
APP00482,2024-Q2,647,0.198,9589.0,7,0
APP00483,2024-Q2,751,0.42,16575.0,2,0
APP00484,2024-Q2,585,0.435,22562.0,7,0
APP00485,2024-Q2,657,0.417,27614.0,1,0
APP00486,2024-Q2,637,0.489,12870.0,6,0
APP00487,2024-Q2,695,0.378,21415.0,8,0
APP00488,2024-Q2,650,0.359,21318.0,9,1
APP00489,2024-Q2,748,0.512,16852.0,8,0
APP00490,2024-Q2,644,0.223,14098.0,10,0
APP00491,2024-Q2,670,0.379,16210.0,0,0
APP00492,2024-Q2,665,0.36,30107.0,7,0
APP00493,2024-Q2,688,0.419,33067.0,11,0
APP00494,2024-Q2,622,0.327,22519.0,9,0
APP00495,2024-Q2,581,0.085,15492.0,4,0
APP00496,2024-Q2,677,0.136,24841.0,0,0
APP00497,2024-Q2,623,0.5,19745.0,1,1
APP00498,2024-Q2,599,0.278,10926.0,10,0
APP00499,2024-Q2,648,0.486,17015.0,3,0
APP00500,2024-Q2,733,0.401,21270.0,10,0
APP00501,2024-Q2,621,0.333,24178.0,2,0
APP00502,2024-Q2,715,0.449,6872.0,5,1
APP00503,2024-Q2,780,0.285,10890.0,2,0
APP00504,2024-Q2,615,0.2,11164.0,4,0
APP00505,2024-Q2,711,0.316,19828.0,3,0
APP00506,2024-Q2,575,0.217,11510.0,2,0
APP00507,2024-Q2,657,0.476,9159.0,2,0
APP00508,2024-Q2,757,0.282,15540.0,6,0
APP00509,2024-Q2,723,0.303,15993.0,0,0
APP00510,2024-Q2,619,0.13,23008.0,8,0
APP00511,2024-Q2,655,0.428,21796.0,3,0
APP00512,2024-Q2,659,0.384,10774.0,1,0
APP00513,2024-Q2,607,0.41,14690.0,0,1
APP00514,2024-Q2,688,0.401,15907.0,7,0
