worker_id,treated,baseline_aptitude_score,age,years_schooling,region,proficiency_score,employed_after
322,1,45.7,41,11,North,64.0,1
323,0,58.2,54,12,West,46.2,1
324,0,53.3,25,15,North,43.0,1
325,1,69.0,23,14,North,77.5,1
326,0,51.8,59,13,North,44.3,0
327,1,57.8,48,13,West,64.9,1
328,0,30.5,23,11,North,40.3,1
329,0,46.3,57,15,West,37.6,0
330,0,39.7,36,10,North,35.3,0
331,1,64.2,47,15,West,54.0,1
332,0,31.2,41,13,East,48.4,0
333,0,27.6,53,14,South,46.6,1
334,1,32.4,27,12,East,60.2,1
335,1,48.0,34,14,North,67.0,0
336,0,41.9,47,14,East,29.4,0
337,1,58.6,49,17,East,71.8,1
338,1,83.9,26,12,East,77.6,1
339,0,46.1,25,16,South,37.8,1
340,0,31.4,41,16,North,47.3,0
341,1,50.6,28,12,West,76.2,1
342,1,60.8,43,14,East,64.2,1
343,1,77.2,56,13,East,81.1,1
344,1,41.7,46,11,West,70.6,1
345,1,81.9,48,11,North,66.5,0
346,1,54.0,53,15,East,69.5,1
347,1,45.8,49,17,West,66.0,1
348,0,53.5,47,15,West,37.4,0
349,0,50.8,54,15,East,41.6,1
350,1,50.7,30,14,West,56.0,1
351,0,28.5,40,16,North,50.5,0
352,0,40.4,25,14,East,47.0,0
353,0,25.7,50,10,West,60.1,1
354,0,47.9,27,15,South,39.7,0
355,0,40.3,28,13,South,42.9,1
356,1,60.1,46,16,West,65.5,1
357,1,48.1,53,12,South,59.6,1
358,0,33.7,35,14,North,32.3,0
359,1,40.3,49,11,East,68.6,1
360,0,46.2,33,10,South,40.6,1
361,0,41.5,42,11,South,41.2,0
362,1,68.7,27,12,South,79.1,0
363,1,35.2,42,11,West,68.0,1
364,0,34.3,28,17,East,48.2,1
365,1,48.9,31,11,North,80.1,0
366,0,32.2,38,15,West,48.1,0
367,1,52.2,51,14,East,62.2,1
368,0,43.8,53,11,West,48.4,1
369,1,49.9,42,17,West,68.0,1
370,0,46.6,24,15,East,64.2,0
371,1,55.0,25,16,East,82.4,1
372,1,42.0,41,12,South,90.5,1
373,1,54.5,33,12,East,41.7,1
374,1,39.1,31,12,East,62.0,1
375,1,34.9,24,17,East,67.3,1
376,0,52.9,54,15,West,42.9,0
377,1,64.5,52,15,West,67.0,1
378,0,39.1,42,13,South,40.3,1
379,0,39.3,50,17,North,36.6,0
380,0,36.5,49,10,East,48.2,1
381,1,49.1,37,13,South,58.7,0
382,0,36.6,57,15,North,60.4,1
383,1,49.7,50,17,North,74.4,1
384,1,44.1,41,10,East,41.2,1
385,1,64.7,56,15,North,74.4,0
386,1,57.1,58,13,South,61.2,1
387,1,43.8,46,14,South,78.3,0
388,0,54.9,32,10,East,59.9,1
389,1,63.7,29,13,South,58.0,1
390,0,70.0,50,16,East,33.3,0
391,1,72.6,59,17,West,85.4,1
392,0,39.0,34,12,North,34.3,1
393,0,55.9,39,14,South,36.6,0
394,1,50.1,41,11,East,61.2,1
395,1,78.3,50,10,East,65.5,0
396,1,70.6,48,16,West,56.9,1
397,1,39.9,49,15,North,58.1,1
398,0,43.6,46,14,North,39.2,0
399,1,42.6,29,17,West,64.3,1
400,0,34.4,27,12,South,41.3,0
401,1,49.1,25,13,South,67.8,1
402,0,37.4,34,10,East,33.8,0
403,1,29.0,30,11,South,60.3,1
404,0,41.0,29,14,North,47.8,0
405,1,39.9,30,16,South,69.6,0
406,0,17.6,39,17,West,28.2,0
407,0,30.0,52,11,East,36.9,0
408,0,43.1,24,10,South,48.2,0
409,1,33.9,37,13,East,76.6,1
410,1,68.6,40,11,East,72.3,1
411,1,65.1,53,13,East,70.8,1
412,0,38.0,59,13,North,37.4,1
413,0,59.6,52,12,South,34.2,0
414,0,50.4,58,10,East,36.7,0
415,0,17.1,58,10,North,41.9,0
416,1,40.9,49,14,West,71.5,0
417,0,63.5,41,16,South,70.1,1
418,1,48.0,24,13,East,62.9,1
419,0,45.1,45,12,North,49.1,1
420,0,61.8,40,11,West,35.5,0
421,1,59.6,24,12,West,69.2,1
422,1,59.2,47,16,North,61.1,1
423,1,35.3,23,14,West,65.6,0
424,0,46.6,36,15,North,42.8,0
425,1,44.0,39,16,South,74.7,1
426,0,39.1,33,11,South,31.1,1
427,0,21.6,51,13,South,44.8,0
428,0,37.5,41,11,East,41.8,0
429,1,48.5,47,13,West,63.9,1
430,0,7.9,32,11,South,38.9,1
431,1,80.1,33,16,East,67.3,1
432,0,59.9,51,17,North,40.4,0
433,1,64.8,59,17,West,57.1,1
434,1,72.7,35,17,East,69.2,1
435,1,53.0,50,13,North,50.3,1
436,0,35.4,41,17,North,38.8,0
437,1,79.8,32,17,West,89.8,1
438,0,40.5,25,15,East,46.5,1
439,1,78.7,31,12,South,72.1,1
440,1,69.8,56,11,South,72.4,1
441,1,38.8,29,15,East,62.8,1
442,1,64.5,43,14,North,75.6,1
443,0,38.8,58,11,East,36.4,0
444,1,57.4,55,13,East,88.2,0
445,0,42.3,27,15,East,31.6,0
446,1,57.4,29,14,South,63.2,1
447,1,35.5,53,13,South,42.5,1
448,1,35.8,32,16,South,57.4,0
449,0,61.5,47,11,East,59.9,1
450,0,15.3,22,14,West,32.2,1
451,1,51.0,25,12,West,57.7,1
452,1,24.1,50,10,North,42.0,1
453,0,37.8,37,10,North,31.2,1
454,0,11.5,53,16,East,25.2,0
455,1,40.9,57,10,East,80.5,0
456,1,53.4,42,15,South,60.7,1
457,0,34.9,48,15,South,22.7,0
458,0,50.3,40,14,South,36.6,0
459,1,60.4,48,17,East,67.7,1
460,0,39.4,33,11,East,45.8,1
461,1,39.2,22,11,South,54.0,0
462,1,42.0,35,14,East,43.5,0
463,1,39.2,46,12,West,80.4,1
464,1,41.8,55,11,North,58.8,1
465,0,35.1,32,15,West,39.4,1
466,1,63.8,56,12,North,79.5,1
467,0,42.1,49,15,West,47.2,0
468,0,42.2,59,17,South,44.7,1
469,1,43.5,54,10,East,65.2,0
470,1,52.8,38,11,North,67.1,1
471,1,77.7,22,11,West,56.6,0
472,0,42.6,49,12,South,46.4,0
473,0,45.8,39,10,South,55.4,0
474,0,39.2,49,15,North,53.0,1
475,0,44.1,50,15,East,46.2,0
476,0,57.3,36,14,South,48.7,1
477,1,52.6,42,11,North,55.9,1
478,1,44.2,30,15,North,66.5,1
479,0,48.0,49,11,North,50.9,1
480,1,51.1,59,10,South,68.4,1
481,0,40.9,30,11,North,43.1,1
482,0,32.7,35,17,South,45.9,0
483,0,46.8,35,10,West,53.9,1
484,0,56.7,31,15,West,47.6,1
485,0,28.3,49,10,South,28.0,1
486,1,67.8,53,10,South,59.7,1
487,1,54.8,36,10,North,74.1,1
488,0,45.4,33,13,South,50.2,1
489,1,65.6,54,12,East,53.4,1
490,1,52.2,58,14,West,71.1,1
491,1,50.6,48,11,North,65.9,1
492,1,47.1,55,12,East,50.2,0
493,0,28.7,34,15,North,45.5,1
494,0,42.7,45,10,North,33.2,0
495,0,25.2,31,11,South,41.2,0
496,1,67.2,34,17,East,52.3,0
497,0,61.7,24,12,North,50.5,1
498,1,65.8,43,14,South,68.6,1
499,0,71.0,53,13,West,49.1,0
500,1,56.8,49,15,South,69.9,1
501,0,32.2,58,14,South,23.6,0
502,0,67.0,45,10,West,55.0,1
503,0,54.2,30,16,East,52.4,1
504,1,55.5,26,11,West,66.5,1
505,1,72.6,30,15,South,60.5,1
506,1,67.9,42,12,North,67.1,1
507,0,49.4,51,14,West,37.8,1
508,0,40.6,35,12,South,39.1,0
509,1,46.1,59,17,West,52.2,1
510,0,14.8,30,14,East,51.2,1
511,1,36.8,36,10,West,73.6,1
512,0,66.4,43,14,North,46.5,0
513,0,29.5,59,11,South,42.8,0
514,1,49.8,36,10,East,77.5,1
515,1,59.7,47,14,South,64.3,1
516,0,56.7,48,16,South,48.1,0
517,1,58.5,24,12,North,63.9,1
518,1,53.4,27,12,South,58.7,1
519,1,61.2,31,14,South,64.8,0
520,1,63.2,29,10,East,66.3,1
521,1,45.4,58,10,North,69.0,1
522,0,58.8,30,14,East,47.0,1
523,1,53.1,51,13,North,50.7,1
524,0,59.2,26,16,East,43.8,1
525,1,52.5,57,10,North,63.2,0
526,1,59.2,33,10,South,62.9,1
527,0,49.1,53,14,East,41.9,0
528,1,39.8,51,10,North,50.6,0
529,1,51.6,51,13,North,41.3,0
530,0,45.0,25,13,North,32.1,0
531,1,68.2,22,17,North,64.1,1
532,0,51.1,28,17,North,44.9,1
533,1,78.6,30,14,West,88.7,1
534,0,45.9,56,10,East,40.6,1
535,1,70.2,59,15,North,60.6,1
536,0,20.8,26,12,North,26.9,0
537,1,61.1,32,13,East,74.3,1
538,1,54.3,51,17,South,74.9,1
539,0,46.8,22,17,West,49.8,0
540,1,68.8,34,15,East,62.5,1
541,1,39.0,35,11,West,60.4,1
542,1,75.7,52,12,West,57.6,1
543,1,49.0,47,12,West,73.6,1
544,1,50.4,46,10,South,73.9,1
545,1,33.5,50,14,East,85.5,1
546,1,55.7,29,15,North,65.9,0
547,1,43.0,41,11,North,72.2,1
548,0,51.5,38,10,North,61.7,0
549,0,49.0,25,16,North,51.6,1
550,0,54.1,47,14,West,55.6,1
551,1,32.9,42,16,South,67.6,1
552,0,41.5,25,13,West,46.2,1
553,0,50.1,34,16,East,63.8,1
554,0,52.5,23,11,South,24.8,0
555,0,41.5,38,13,East,32.6,0
556,1,41.9,55,17,North,76.2,1
557,0,41.2,22,17,South,47.8,0
558,0,36.3,31,14,East,42.1,1
559,0,58.6,35,14,East,37.2,0
560,1,69.5,32,17,South,64.3,0
561,1,44.8,30,15,North,66.5,1
562,0,47.8,52,17,North,44.5,0
563,0,9.0,58,17,West,15.6,0
564,1,70.8,47,13,West,50.7,1
565,1,56.3,51,16,South,63.1,0
566,0,14.8,29,17,West,30.9,1
567,1,72.8,25,11,South,61.0,1
568,0,51.9,41,17,West,30.9,0
569,0,48.1,34,17,West,57.5,1
570,0,25.1,45,16,North,42.2,0
571,1,46.0,29,12,East,57.1,1
572,0,16.5,33,15,East,27.9,0
573,1,47.0,39,13,North,56.5,0
574,1,65.9,26,11,South,64.3,1
575,1,43.5,41,17,East,74.3,1
576,0,22.1,42,17,South,47.7,0
577,0,62.6,58,13,South,58.3,1
578,0,25.9,44,13,East,47.6,1
579,1,50.6,42,14,East,83.9,1
580,0,49.3,30,17,East,53.0,0
581,1,69.4,51,16,West,48.6,0
582,0,50.2,55,11,East,54.0,1
583,1,56.0,53,15,South,61.0,1
584,0,22.0,45,16,North,48.0,0
585,0,48.1,50,10,South,50.4,1
586,1,42.7,51,14,South,51.9,0
587,0,21.8,40,17,South,35.5,0
588,0,54.1,39,12,East,35.2,0
589,0,57.3,32,14,West,36.0,0
590,0,28.6,37,10,North,27.8,0
591,0,31.7,43,12,West,50.0,0
592,0,50.1,50,16,South,37.1,0
593,1,48.2,36,12,East,48.8,0
594,1,60.1,34,11,North,74.9,1
595,0,23.1,52,11,South,44.8,0
596,0,32.8,50,16,West,53.9,0
597,1,56.3,33,14,North,54.2,1
598,0,24.7,25,10,North,36.8,0
599,0,21.7,29,16,East,36.7,0
600,0,56.1,33,17,South,40.6,0
601,1,40.8,27,12,West,42.7,0
602,0,72.6,44,17,North,66.5,0
603,0,38.8,49,17,South,24.8,1
604,0,54.8,55,12,South,33.0,0
605,1,50.1,55,14,North,59.4,0
606,1,54.4,55,16,South,64.8,1
607,1,59.3,42,15,North,55.6,0
608,0,61.5,27,13,North,35.9,0
609,0,32.4,53,14,East,27.0,0
610,1,57.4,55,12,North,64.5,1
611,1,25.9,22,15,East,64.6,1
612,0,25.3,32,13,East,20.9,0
613,0,39.9,22,10,West,53.4,0
614,0,36.7,49,12,West,36.8,0
615,1,66.7,45,15,North,60.4,1
616,1,64.4,35,13,North,59.8,1
617,0,35.5,23,17,North,46.3,1
618,0,29.4,40,15,South,29.6,0
619,1,39.5,37,12,North,71.0,1
620,1,49.4,48,14,South,74.6,1
621,0,47.1,57,16,North,56.3,0
622,0,44.9,27,14,West,29.8,0
623,0,43.6,53,14,South,55.3,0
624,0,38.0,39,16,North,37.1,1
625,0,36.0,36,10,North,36.3,1
626,0,63.0,28,13,North,46.1,0
627,0,49.9,41,11,North,32.2,0
628,0,30.6,55,17,West,60.6,1
629,1,62.8,47,16,North,69.4,1
630,1,47.7,27,10,North,75.6,1
631,1,17.5,26,13,North,46.2,0
632,1,44.6,50,11,West,69.4,1
633,1,63.1,59,17,West,68.7,1
634,0,51.7,37,15,West,36.7,1
635,1,38.2,55,15,East,79.0,1
636,1,38.1,53,17,West,63.8,1
637,0,31.1,31,10,North,44.5,1
638,1,70.4,47,16,East,81.1,1
639,1,56.1,34,17,East,64.0,1
640,1,56.8,54,13,North,71.7,1
641,1,64.4,33,13,North,58.8,1
642,0,36.9,26,12,West,44.8,0
643,0,28.1,43,15,East,28.4,0
644,0,37.5,36,10,South,34.6,1
645,0,51.1,27,17,East,51.2,0
646,0,39.0,23,13,North,37.9,1
647,1,55.4,52,14,East,36.2,0
648,0,40.5,25,13,West,31.1,1
649,0,45.6,27,16,East,43.4,0
650,1,66.1,45,16,North,70.6,1
651,0,45.7,38,16,South,49.0,0
652,0,54.0,35,14,West,45.0,0
653,1,59.0,47,14,East,63.7,1
654,0,36.6,34,12,South,39.9,1
655,0,37.7,38,10,South,35.5,1
656,1,54.6,48,12,West,68.7,0
657,1,87.0,58,12,East,80.6,1
658,0,21.6,46,16,West,41.8,1
659,0,45.9,59,12,North,32.8,0
660,1,56.0,28,12,West,68.3,1
661,1,60.5,54,14,North,63.9,1
662,1,64.8,28,15,East,63.8,1
663,1,50.8,28,13,West,77.8,1
664,1,76.7,54,12,East,77.9,1
665,1,37.6,52,13,East,49.0,1
666,1,44.9,32,12,East,57.6,1
667,0,31.4,27,14,East,34.0,0
668,1,36.2,48,11,North,55.0,0
669,1,61.3,40,17,East,47.7,1
670,1,79.5,31,12,South,75.6,1
671,0,38.9,28,17,South,45.6,1
672,0,59.8,28,15,West,37.0,1
673,0,55.6,35,13,East,44.1,0
674,0,48.5,28,10,North,48.0,1
675,1,47.5,50,13,East,45.5,0
676,0,73.3,58,13,West,48.7,0
677,1,60.9,33,11,East,78.6,1
678,1,64.8,43,12,North,83.2,1
679,1,63.2,25,13,West,60.4,1
680,1,57.5,30,12,East,63.0,1
681,1,41.9,39,15,South,47.8,1
682,0,52.9,43,10,East,54.3,0
683,1,60.3,24,17,East,88.2,1
684,1,92.8,48,13,North,63.5,1
685,0,57.7,51,16,North,48.9,1
686,0,38.4,25,11,North,37.7,1
687,1,59.7,50,11,South,62.1,1
688,1,70.2,40,12,West,69.6,1
689,0,43.5,55,15,East,38.3,0
690,0,31.6,40,16,East,42.4,1
691,0,68.2,55,12,North,48.8,0
692,0,26.7,46,17,South,64.1,1
693,0,35.4,22,12,West,24.4,0
694,0,51.3,28,12,East,49.3,0
